n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,100,0.8304808139801025,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,0.9623289108276368,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,100,1.0609211921691897,0.4355,6812.8872,1.1163,0.5437,0.0922,0.179,0.1507,0.151,0.2601,0.1064,0.151,0.4028,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.1353492736816406,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,100,1.039442539215088,0.4289,6429.5042,1.1997,0.5223,0.0501,0.1068,0.0878,0.0882,0.1552,0.0616,0.0882,0.3562,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,20,0.6136059761047363,0.4289,6429.5042,1.1997,0.5223,0.0501,0.1068,0.0878,0.0882,0.1552,0.0616,0.0882,0.3562,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,100,0.9966440200805664,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.1788861751556396,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,100,1.144707202911377,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,0.8586304187774658,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,100,1.0519020557403564,0.4302,6806.5274,1.0466,0.5441,0.0931,0.179,0.1516,0.1519,0.2601,0.1073,0.1519,0.4038,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.0259242057800293,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,20.0,100,0.9189741611480712,0.4217,6431.7356,1.067,0.5226,0.0508,0.1068,0.0882,0.0886,0.1552,0.062,0.0886,0.357,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,20.0,20,0.8765082359313965,0.4217,6431.7356,1.067,0.5226,0.0508,0.1068,0.0882,0.0886,0.1552,0.062,0.0886,0.357,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,100,0.9174890518188475,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,0.7973027229309082,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,100,1.2175416946411133,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.052269458770752,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,100,1.166649341583252,0.4355,6812.8872,1.1163,0.5437,0.0922,0.179,0.1507,0.151,0.2601,0.1064,0.151,0.4028,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.198936939239502,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,20.0,100,0.8172554969787598,0.4289,6429.5042,1.1997,0.5223,0.0501,0.1068,0.0878,0.0882,0.1552,0.0616,0.0882,0.3562,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,20.0,20,0.9022138118743896,0.4289,6429.5042,1.1997,0.5223,0.0501,0.1068,0.0878,0.0882,0.1552,0.0616,0.0882,0.3562,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,100,1.0332884788513184,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,1.2042901515960691,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,100,1.0480411052703855,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.2917520999908447,0.4304,7863.8339,0.7711,0.5423,0.0895,0.1707,0.1465,0.1468,0.248,0.1043,0.1468,0.4035,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,100,0.7250621318817139,0.4302,6806.5274,1.0466,0.5441,0.0931,0.179,0.1516,0.1519,0.2601,0.1073,0.1519,0.4038,kmeans+dt,compas-scores-two-years_y.zip-6_True_k
