n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,3.894805192947388,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,4.273115873336792,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,4.736659288406372,0.52,12019.3532,0.6886,0.5633,0.132,0.2307,0.1877,0.1879,0.3351,0.1306,0.1879,0.4093,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,4.520958185195923,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,4.704186201095581,0.5197,11998.9849,0.6891,0.5633,0.1319,0.2305,0.1876,0.1878,0.3349,0.1305,0.1878,0.4092,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,4.715089321136475,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,4.584309339523315,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,4.416018724441528,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,4.466818571090698,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,100,4.360560178756714,0.52,12019.3532,0.6886,0.5633,0.132,0.2307,0.1877,0.1879,0.3351,0.1306,0.1879,0.4093,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,4.59611439704895,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,4.916051149368286,0.5197,11998.9849,0.6891,0.5633,0.1319,0.2305,0.1876,0.1878,0.3349,0.1305,0.1878,0.4092,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,100,5.044651985168457,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,4.176039695739746,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,4.604132890701294,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,6.088510036468506,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,3.799840450286865,0.52,12019.3532,0.6886,0.5633,0.132,0.2307,0.1877,0.1879,0.3351,0.1306,0.1879,0.4093,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,4.896585941314697,0.5198,12010.6156,0.6891,0.5634,0.1322,0.231,0.188,0.1882,0.3357,0.1308,0.1882,0.4095,skl_bis_kmeans,compas-scores-two-years_y.zip-6_k
