eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.1,10,correlation,auto,4,0.0689330101013183,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,correlation,auto,4,0.0609934329986572,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,correlation,auto,4,0.0590894222259521,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,correlation,auto,4,0.0551424026489257,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,cosine,auto,4,0.0536284446716308,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,cosine,auto,4,0.047558307647705,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,cosine,auto,4,0.0467236042022705,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,cosine,auto,4,0.0470869541168212,0.0,0.0,0.0,0.6598,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8123,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,euclidean,auto,4,0.0129282474517822,-0.076,79.7441,1.9546,0.5987,0.3048,0.639,0.4312,0.4399,1.0,0.282,0.4399,0.626,,,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,euclidean,auto,4,0.0087080001831054,-0.076,79.7441,1.9546,0.5987,0.3048,0.639,0.4312,0.4399,1.0,0.282,0.4399,0.626,1000.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,euclidean,auto,4,0.0094876289367675,-0.076,79.7441,1.9546,0.5987,0.3048,0.639,0.4312,0.4399,1.0,0.282,0.4399,0.626,100.0,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
0.1,10,euclidean,auto,4,0.0099263191223144,-0.076,79.7441,1.9546,0.5987,0.3048,0.639,0.4312,0.4399,1.0,0.282,0.4399,0.626,inf,20.0,skl_DBSCAN,cure-t0-2000n-2D_y.zip
