min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,inf,correlation,auto,4,5.147278070449829,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,correlation,auto,4,5.128297328948975,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,correlation,auto,4,5.143216133117676,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,correlation,auto,4,5.173933744430542,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,cosine,auto,4,9.733091354370115,-0.3653,33.0192,6.4345,0.3654,-0.0269,0.3499,0.1502,0.1701,0.5476,0.1007,0.1701,0.2657,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,cosine,auto,4,8.644132375717163,-0.3653,33.0192,6.4345,0.3654,-0.0269,0.3499,0.1502,0.1701,0.5476,0.1007,0.1701,0.2657,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,cosine,auto,4,8.01516079902649,-0.3653,33.0192,6.4345,0.3654,-0.0269,0.3499,0.1502,0.1701,0.5476,0.1007,0.1701,0.2657,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,cosine,auto,4,9.287218809127808,-0.3653,33.0192,6.4345,0.3654,-0.0269,0.3499,0.1502,0.1701,0.5476,0.1007,0.1701,0.2657,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,euclidean,auto,4,3.7172305583953857,-0.3528,22.2506,1.5749,0.4741,-0.0044,0.2185,0.1516,0.1687,0.3419,0.112,0.1687,0.528,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,euclidean,auto,4,3.7488644123077393,-0.3528,22.2506,1.5749,0.4741,-0.0044,0.2185,0.1516,0.1687,0.3419,0.112,0.1687,0.528,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,euclidean,auto,4,3.787184238433838,-0.3528,22.2506,1.5749,0.4741,-0.0044,0.2185,0.1516,0.1687,0.3419,0.112,0.1687,0.528,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
10,inf,euclidean,auto,4,3.746411085128784,-0.3528,22.2506,1.5749,0.4741,-0.0044,0.2185,0.1516,0.1687,0.3419,0.112,0.1687,0.528,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,correlation,auto,4,5.186748504638672,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,correlation,auto,4,5.167970895767212,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,correlation,auto,4,5.10902738571167,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,correlation,auto,4,5.144180774688721,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,cosine,auto,4,9.780518054962158,-0.2372,99.2654,4.4046,0.3955,0.0334,0.4327,0.221,0.2297,0.6771,0.1383,0.2297,0.3059,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,cosine,auto,4,9.373319387435911,-0.2372,99.2654,4.4046,0.3955,0.0334,0.4327,0.221,0.2297,0.6771,0.1383,0.2297,0.3059,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,cosine,auto,4,8.718344449996948,-0.2372,99.2654,4.4046,0.3955,0.0334,0.4327,0.221,0.2297,0.6771,0.1383,0.2297,0.3059,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,cosine,auto,4,8.006836652755737,-0.2372,99.2654,4.4046,0.3955,0.0334,0.4327,0.221,0.2297,0.6771,0.1383,0.2297,0.3059,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,euclidean,auto,4,3.6997995376586914,-0.383,93.4769,0.9985,0.7531,0.3988,0.227,0.389,0.3919,0.3553,0.4369,0.3919,0.8314,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,euclidean,auto,4,3.766197681427002,-0.383,93.4769,0.9985,0.7531,0.3988,0.227,0.389,0.3919,0.3553,0.4369,0.3919,0.8314,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,euclidean,auto,4,3.74477767944336,-0.383,93.4769,0.9985,0.7531,0.3988,0.227,0.389,0.3919,0.3553,0.4369,0.3919,0.8314,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
20,inf,euclidean,auto,4,3.7649118900299072,-0.383,93.4769,0.9985,0.7531,0.3988,0.227,0.389,0.3919,0.3553,0.4369,0.3919,0.8314,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,correlation,auto,4,5.127513647079468,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,correlation,auto,4,5.091877460479736,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,correlation,auto,4,5.130220651626587,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,correlation,auto,4,5.178667306900024,0.3461,1114.1953,1.2212,0.5482,0.0963,0.1564,0.2343,0.2349,0.2447,0.2258,0.2349,0.6164,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,9.148070812225342,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,9.40278673171997,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,7.7413976192474365,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,100.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,cosine,auto,4,9.378010034561155,-0.5638,14.2908,16.2661,0.3435,0.0017,0.5625,0.0873,0.1647,0.8803,0.0909,0.1647,0.0766,inf,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,euclidean,auto,4,3.7441952228546143,0.2548,11.7683,1.3591,0.3536,0.0054,0.5405,0.0963,0.1711,0.8459,0.0952,0.1711,0.1555,,,skl_OPTICS,cure-t0-2000n-2D_y.zip
2,inf,euclidean,auto,4,3.7590065002441406,0.2548,11.7683,1.3591,0.3536,0.0054,0.5405,0.0963,0.1711,0.8459,0.0952,0.1711,0.1555,1000.0,20.0,skl_OPTICS,cure-t0-2000n-2D_y.zip
