n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,correlation,average,0.0397050380706787,-0.4016,125.8827,3.8729,0.548,0.1008,0.1624,0.2294,0.2334,0.2541,0.2159,0.2334,0.6141,,,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,average,0.0406851768493652,-0.4016,125.8827,3.8729,0.548,0.1008,0.1624,0.2294,0.2334,0.2541,0.2159,0.2334,0.6141,1000.0,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,average,0.0407359600067138,-0.4016,125.8827,3.8729,0.548,0.1008,0.1624,0.2294,0.2334,0.2541,0.2159,0.2334,0.6141,100.0,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,average,0.0413215160369873,-0.4016,125.8827,3.8729,0.548,0.1008,0.1624,0.2294,0.2334,0.2541,0.2159,0.2334,0.6141,inf,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,complete,0.0377774238586425,-0.0475,128.7227,29.0859,0.5505,0.224,0.1699,0.1358,0.1391,0.2659,0.0942,0.1391,0.5669,,,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,complete,0.0409979820251464,-0.0475,128.7227,29.0859,0.5505,0.224,0.1699,0.1358,0.1391,0.2659,0.0942,0.1391,0.5669,1000.0,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,complete,0.0402164459228515,-0.0475,128.7227,29.0859,0.5505,0.224,0.1699,0.1358,0.1391,0.2659,0.0942,0.1391,0.5669,100.0,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,complete,0.0389513969421386,-0.0475,128.7227,29.0859,0.5505,0.224,0.1699,0.1358,0.1391,0.2659,0.0942,0.1391,0.5669,inf,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,single,0.0289480686187744,0.1051,124.6367,1.0916,0.5508,0.1038,0.163,0.2357,0.2391,0.2551,0.225,0.2391,0.6176,,,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,single,0.0271205902099609,0.1051,124.6367,1.0916,0.5508,0.1038,0.163,0.2357,0.2391,0.2551,0.225,0.2391,0.6176,1000.0,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,single,0.0268845558166503,0.1051,124.6367,1.0916,0.5508,0.1038,0.163,0.2357,0.2391,0.2551,0.225,0.2391,0.6176,100.0,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,correlation,single,0.0271735191345214,0.1051,124.6367,1.0916,0.5508,0.1038,0.163,0.2357,0.2391,0.2551,0.225,0.2391,0.6176,inf,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,cosine,average,0.0467443466186523,0.2526,1424.7265,1.1784,0.4304,0.0854,0.4944,0.3443,0.3464,0.7736,0.2232,0.3464,0.3728,,,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,cosine,average,0.0485458374023437,0.2526,1424.7265,1.1784,0.4304,0.0854,0.4944,0.3443,0.3464,0.7736,0.2232,0.3464,0.3728,1000.0,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,cosine,average,0.04860520362854,0.2526,1424.7265,1.1784,0.4304,0.0854,0.4944,0.3443,0.3464,0.7736,0.2232,0.3464,0.3728,100.0,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,cosine,average,0.0485215187072753,0.2526,1424.7265,1.1784,0.4304,0.0854,0.4944,0.3443,0.3464,0.7736,0.2232,0.3464,0.3728,inf,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,cosine,complete,0.044187307357788,0.2747,1469.3194,1.3338,0.4368,0.0966,0.5058,0.3513,0.3534,0.7914,0.2275,0.3534,0.384,,,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,cosine,complete,0.0466597080230712,0.2747,1469.3194,1.3338,0.4368,0.0966,0.5058,0.3513,0.3534,0.7914,0.2275,0.3534,0.384,1000.0,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
10,cosine,complete,0.0464532375335693,0.2747,1469.3194,1.3338,0.4368,0.0966,0.5058,0.3513,0.3534,0.7914,0.2275,0.3534,0.384,100.0,20.0,skl_agglomerativeClust,cure-t0-2000n-2D_y.zip
