threshold,branching_factor,n_clusters,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.5,50,10,0.0290837287902832,0.4422,2593.5155,0.7873,0.4443,0.113,0.639,0.4359,0.4377,1.0,0.2801,0.4377,0.3972,,,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,10,0.028062105178833,0.4422,2593.5155,0.7873,0.4443,0.113,0.639,0.4359,0.4377,1.0,0.2801,0.4377,0.3972,1000.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,10,0.02852463722229,0.4422,2593.5155,0.7873,0.4443,0.113,0.639,0.4359,0.4377,1.0,0.2801,0.4377,0.3972,100.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,10,0.0289416313171386,0.4422,2593.5155,0.7873,0.4443,0.113,0.639,0.4359,0.4377,1.0,0.2801,0.4377,0.3972,inf,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,12,0.0319647789001464,0.4411,2774.4626,0.7864,0.4332,0.1004,0.639,0.4208,0.4227,1.0,0.268,0.4227,0.3754,,,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,12,0.02824068069458,0.4411,2774.4626,0.7864,0.4332,0.1004,0.639,0.4208,0.4227,1.0,0.268,0.4227,0.3754,1000.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,12,0.0281994342803955,0.4411,2774.4626,0.7864,0.4332,0.1004,0.639,0.4208,0.4227,1.0,0.268,0.4227,0.3754,100.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,12,0.0289287567138671,0.4411,2774.4626,0.7864,0.4332,0.1004,0.639,0.4208,0.4227,1.0,0.268,0.4227,0.3754,inf,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,2,0.0281250476837158,0.3322,1068.7954,1.2106,0.5162,0.0273,0.1332,0.2007,0.2013,0.2085,0.1946,0.2013,0.5908,,,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,2,0.0284099578857421,0.3322,1068.7954,1.2106,0.5162,0.0273,0.1332,0.2007,0.2013,0.2085,0.1946,0.2013,0.5908,1000.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,2,0.0286111831665039,0.3322,1068.7954,1.2106,0.5162,0.0273,0.1332,0.2007,0.2013,0.2085,0.1946,0.2013,0.5908,100.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,2,0.0286610126495361,0.3322,1068.7954,1.2106,0.5162,0.0273,0.1332,0.2007,0.2013,0.2085,0.1946,0.2013,0.5908,inf,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,3,0.0294160842895507,0.3408,1337.7819,0.9222,0.5114,0.0902,0.2124,0.2566,0.2575,0.3323,0.2101,0.2575,0.5516,,,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,4,0.029151439666748,0.3222,1357.8013,0.8312,0.4218,-0.0222,0.2124,0.2178,0.219,0.3323,0.1633,0.219,0.4266,,,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,4,0.0284132957458496,0.3222,1357.8013,0.8312,0.4218,-0.0222,0.2124,0.2178,0.219,0.3323,0.1633,0.219,0.4266,1000.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,4,0.0286540985107421,0.3222,1357.8013,0.8312,0.4218,-0.0222,0.2124,0.2178,0.219,0.3323,0.1633,0.219,0.4266,100.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,4,0.0289258956909179,0.3222,1357.8013,0.8312,0.4218,-0.0222,0.2124,0.2178,0.219,0.3323,0.1633,0.219,0.4266,inf,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,6,0.0292272567749023,0.4365,1981.1169,0.787,0.5282,0.2133,0.639,0.5391,0.5401,1.0,0.37,0.5401,0.5339,,,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,6,0.0284218788146972,0.4365,1981.1169,0.787,0.5282,0.2133,0.639,0.5391,0.5401,1.0,0.37,0.5401,0.5339,1000.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,6,0.0284733772277832,0.4365,1981.1169,0.787,0.5282,0.2133,0.639,0.5391,0.5401,1.0,0.37,0.5401,0.5339,100.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,6,0.0288412570953369,0.4365,1981.1169,0.787,0.5282,0.2133,0.639,0.5391,0.5401,1.0,0.37,0.5401,0.5339,inf,20.0,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,8,0.0290610790252685,0.4262,2391.8657,0.7924,0.4714,0.1445,0.639,0.4733,0.4747,1.0,0.3112,0.4747,0.4459,,,skl_birch,cure-t0-2000n-2D_y.zip
0.5,50,8,0.0283873081207275,0.4262,2391.8657,0.7924,0.4714,0.1445,0.639,0.4733,0.4747,1.0,0.3112,0.4747,0.4459,1000.0,20.0,skl_birch,cure-t0-2000n-2D_y.zip
