n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.068552017211914,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,,,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.0755305290222168,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,1000.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.0486440658569335,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,100.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.0496373176574707,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,inf,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.0626399517059326,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,,,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.0593283176422119,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,1000.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.0622065067291259,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,100.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.0520358085632324,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,inf,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,0.0664865970611572,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,,,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,0.0633220672607421,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,1000.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,0.0480599403381347,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,100.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,0.0664131641387939,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,inf,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.0755305290222168,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,1000.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.0486440658569335,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,100.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.0496373176574707,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,inf,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.0593283176422119,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,1000.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.0622065067291259,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,100.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.0520358085632324,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,inf,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,0.0633220672607421,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,1000.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,0.0480599403381347,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,100.0,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,0.0664131641387939,0.4634,2731.934,0.724,0.4674,0.1398,0.639,0.4706,0.472,1.0,0.3089,0.472,0.4391,inf,20.0,skl_kmeans,cure-t0-2000n-2D_y.zip-8_k
