n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,100,Cao,11,False,42,4,0.3158621788024902,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,,,kmodes,cure-t1-2000n-2D_y.zip
10,100,Cao,11,False,42,4,0.2277324199676513,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,1000.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
10,100,Cao,11,False,42,4,0.2295441627502441,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,100.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
10,100,Cao,11,False,42,4,0.2276384830474853,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,inf,20.0,kmodes,cure-t1-2000n-2D_y.zip
10,300,Cao,11,False,42,4,0.3106021881103515,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,,,kmodes,cure-t1-2000n-2D_y.zip
10,300,Cao,11,False,42,4,0.2293474674224853,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,1000.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
10,300,Cao,11,False,42,4,0.2286241054534912,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,100.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
10,300,Cao,11,False,42,4,0.2287039756774902,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,inf,20.0,kmodes,cure-t1-2000n-2D_y.zip
10,500,Cao,11,False,42,4,0.3143038749694824,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,,,kmodes,cure-t1-2000n-2D_y.zip
10,500,Cao,11,False,42,4,0.227123737335205,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,1000.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
10,500,Cao,11,False,42,4,0.2325615882873535,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,100.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
10,500,Cao,11,False,42,4,0.2305212020874023,-0.0839,0.8676,1.0102,0.3137,0.0077,0.0219,0.0214,0.03,0.0154,0.5666,0.03,0.5545,inf,20.0,kmodes,cure-t1-2000n-2D_y.zip
12,100,Cao,11,False,42,4,0.3525707721710205,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,,,kmodes,cure-t1-2000n-2D_y.zip
12,100,Cao,11,False,42,4,0.2586028575897217,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,1000.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
12,100,Cao,11,False,42,4,0.2556831836700439,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,100.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
12,100,Cao,11,False,42,4,0.2568209171295166,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,inf,20.0,kmodes,cure-t1-2000n-2D_y.zip
12,300,Cao,11,False,42,4,0.3600683212280273,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,,,kmodes,cure-t1-2000n-2D_y.zip
12,300,Cao,11,False,42,4,0.255293607711792,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,1000.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
12,300,Cao,11,False,42,4,0.2559797763824463,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,100.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
12,300,Cao,11,False,42,4,0.257127046585083,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,inf,20.0,kmodes,cure-t1-2000n-2D_y.zip
12,500,Cao,11,False,42,4,0.3591368198394775,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,,,kmodes,cure-t1-2000n-2D_y.zip
12,500,Cao,11,False,42,4,0.2551653385162353,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,1000.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
12,500,Cao,11,False,42,4,0.2560403347015381,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,100.0,20.0,kmodes,cure-t1-2000n-2D_y.zip
12,500,Cao,11,False,42,4,0.2566792964935303,-0.0836,0.8698,1.0083,0.3157,0.0095,0.0272,0.0266,0.037,0.0191,0.5756,0.037,0.555,inf,20.0,kmodes,cure-t1-2000n-2D_y.zip
2,100,Cao,11,False,42,4,0.1426513195037841,-0.0582,0.8726,1.0092,0.3058,0.0009,0.0023,0.0022,0.0032,0.0016,0.5384,0.0032,0.5524,,,kmodes,cure-t1-2000n-2D_y.zip
