n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,correlation,average,0.0399897098541259,-0.068,125.1288,4.883,0.5578,0.1097,0.3036,0.2721,0.2781,0.213,0.4005,0.2781,0.4575,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
10,correlation,complete,0.0375828742980957,-0.1076,126.3449,27.756,0.6466,0.0702,0.3027,0.1744,0.1802,0.2124,0.1565,0.1802,0.2974,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
10,correlation,single,0.0288367271423339,0.0944,124.4194,0.7341,0.5551,0.1085,0.3002,0.2748,0.2795,0.2106,0.4152,0.2795,0.459,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
10,cosine,average,0.0438671112060546,0.3096,1732.7593,1.0864,0.7761,0.3639,1.1804,0.6512,0.6535,0.8282,0.5396,0.6535,0.5257,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
10,cosine,complete,0.0427103042602539,0.2655,1608.1867,1.0731,0.7545,0.3129,1.0613,0.5985,0.6011,0.7446,0.504,0.6011,0.4786,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
10,cosine,single,0.0207138061523437,-0.0779,92.4144,2.417,0.612,0.3059,0.4583,0.4532,0.4578,0.3216,0.7941,0.4578,0.6374,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
10,euclidean,average,0.0368709564208984,0.5046,3311.8835,0.6764,0.8025,0.4343,1.3819,0.7548,0.7564,0.9696,0.62,0.7564,0.5937,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
10,euclidean,complete,0.0356550216674804,0.4417,2702.3481,0.83,0.7726,0.3537,1.2535,0.6883,0.6903,0.8795,0.5681,0.6903,0.5164,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
10,euclidean,single,0.0211701393127441,-0.1344,480.2207,0.9034,0.9451,0.8758,1.1746,0.8892,0.89,0.8241,0.9672,0.89,0.9185,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
10,euclidean,ward,0.0424330234527587,0.4951,3439.1435,0.7152,0.797,0.4131,1.393,0.7515,0.7531,0.9773,0.6126,0.7531,0.578,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
12,correlation,average,0.0398859977722168,-0.0678,103.252,5.6817,0.5594,0.1112,0.3076,0.2722,0.2795,0.2158,0.3966,0.2795,0.4575,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
12,correlation,complete,0.0375740528106689,-0.1864,103.9182,26.9024,0.66,0.0544,0.3049,0.1635,0.1702,0.2139,0.1413,0.1702,0.254,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
12,correlation,single,0.02858567237854,0.0956,102.596,0.7074,0.556,0.1096,0.3034,0.2758,0.2814,0.2129,0.4152,0.2814,0.4593,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
12,cosine,average,0.0440421104431152,0.2863,1582.8486,1.0988,0.7705,0.3346,1.1961,0.6331,0.6359,0.8392,0.5118,0.6359,0.5031,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
12,cosine,complete,0.0421478748321533,0.2938,1632.466,1.192,0.7649,0.3149,1.201,0.6308,0.6336,0.8426,0.5076,0.6336,0.4853,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
12,cosine,single,0.0202205181121826,-0.0423,83.1271,2.1955,0.6356,0.337,0.6089,0.5572,0.5616,0.4272,0.8196,0.5616,0.6491,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
12,euclidean,average,0.0368218421936035,0.4957,3588.622,0.7515,0.7835,0.3647,1.3869,0.7174,0.7195,0.9731,0.5708,0.7195,0.5384,skl_agglomerativeClust,cure-t1-2000n-2D_y.zip
