max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,7,30,50,1000.0,100.0,0.0,42,cos,jaccard,22.14845037460327,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,1000.0,100.0,0.1,42,cos,jaccard,130.83725690841675,-0.473,2.7184,2.2745,0.2431,0.001,0.0042,0.0016,0.0049,0.0025,0.2033,0.0049,0.4894,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,1000.0,100.0,0.2,42,cos,jaccard,132.20767068862915,-0.473,2.7184,2.2745,0.2431,0.001,0.0042,0.0016,0.0049,0.0025,0.2033,0.0049,0.4894,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,1000.0,20.0,0.0,42,cos,jaccard,22.0312602519989,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,1000.0,20.0,0.1,42,cos,jaccard,131.49652361869812,-0.473,2.7184,2.2745,0.2431,0.001,0.0042,0.0016,0.0049,0.0025,0.2033,0.0049,0.4894,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,1000.0,20.0,0.2,42,cos,jaccard,131.3600571155548,-0.473,2.7184,2.2745,0.2431,0.001,0.0042,0.0016,0.0049,0.0025,0.2033,0.0049,0.4894,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,1000.0,inf,0.0,42,cos,jaccard,0.6565907001495361,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,1000.0,inf,0.1,42,cos,jaccard,0.620640754699707,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,1000.0,inf,0.2,42,cos,jaccard,0.6877419948577881,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,100.0,100.0,0.0,42,cos,jaccard,0.0782527923583984,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,100.0,100.0,0.1,42,cos,jaccard,0.0956051349639892,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,100.0,100.0,0.2,42,cos,jaccard,0.0806026458740234,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,100.0,20.0,0.0,42,cos,jaccard,2.2301290035247803,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,100.0,20.0,0.1,42,cos,jaccard,13.216020822525024,-0.0826,24.5864,16.5853,0.2612,-0.0019,0.016,0.0127,0.0176,0.0095,0.1122,0.0176,0.4775,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,100.0,20.0,0.2,42,cos,jaccard,13.095192432403564,-0.0826,24.5864,16.5853,0.2612,-0.0019,0.016,0.0127,0.0176,0.0095,0.1122,0.0176,0.4775,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,100.0,inf,0.0,42,cos,jaccard,0.0824129581451416,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,100.0,inf,0.1,42,cos,jaccard,0.0787367820739746,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,100.0,inf,0.2,42,cos,jaccard,0.0800201892852783,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,inf,100.0,0.0,42,cos,jaccard,88.89842700958252,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,inf,100.0,0.1,42,cos,jaccard,536.0095975399017,-0.0623,1.9074,0.7033,0.242,0.0007,0.0033,0.0011,0.0039,0.002,0.2483,0.0039,0.4897,CenterParTree2,cure-t2-4k_y.zip
10,7,30,50,inf,100.0,0.2,42,cos,jaccard,536.8456268310547,-0.0623,1.9074,0.7033,0.242,0.0007,0.0033,0.0011,0.0039,0.002,0.2483,0.0039,0.4897,CenterParTree2,cure-t2-4k_y.zip
