max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,30,50,1000.0,100.0,0.0,5.848058223724365,0.4426,5745.6921,0.7806,0.8399,0.461,1.4073,0.7165,0.7175,0.8392,0.6265,0.7175,0.5841,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,1000.0,100.0,0.1,5.896621942520142,0.4426,5745.6921,0.7806,0.8399,0.461,1.4073,0.7165,0.7175,0.8392,0.6265,0.7175,0.5841,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,1000.0,100.0,0.2,5.873502492904663,0.4426,5745.6921,0.7806,0.8399,0.461,1.4073,0.7165,0.7175,0.8392,0.6265,0.7175,0.5841,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,1000.0,20.0,0.0,5.889035224914551,0.4426,5745.6921,0.7806,0.8399,0.461,1.4073,0.7165,0.7175,0.8392,0.6265,0.7175,0.5841,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,1000.0,20.0,0.1,5.8533549308776855,0.4426,5745.6921,0.7806,0.8399,0.461,1.4073,0.7165,0.7175,0.8392,0.6265,0.7175,0.5841,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,1000.0,20.0,0.2,5.860048294067383,0.4426,5745.6921,0.7806,0.8399,0.461,1.4073,0.7165,0.7175,0.8392,0.6265,0.7175,0.5841,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,100.0,20.0,0.0,0.6329793930053711,0.4471,5818.7913,0.7774,0.8406,0.4631,1.4177,0.7215,0.7225,0.8455,0.6307,0.7225,0.5862,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,100.0,20.0,0.1,0.6259427070617676,0.4471,5818.7913,0.7774,0.8406,0.4631,1.4177,0.7215,0.7225,0.8455,0.6307,0.7225,0.5862,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,100.0,20.0,0.2,0.7192738056182861,0.4471,5818.7913,0.7774,0.8406,0.4631,1.4177,0.7215,0.7225,0.8455,0.6307,0.7225,0.5862,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,inf,100.0,0.0,23.440022706985477,0.4303,5591.5288,0.813,0.825,0.4059,1.3167,0.6656,0.6667,0.7852,0.5792,0.6667,0.5353,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,inf,100.0,0.1,23.58129072189331,0.4303,5591.5288,0.813,0.825,0.4059,1.3167,0.6656,0.6667,0.7852,0.5792,0.6667,0.5353,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,inf,100.0,0.2,23.6506872177124,0.4303,5591.5288,0.813,0.825,0.4059,1.3167,0.6656,0.6667,0.7852,0.5792,0.6667,0.5353,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,inf,20.0,0.0,23.561203002929688,0.4303,5591.5288,0.813,0.825,0.4059,1.3167,0.6656,0.6667,0.7852,0.5792,0.6667,0.5353,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,inf,20.0,0.1,23.407798051834103,0.4303,5591.5288,0.813,0.825,0.4059,1.3167,0.6656,0.6667,0.7852,0.5792,0.6667,0.5353,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,inf,20.0,0.2,23.52425503730774,0.4303,5591.5288,0.813,0.825,0.4059,1.3167,0.6656,0.6667,0.7852,0.5792,0.6667,0.5353,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,inf,inf,0.0,41.38043522834778,-0.2381,24.0278,0.712,0.3509,0.0756,0.2248,0.2318,0.2349,0.134,0.9495,0.2349,0.5192,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,inf,inf,0.1,41.23758888244629,-0.2381,24.0278,0.712,0.3509,0.0756,0.2248,0.2318,0.2349,0.134,0.9495,0.2349,0.5192,VarianceParTree,cure-t2-4k_y.zip
10,10,30,50,inf,inf,0.2,41.31012773513794,-0.2381,24.0278,0.712,0.3509,0.0756,0.2248,0.2318,0.2349,0.134,0.9495,0.2349,0.5192,VarianceParTree,cure-t2-4k_y.zip
10,10,30,5,1000.0,100.0,0.0,5.794793605804443,0.4426,5745.6921,0.7806,0.8399,0.461,1.4073,0.7165,0.7175,0.8392,0.6265,0.7175,0.5841,VarianceParTree,cure-t2-4k_y.zip
10,10,30,5,1000.0,100.0,0.1,5.860300064086914,0.4426,5745.6921,0.7806,0.8399,0.461,1.4073,0.7165,0.7175,0.8392,0.6265,0.7175,0.5841,VarianceParTree,cure-t2-4k_y.zip
10,10,30,5,1000.0,100.0,0.2,5.86932110786438,0.4426,5745.6921,0.7806,0.8399,0.461,1.4073,0.7165,0.7175,0.8392,0.6265,0.7175,0.5841,VarianceParTree,cure-t2-4k_y.zip
