amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,0.031139850616455,0.5024,7252.1798,0.6721,0.8274,0.411,1.3753,0.6923,0.6933,0.8201,0.6004,0.6933,0.5412,pyc_xmeans,cure-t2-4k_y.zip
10,14,0.0410068035125732,0.4829,7864.0141,0.7161,0.8147,0.3346,1.4381,0.668,0.6695,0.8576,0.5491,0.6695,0.4826,pyc_xmeans,cure-t2-4k_y.zip
10,18,0.0947415828704834,0.4698,7459.8535,0.7573,0.8191,0.3569,1.4339,0.6776,0.679,0.8551,0.563,0.679,0.5016,pyc_xmeans,cure-t2-4k_y.zip
10,2,0.0841906070709228,0.502,7255.3383,0.6701,0.8279,0.4129,1.3764,0.693,0.694,0.8208,0.6011,0.694,0.5429,pyc_xmeans,cure-t2-4k_y.zip
10,22,0.0605764389038085,0.4677,7735.5158,0.7604,0.8113,0.3137,1.4608,0.6604,0.6621,0.8711,0.5339,0.6621,0.4665,pyc_xmeans,cure-t2-4k_y.zip
10,6,0.0262670516967773,0.4961,7113.5461,0.6849,0.8279,0.4135,1.3748,0.6927,0.6937,0.8199,0.6012,0.6937,0.5433,pyc_xmeans,cure-t2-4k_y.zip
12,10,0.0269033908843994,0.4988,7139.0104,0.6868,0.8178,0.366,1.3794,0.6692,0.6704,0.8226,0.5658,0.6704,0.5034,pyc_xmeans,cure-t2-4k_y.zip
12,14,0.1014981269836425,0.4653,7473.8482,0.7891,0.8164,0.3419,1.4415,0.6707,0.6722,0.8596,0.5518,0.6722,0.4895,pyc_xmeans,cure-t2-4k_y.zip
12,18,0.0342054367065429,0.4666,7400.4554,0.7735,0.8194,0.3572,1.4422,0.6811,0.6824,0.8601,0.5656,0.6824,0.5022,pyc_xmeans,cure-t2-4k_y.zip
12,2,0.0297763347625732,0.4878,6946.8734,0.7657,0.8185,0.3689,1.3767,0.6685,0.6697,0.821,0.5655,0.6697,0.506,pyc_xmeans,cure-t2-4k_y.zip
12,22,0.0386633872985839,0.447,6911.2965,0.8379,0.8149,0.3298,1.4753,0.672,0.6736,0.8798,0.5457,0.6736,0.4815,pyc_xmeans,cure-t2-4k_y.zip
12,6,0.027616262435913,0.4879,6564.8172,0.7371,0.8238,0.3914,1.3956,0.6852,0.6864,0.8323,0.5841,0.6864,0.5259,pyc_xmeans,cure-t2-4k_y.zip
2,10,0.0895571708679199,0.4381,5748.7625,0.7772,0.8032,0.3413,1.2811,0.6518,0.6529,0.764,0.5701,0.6529,0.4742,pyc_xmeans,cure-t2-4k_y.zip
2,14,0.0416545867919921,0.4827,7860.8081,0.7115,0.815,0.3357,1.4415,0.6697,0.6711,0.8597,0.5504,0.6711,0.4837,pyc_xmeans,cure-t2-4k_y.zip
2,18,0.0442385673522949,0.464,7373.6831,0.7772,0.8188,0.3551,1.4353,0.6777,0.679,0.8559,0.5627,0.679,0.5001,pyc_xmeans,cure-t2-4k_y.zip
2,2,0.0284011363983154,0.4011,2960.4628,1.0686,0.627,0.2596,0.4558,0.3855,0.3858,0.2718,0.6646,0.3858,0.5362,pyc_xmeans,cure-t2-4k_y.zip
2,22,0.0458738803863525,0.4718,7454.749,0.7542,0.82,0.3604,1.4391,0.6803,0.6817,0.8582,0.5654,0.6817,0.505,pyc_xmeans,cure-t2-4k_y.zip
2,6,0.035262107849121,0.4696,5552.3884,0.7628,0.8294,0.4823,1.2316,0.713,0.7136,0.7345,0.6939,0.7136,0.5942,pyc_xmeans,cure-t2-4k_y.zip
4,10,0.034841775894165,0.5025,7257.7852,0.6663,0.8282,0.4141,1.3783,0.6941,0.6951,0.822,0.6021,0.6951,0.544,pyc_xmeans,cure-t2-4k_y.zip
4,14,0.0531573295593261,0.446,6938.1699,0.7884,0.8176,0.347,1.4364,0.669,0.6704,0.8566,0.5507,0.6704,0.4944,pyc_xmeans,cure-t2-4k_y.zip
4,18,0.0483043193817138,0.4687,7470.062,0.7756,0.817,0.3446,1.444,0.6725,0.6739,0.8611,0.5535,0.6739,0.492,pyc_xmeans,cure-t2-4k_y.zip
4,2,0.0855510234832763,0.4769,5280.9159,0.7007,0.8509,0.6022,1.0078,0.6614,0.6619,0.601,0.7365,0.6619,0.7019,pyc_xmeans,cure-t2-4k_y.zip
4,22,0.1048314571380615,0.4637,7372.6964,0.7711,0.8191,0.3564,1.4391,0.6796,0.6809,0.8582,0.5643,0.6809,0.5014,pyc_xmeans,cure-t2-4k_y.zip
4,6,0.03206467628479,0.4223,4358.0657,0.8769,0.8419,0.5275,1.1026,0.6428,0.6435,0.6576,0.6301,0.6435,0.6313,pyc_xmeans,cure-t2-4k_y.zip
6,10,0.0351772308349609,0.5034,7263.4213,0.6673,0.8275,0.4113,1.3748,0.6921,0.6931,0.8198,0.6003,0.6931,0.5415,pyc_xmeans,cure-t2-4k_y.zip
6,14,0.102504014968872,0.4729,7230.5496,0.7401,0.8241,0.3812,1.4354,0.6907,0.6919,0.856,0.5806,0.6919,0.5218,pyc_xmeans,cure-t2-4k_y.zip
6,18,0.0402009487152099,0.4722,6695.9423,0.7448,0.8301,0.4114,1.4109,0.6944,0.6955,0.8414,0.5927,0.6955,0.5459,pyc_xmeans,cure-t2-4k_y.zip
6,2,0.0277636051177978,0.4477,5292.9729,0.8308,0.8305,0.4863,1.138,0.6593,0.66,0.6787,0.6424,0.66,0.5975,pyc_xmeans,cure-t2-4k_y.zip
