eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.1,10,correlation,auto,4,0.1855385303497314,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,,,skl_DBSCAN,cure-t2-4k_y.zip
0.1,10,correlation,auto,4,0.1614789962768554,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,1000.0,20.0,skl_DBSCAN,cure-t2-4k_y.zip
0.1,10,correlation,auto,4,0.163280963897705,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,100.0,20.0,skl_DBSCAN,cure-t2-4k_y.zip
0.1,10,correlation,auto,4,0.1625523567199707,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,inf,20.0,skl_DBSCAN,cure-t2-4k_y.zip
0.1,10,cosine,auto,4,0.1999905109405517,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,,,skl_DBSCAN,cure-t2-4k_y.zip
0.1,10,cosine,auto,4,0.2000155448913574,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,1000.0,20.0,skl_DBSCAN,cure-t2-4k_y.zip
0.1,10,cosine,auto,4,0.1955189704895019,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,100.0,20.0,skl_DBSCAN,cure-t2-4k_y.zip
0.1,10,cosine,auto,4,0.2067887783050537,0.0,0.0,0.0,0.2399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898,inf,20.0,skl_DBSCAN,cure-t2-4k_y.zip
0.1,10,euclidean,auto,4,0.014519453048706,0.2058,1718.2318,1.6363,0.9221,0.8066,1.2993,0.8639,0.8643,0.7749,0.977,0.8643,0.8666,,,skl_DBSCAN,cure-t2-4k_y.zip
0.1,10,euclidean,auto,4,0.0145196914672851,0.2058,1718.2318,1.6363,0.9221,0.8066,1.2993,0.8639,0.8643,0.7749,0.977,0.8643,0.8666,1000.0,20.0,skl_DBSCAN,cure-t2-4k_y.zip
