min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,inf,correlation,auto,4,11.519431829452516,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,,,skl_OPTICS,cure-t2-4k_y.zip
10,inf,correlation,auto,4,11.366950988769531,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,correlation,auto,4,11.32509732246399,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,correlation,auto,4,11.412060022354126,0.3627,2539.7573,1.1852,0.5489,0.0989,0.3014,0.254,0.2545,0.1797,0.4356,0.2545,0.4181,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,cosine,auto,4,20.33401751518249,-0.3645,44.4479,9.1855,0.7178,-0.0092,1.061,0.3186,0.3524,0.6328,0.2442,0.3524,0.1258,,,skl_OPTICS,cure-t2-4k_y.zip
10,inf,cosine,auto,4,16.774143934249878,-0.3645,44.4479,9.1855,0.7178,-0.0092,1.061,0.3186,0.3524,0.6328,0.2442,0.3524,0.1258,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,cosine,auto,4,16.659612894058228,-0.3645,44.4479,9.1855,0.7178,-0.0092,1.061,0.3186,0.3524,0.6328,0.2442,0.3524,0.1258,100.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,cosine,auto,4,16.70142650604248,-0.3645,44.4479,9.1855,0.7178,-0.0092,1.061,0.3186,0.3524,0.6328,0.2442,0.3524,0.1258,inf,20.0,skl_OPTICS,cure-t2-4k_y.zip
10,inf,euclidean,auto,4,9.34013056755066,-0.3834,28.2114,1.3833,0.5462,0.029,0.6005,0.2937,0.3179,0.3581,0.2858,0.3179,0.3448,,,skl_OPTICS,cure-t2-4k_y.zip
10,inf,euclidean,auto,4,8.31428599357605,-0.3834,28.2114,1.3833,0.5462,0.029,0.6005,0.2937,0.3179,0.3581,0.2858,0.3179,0.3448,1000.0,20.0,skl_OPTICS,cure-t2-4k_y.zip
