n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0415594577789306,0.4158,4085.0962,0.9219,0.8797,0.6275,1.3622,0.7555,0.7562,0.8124,0.7072,0.7562,0.7134,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0790412425994873,0.4221,4054.6972,0.777,0.8795,0.6284,1.3481,0.7545,0.7552,0.804,0.712,0.7552,0.7138,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0413672924041748,0.4158,4085.0962,0.9219,0.8797,0.6275,1.3622,0.7555,0.7562,0.8124,0.7072,0.7562,0.7134,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0420517921447753,0.4221,4054.6972,0.777,0.8795,0.6284,1.3481,0.7545,0.7552,0.804,0.712,0.7552,0.7138,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0411581993103027,0.4158,4085.0962,0.9219,0.8797,0.6275,1.3622,0.7555,0.7562,0.8124,0.7072,0.7562,0.7134,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.062939167022705,0.4221,4054.6972,0.777,0.8795,0.6284,1.3481,0.7545,0.7552,0.804,0.712,0.7552,0.7138,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0417184829711914,0.4158,4085.0962,0.9219,0.8797,0.6275,1.3622,0.7555,0.7562,0.8124,0.7072,0.7562,0.7134,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0480172634124755,0.4221,4054.6972,0.777,0.8795,0.6284,1.3481,0.7545,0.7552,0.804,0.712,0.7552,0.7138,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0830819606781005,0.4158,4085.0962,0.9219,0.8797,0.6275,1.3622,0.7555,0.7562,0.8124,0.7072,0.7562,0.7134,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0573277473449707,0.4221,4054.6972,0.777,0.8795,0.6284,1.3481,0.7545,0.7552,0.804,0.712,0.7552,0.7138,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0411508083343505,0.4158,4085.0962,0.9219,0.8797,0.6275,1.3622,0.7555,0.7562,0.8124,0.7072,0.7562,0.7134,kmeans+dt,cure-t2-4k_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0415616035461425,0.4221,4054.6972,0.777,0.8795,0.6284,1.3481,0.7545,0.7552,0.804,0.712,0.7552,0.7138,kmeans+dt,cure-t2-4k_y.zip-8_True_k
