n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.059117317199707,0.4992,6453.5048,0.6567,0.8448,0.492,1.3375,0.7124,0.7131,0.7976,0.6448,0.7131,0.6061,,,skl_kmeans,cure-t2-4k_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.0349831581115722,0.4992,6453.5048,0.6567,0.8448,0.492,1.3375,0.7124,0.7131,0.7976,0.6448,0.7131,0.6061,1000.0,20.0,skl_kmeans,cure-t2-4k_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.0346450805664062,0.4992,6453.5048,0.6567,0.8448,0.492,1.3375,0.7124,0.7131,0.7976,0.6448,0.7131,0.6061,100.0,20.0,skl_kmeans,cure-t2-4k_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,0.0746397972106933,0.4992,6453.5048,0.6567,0.8448,0.492,1.3375,0.7124,0.7131,0.7976,0.6448,0.7131,0.6061,inf,20.0,skl_kmeans,cure-t2-4k_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.048351764678955,0.4992,6453.5048,0.6567,0.8448,0.492,1.3375,0.7124,0.7131,0.7976,0.6448,0.7131,0.6061,,,skl_kmeans,cure-t2-4k_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.0601704120635986,0.4992,6453.5048,0.6567,0.8448,0.492,1.3375,0.7124,0.7131,0.7976,0.6448,0.7131,0.6061,1000.0,20.0,skl_kmeans,cure-t2-4k_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.073620319366455,0.4992,6453.5048,0.6567,0.8448,0.492,1.3375,0.7124,0.7131,0.7976,0.6448,0.7131,0.6061,100.0,20.0,skl_kmeans,cure-t2-4k_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,0.0344507694244384,0.4992,6453.5048,0.6567,0.8448,0.492,1.3375,0.7124,0.7131,0.7976,0.6448,0.7131,0.6061,inf,20.0,skl_kmeans,cure-t2-4k_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,0.0373694896697998,0.4992,6453.5048,0.6567,0.8448,0.492,1.3375,0.7124,0.7131,0.7976,0.6448,0.7131,0.6061,,,skl_kmeans,cure-t2-4k_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,0.0731549263000488,0.4992,6453.5048,0.6567,0.8448,0.492,1.3375,0.7124,0.7131,0.7976,0.6448,0.7131,0.6061,1000.0,20.0,skl_kmeans,cure-t2-4k_y.zip-8_k
