n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,IMM,1000.0,100,0.0804519653320312,0.0993,74.3103,2.1101,0.4927,0.0463,0.0608,0.0401,0.0443,0.094,0.029,0.0443,0.3251,ExKMC,diabetes_y.zip
10,10,IMM,1000.0,20,0.0864744186401367,0.0993,74.3103,2.1101,0.4927,0.0463,0.0608,0.0401,0.0443,0.094,0.029,0.0443,0.3251,ExKMC,diabetes_y.zip
10,10,IMM,100.0,100,0.0445239543914794,0.1217,76.5248,1.8927,0.5041,0.067,0.0941,0.0658,0.07,0.1455,0.0461,0.07,0.3486,ExKMC,diabetes_y.zip
10,10,IMM,100.0,20,0.0634193420410156,0.0993,74.3103,2.1101,0.4927,0.0463,0.0608,0.0401,0.0443,0.094,0.029,0.0443,0.3251,ExKMC,diabetes_y.zip
10,10,IMM,inf,100,0.0801067352294921,0.0993,74.3103,2.1101,0.4927,0.0463,0.0608,0.0401,0.0443,0.094,0.029,0.0443,0.3251,ExKMC,diabetes_y.zip
10,10,IMM,inf,20,0.0525848865509033,0.0993,74.3103,2.1101,0.4927,0.0463,0.0608,0.0401,0.0443,0.094,0.029,0.0443,0.3251,ExKMC,diabetes_y.zip
10,10,NONE,1000.0,100,0.0461981296539306,0.1062,76.8372,1.9328,0.4889,0.037,0.0505,0.0343,0.0382,0.0781,0.0252,0.0382,0.3275,ExKMC,diabetes_y.zip
10,10,NONE,1000.0,20,0.0666861534118652,0.1062,76.8372,1.9328,0.4889,0.037,0.0505,0.0343,0.0382,0.0781,0.0252,0.0382,0.3275,ExKMC,diabetes_y.zip
10,10,NONE,100.0,100,0.0795629024505615,0.1258,85.0095,1.6658,0.4961,0.0505,0.0711,0.0508,0.0547,0.1099,0.0364,0.0547,0.3401,ExKMC,diabetes_y.zip
10,10,NONE,100.0,20,0.0572199821472168,0.1062,76.8372,1.9328,0.4889,0.037,0.0505,0.0343,0.0382,0.0781,0.0252,0.0382,0.3275,ExKMC,diabetes_y.zip
10,10,NONE,inf,100,0.0705366134643554,0.1062,76.8372,1.9328,0.4889,0.037,0.0505,0.0343,0.0382,0.0781,0.0252,0.0382,0.3275,ExKMC,diabetes_y.zip
10,10,NONE,inf,20,0.0702211856842041,0.1062,76.8372,1.9328,0.4889,0.037,0.0505,0.0343,0.0382,0.0781,0.0252,0.0382,0.3275,ExKMC,diabetes_y.zip
10,12,IMM,1000.0,100,0.0433807373046875,0.1022,76.231,1.8472,0.4933,0.0464,0.0678,0.0457,0.0498,0.1049,0.0327,0.0498,0.3308,ExKMC,diabetes_y.zip
10,12,IMM,1000.0,20,0.044234275817871,0.1022,76.231,1.8472,0.4933,0.0464,0.0678,0.0457,0.0498,0.1049,0.0327,0.0498,0.3308,ExKMC,diabetes_y.zip
10,12,IMM,100.0,100,0.0931248664855957,0.1275,80.4806,1.6922,0.5055,0.0697,0.0993,0.0695,0.0736,0.1536,0.0484,0.0736,0.35,ExKMC,diabetes_y.zip
10,12,IMM,100.0,20,0.0862097740173339,0.1022,76.231,1.8472,0.4933,0.0464,0.0678,0.0457,0.0498,0.1049,0.0327,0.0498,0.3308,ExKMC,diabetes_y.zip
10,12,IMM,inf,100,0.0392026901245117,0.1022,76.231,1.8472,0.4933,0.0464,0.0678,0.0457,0.0498,0.1049,0.0327,0.0498,0.3308,ExKMC,diabetes_y.zip
10,12,IMM,inf,20,0.0515334606170654,0.1022,76.231,1.8472,0.4933,0.0464,0.0678,0.0457,0.0498,0.1049,0.0327,0.0498,0.3308,ExKMC,diabetes_y.zip
10,12,NONE,1000.0,100,0.0717644691467285,0.1031,78.9647,2.0896,0.489,0.0394,0.0591,0.0402,0.044,0.0914,0.029,0.044,0.319,ExKMC,diabetes_y.zip
10,12,NONE,1000.0,20,0.1188251972198486,0.1031,78.9647,2.0896,0.489,0.0394,0.0591,0.0402,0.044,0.0914,0.029,0.044,0.319,ExKMC,diabetes_y.zip
10,12,NONE,100.0,100,0.0879499912261962,0.114,80.5783,1.7726,0.4978,0.0561,0.0798,0.0545,0.0587,0.1233,0.0385,0.0587,0.3331,ExKMC,diabetes_y.zip
10,12,NONE,100.0,20,0.085482120513916,0.1031,78.9647,2.0896,0.489,0.0394,0.0591,0.0402,0.044,0.0914,0.029,0.044,0.319,ExKMC,diabetes_y.zip
10,12,NONE,inf,100,0.073091983795166,0.1031,78.9647,2.0896,0.489,0.0394,0.0591,0.0402,0.044,0.0914,0.029,0.044,0.319,ExKMC,diabetes_y.zip
10,12,NONE,inf,20,0.0802736282348632,0.1031,78.9647,2.0896,0.489,0.0394,0.0591,0.0402,0.044,0.0914,0.029,0.044,0.319,ExKMC,diabetes_y.zip
12,12,IMM,1000.0,100,0.1195564270019531,0.0971,74.0131,1.9457,0.4895,0.0472,0.0988,0.0611,0.0656,0.1527,0.0418,0.0656,0.2905,ExKMC,diabetes_y.zip
12,12,IMM,1000.0,20,0.0697684288024902,0.0971,74.0131,1.9457,0.4895,0.0472,0.0988,0.0611,0.0656,0.1527,0.0418,0.0656,0.2905,ExKMC,diabetes_y.zip
12,12,IMM,100.0,100,0.0711243152618408,0.1063,76.1327,1.667,0.4898,0.046,0.1018,0.0648,0.0695,0.1575,0.0446,0.0695,0.2983,ExKMC,diabetes_y.zip
12,12,IMM,100.0,20,0.0203192234039306,0.0971,74.0131,1.9457,0.4895,0.0472,0.0988,0.0611,0.0656,0.1527,0.0418,0.0656,0.2905,ExKMC,diabetes_y.zip
12,12,IMM,inf,100,0.0842502117156982,0.0971,74.0131,1.9457,0.4895,0.0472,0.0988,0.0611,0.0656,0.1527,0.0418,0.0656,0.2905,ExKMC,diabetes_y.zip
12,12,IMM,inf,20,0.0798051357269287,0.0971,74.0131,1.9457,0.4895,0.0472,0.0988,0.0611,0.0656,0.1527,0.0418,0.0656,0.2905,ExKMC,diabetes_y.zip
