n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,0.3218021392822265,0.1275,91.5573,1.6214,0.4951,0.0534,0.0924,0.0621,0.0661,0.1429,0.043,0.0661,0.3195,ShallowTree,diabetes_y.zip
10,0.01,1000.0,20,0.3707389831542969,0.1275,91.5573,1.6214,0.4951,0.0534,0.0924,0.0621,0.0661,0.1429,0.043,0.0661,0.3195,ShallowTree,diabetes_y.zip
10,0.01,100.0,100,0.547276496887207,0.1232,87.4147,1.7101,0.4943,0.0508,0.0767,0.0512,0.0553,0.1186,0.036,0.0553,0.3225,ShallowTree,diabetes_y.zip
10,0.01,100.0,20,0.5227711200714111,0.1275,91.5573,1.6214,0.4951,0.0534,0.0924,0.0621,0.0661,0.1429,0.043,0.0661,0.3195,ShallowTree,diabetes_y.zip
10,0.01,inf,100,0.951040267944336,0.1275,91.5573,1.6214,0.4951,0.0534,0.0924,0.0621,0.0661,0.1429,0.043,0.0661,0.3195,ShallowTree,diabetes_y.zip
10,0.01,inf,20,0.6994826793670654,0.1275,91.5573,1.6214,0.4951,0.0534,0.0924,0.0621,0.0661,0.1429,0.043,0.0661,0.3195,ShallowTree,diabetes_y.zip
10,0.03,1000.0,100,0.3885300159454345,0.1115,88.8151,1.6998,0.4898,0.044,0.0905,0.0605,0.0644,0.1399,0.0418,0.0644,0.3073,ShallowTree,diabetes_y.zip
10,0.03,1000.0,20,0.4326341152191162,0.1115,88.8151,1.6998,0.4898,0.044,0.0905,0.0605,0.0644,0.1399,0.0418,0.0644,0.3073,ShallowTree,diabetes_y.zip
10,0.03,100.0,100,0.4549262523651123,0.1223,87.6635,1.7403,0.4922,0.0476,0.0721,0.0475,0.0516,0.1114,0.0335,0.0516,0.3155,ShallowTree,diabetes_y.zip
10,0.03,100.0,20,0.2616820335388183,0.1115,88.8151,1.6998,0.4898,0.044,0.0905,0.0605,0.0644,0.1399,0.0418,0.0644,0.3073,ShallowTree,diabetes_y.zip
10,0.03,inf,100,0.2256438732147216,0.1115,88.8151,1.6998,0.4898,0.044,0.0905,0.0605,0.0644,0.1399,0.0418,0.0644,0.3073,ShallowTree,diabetes_y.zip
10,0.03,inf,20,0.3805336952209472,0.1115,88.8151,1.6998,0.4898,0.044,0.0905,0.0605,0.0644,0.1399,0.0418,0.0644,0.3073,ShallowTree,diabetes_y.zip
10,0.05,1000.0,100,0.539207935333252,0.105,84.9285,1.6707,0.4887,0.0414,0.0843,0.0566,0.0606,0.1303,0.0395,0.0606,0.3075,ShallowTree,diabetes_y.zip
10,0.05,1000.0,20,1.092238187789917,0.105,84.9285,1.6707,0.4887,0.0414,0.0843,0.0566,0.0606,0.1303,0.0395,0.0606,0.3075,ShallowTree,diabetes_y.zip
10,0.05,100.0,100,0.451643705368042,0.1162,84.9344,1.7779,0.4926,0.048,0.0719,0.0476,0.0517,0.1112,0.0337,0.0517,0.3172,ShallowTree,diabetes_y.zip
10,0.05,100.0,20,0.3256433010101318,0.105,84.9285,1.6707,0.4887,0.0414,0.0843,0.0566,0.0606,0.1303,0.0395,0.0606,0.3075,ShallowTree,diabetes_y.zip
10,0.05,inf,100,0.3937253952026367,0.105,84.9285,1.6707,0.4887,0.0414,0.0843,0.0566,0.0606,0.1303,0.0395,0.0606,0.3075,ShallowTree,diabetes_y.zip
10,0.05,inf,20,0.5604619979858398,0.105,84.9285,1.6707,0.4887,0.0414,0.0843,0.0566,0.0606,0.1303,0.0395,0.0606,0.3075,ShallowTree,diabetes_y.zip
10,0.0,1000.0,100,0.2086696624755859,0.1222,89.7783,1.6059,0.4957,0.0531,0.1005,0.0687,0.0727,0.1554,0.0475,0.0727,0.3256,ShallowTree,diabetes_y.zip
10,0.0,1000.0,20,0.3732979297637939,0.1222,89.7783,1.6059,0.4957,0.0531,0.1005,0.0687,0.0727,0.1554,0.0475,0.0727,0.3256,ShallowTree,diabetes_y.zip
10,0.0,100.0,100,0.2400774955749511,0.123,89.7197,1.6703,0.4945,0.0511,0.077,0.0513,0.0554,0.119,0.0361,0.0554,0.3226,ShallowTree,diabetes_y.zip
10,0.0,100.0,20,0.3251819610595703,0.1222,89.7783,1.6059,0.4957,0.0531,0.1005,0.0687,0.0727,0.1554,0.0475,0.0727,0.3256,ShallowTree,diabetes_y.zip
10,0.0,inf,100,0.270519495010376,0.1222,89.7783,1.6059,0.4957,0.0531,0.1005,0.0687,0.0727,0.1554,0.0475,0.0727,0.3256,ShallowTree,diabetes_y.zip
10,0.0,inf,20,0.2779057025909424,0.1222,89.7783,1.6059,0.4957,0.0531,0.1005,0.0687,0.0727,0.1554,0.0475,0.0727,0.3256,ShallowTree,diabetes_y.zip
10,1.0,1000.0,100,0.5813426971435547,-0.2394,10.2937,5.2075,0.4986,0.0255,0.0164,0.01,0.0166,0.0254,0.0123,0.0166,0.4452,ShallowTree,diabetes_y.zip
10,1.0,1000.0,20,0.3790466785430908,-0.2394,10.2937,5.2075,0.4986,0.0255,0.0164,0.01,0.0166,0.0254,0.0123,0.0166,0.4452,ShallowTree,diabetes_y.zip
10,1.0,100.0,100,0.8144898414611816,-0.2577,10.4151,4.1251,0.5014,0.0269,0.0173,0.0113,0.0185,0.0268,0.0141,0.0185,0.4597,ShallowTree,diabetes_y.zip
10,1.0,100.0,20,0.585500955581665,-0.2394,10.2937,5.2075,0.4986,0.0255,0.0164,0.01,0.0166,0.0254,0.0123,0.0166,0.4452,ShallowTree,diabetes_y.zip
10,1.0,inf,100,0.5064785480499268,-0.2394,10.2937,5.2075,0.4986,0.0255,0.0164,0.01,0.0166,0.0254,0.0123,0.0166,0.4452,ShallowTree,diabetes_y.zip
10,1.0,inf,20,0.4619417190551758,-0.2394,10.2937,5.2075,0.4986,0.0255,0.0164,0.01,0.0166,0.0254,0.0123,0.0166,0.4452,ShallowTree,diabetes_y.zip
12,0.01,1000.0,100,0.2726926803588867,0.1299,83.2196,1.6149,0.4924,0.0507,0.0854,0.0535,0.0582,0.1321,0.0373,0.0582,0.3041,ShallowTree,diabetes_y.zip
12,0.01,1000.0,20,0.4852299690246582,0.1299,83.2196,1.6149,0.4924,0.0507,0.0854,0.0535,0.0582,0.1321,0.0373,0.0582,0.3041,ShallowTree,diabetes_y.zip
12,0.01,100.0,100,0.386784553527832,0.117,83.9105,1.6228,0.4859,0.0397,0.0943,0.059,0.0637,0.1458,0.0407,0.0637,0.2864,ShallowTree,diabetes_y.zip
12,0.01,100.0,20,0.6010265350341797,0.1299,83.2196,1.6149,0.4924,0.0507,0.0854,0.0535,0.0582,0.1321,0.0373,0.0582,0.3041,ShallowTree,diabetes_y.zip
12,0.01,inf,100,0.6336710453033447,0.1299,83.2196,1.6149,0.4924,0.0507,0.0854,0.0535,0.0582,0.1321,0.0373,0.0582,0.3041,ShallowTree,diabetes_y.zip
