n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,correlation,average,1000.0,100,0.0095491409301757,0.0107,50.0577,2.0373,0.4765,0.0133,0.0347,0.0219,0.0263,0.0537,0.0174,0.0263,0.3074,skl_agglomerativeClust,diabetes_y.zip
10,correlation,average,1000.0,20,0.009580373764038,0.0107,50.0577,2.0373,0.4765,0.0133,0.0347,0.0219,0.0263,0.0537,0.0174,0.0263,0.3074,skl_agglomerativeClust,diabetes_y.zip
10,correlation,average,100.0,100,0.0095407962799072,0.0239,53.9335,1.8725,0.4712,0.0076,0.0285,0.0165,0.0208,0.0441,0.0136,0.0208,0.2786,skl_agglomerativeClust,diabetes_y.zip
10,correlation,average,100.0,20,0.0095517635345458,0.0107,50.0577,2.0373,0.4765,0.0133,0.0347,0.0219,0.0263,0.0537,0.0174,0.0263,0.3074,skl_agglomerativeClust,diabetes_y.zip
10,correlation,average,20.0,20,0.0101115703582763,0.0393,57.346,1.8549,0.4689,0.0021,0.0335,0.0204,0.0247,0.0517,0.0162,0.0247,0.2811,skl_agglomerativeClust,diabetes_y.zip
10,correlation,average,inf,100,0.0095629692077636,0.0107,50.0577,2.0373,0.4765,0.0133,0.0347,0.0219,0.0263,0.0537,0.0174,0.0263,0.3074,skl_agglomerativeClust,diabetes_y.zip
10,correlation,average,inf,20,0.0095782279968261,0.0107,50.0577,2.0373,0.4765,0.0133,0.0347,0.0219,0.0263,0.0537,0.0174,0.0263,0.3074,skl_agglomerativeClust,diabetes_y.zip
10,correlation,complete,1000.0,100,0.0089540481567382,0.0539,47.9232,2.3678,0.4732,0.0144,0.0326,0.0187,0.0227,0.0504,0.0147,0.0227,0.2672,skl_agglomerativeClust,diabetes_y.zip
10,correlation,complete,1000.0,20,0.0089733600616455,0.0539,47.9232,2.3678,0.4732,0.0144,0.0326,0.0187,0.0227,0.0504,0.0147,0.0227,0.2672,skl_agglomerativeClust,diabetes_y.zip
10,correlation,complete,100.0,100,0.0088288784027099,0.0485,52.8037,2.2773,0.468,0.0059,0.0226,0.0116,0.0157,0.035,0.0101,0.0157,0.2508,skl_agglomerativeClust,diabetes_y.zip
10,correlation,complete,100.0,20,0.0089757442474365,0.0539,47.9232,2.3678,0.4732,0.0144,0.0326,0.0187,0.0227,0.0504,0.0147,0.0227,0.2672,skl_agglomerativeClust,diabetes_y.zip
10,correlation,complete,20.0,20,0.0096099376678466,0.0267,47.6277,2.387,0.4724,0.0134,0.0295,0.0165,0.0205,0.0456,0.0132,0.0205,0.2633,skl_agglomerativeClust,diabetes_y.zip
10,correlation,complete,inf,100,0.0089657306671142,0.0539,47.9232,2.3678,0.4732,0.0144,0.0326,0.0187,0.0227,0.0504,0.0147,0.0227,0.2672,skl_agglomerativeClust,diabetes_y.zip
10,correlation,complete,inf,20,0.008591890335083,0.0539,47.9232,2.3678,0.4732,0.0144,0.0326,0.0187,0.0227,0.0504,0.0147,0.0227,0.2672,skl_agglomerativeClust,diabetes_y.zip
10,correlation,single,1000.0,100,0.0051898956298828,-0.3715,0.869,1.459,0.5498,0.0166,0.0112,0.0098,0.0294,0.0173,0.0997,0.0294,0.732,skl_agglomerativeClust,diabetes_y.zip
10,correlation,single,1000.0,20,0.0052063465118408,-0.3715,0.869,1.459,0.5498,0.0166,0.0112,0.0098,0.0294,0.0173,0.0997,0.0294,0.732,skl_agglomerativeClust,diabetes_y.zip
10,correlation,single,100.0,100,0.0051307678222656,-0.3707,0.7424,1.4082,0.5474,0.0098,0.0099,0.0065,0.027,0.0154,0.111,0.027,0.7327,skl_agglomerativeClust,diabetes_y.zip
10,correlation,single,100.0,20,0.0052223205566406,-0.3715,0.869,1.459,0.5498,0.0166,0.0112,0.0098,0.0294,0.0173,0.0997,0.0294,0.732,skl_agglomerativeClust,diabetes_y.zip
10,correlation,single,20.0,20,0.005397081375122,-0.3776,0.7312,1.4997,0.5467,0.0096,0.0124,0.0129,0.0327,0.0192,0.1097,0.0327,0.7298,skl_agglomerativeClust,diabetes_y.zip
10,correlation,single,inf,100,0.0052113533020019,-0.3715,0.869,1.459,0.5498,0.0166,0.0112,0.0098,0.0294,0.0173,0.0997,0.0294,0.732,skl_agglomerativeClust,diabetes_y.zip
10,correlation,single,inf,20,0.0052165985107421,-0.3715,0.869,1.459,0.5498,0.0166,0.0112,0.0098,0.0294,0.0173,0.0997,0.0294,0.732,skl_agglomerativeClust,diabetes_y.zip
10,cosine,average,1000.0,100,0.0092756748199462,0.0849,76.0508,1.7112,0.5034,0.0665,0.086,0.0594,0.0636,0.1329,0.0418,0.0636,0.3438,skl_agglomerativeClust,diabetes_y.zip
10,cosine,average,1000.0,20,0.0092957019805908,0.0849,76.0508,1.7112,0.5034,0.0665,0.086,0.0594,0.0636,0.1329,0.0418,0.0636,0.3438,skl_agglomerativeClust,diabetes_y.zip
10,cosine,average,100.0,100,0.0092291831970214,0.071,75.9886,1.7232,0.4964,0.0545,0.0923,0.0637,0.0678,0.1427,0.0445,0.0678,0.3275,skl_agglomerativeClust,diabetes_y.zip
10,cosine,average,100.0,20,0.0092487335205078,0.0849,76.0508,1.7112,0.5034,0.0665,0.086,0.0594,0.0636,0.1329,0.0418,0.0636,0.3438,skl_agglomerativeClust,diabetes_y.zip
10,cosine,average,20.0,20,0.0097770690917968,0.0935,73.391,1.7176,0.504,0.0668,0.0773,0.0531,0.0574,0.1194,0.0378,0.0574,0.3481,skl_agglomerativeClust,diabetes_y.zip
10,cosine,average,inf,100,0.0092544555664062,0.0849,76.0508,1.7112,0.5034,0.0665,0.086,0.0594,0.0636,0.1329,0.0418,0.0636,0.3438,skl_agglomerativeClust,diabetes_y.zip
10,cosine,average,inf,20,0.0092749595642089,0.0849,76.0508,1.7112,0.5034,0.0665,0.086,0.0594,0.0636,0.1329,0.0418,0.0636,0.3438,skl_agglomerativeClust,diabetes_y.zip
10,cosine,complete,1000.0,100,0.008913516998291,0.05,66.6841,1.9965,0.4885,0.0438,0.0978,0.064,0.0678,0.1513,0.0437,0.0678,0.2949,skl_agglomerativeClust,diabetes_y.zip
10,cosine,complete,1000.0,20,0.008882999420166,0.05,66.6841,1.9965,0.4885,0.0438,0.0978,0.064,0.0678,0.1513,0.0437,0.0678,0.2949,skl_agglomerativeClust,diabetes_y.zip
10,cosine,complete,100.0,100,0.0088703632354736,0.0317,60.5633,1.9931,0.4843,0.0343,0.0935,0.062,0.0659,0.1445,0.0427,0.0659,0.293,skl_agglomerativeClust,diabetes_y.zip
10,cosine,complete,100.0,20,0.0088646411895751,0.05,66.6841,1.9965,0.4885,0.0438,0.0978,0.064,0.0678,0.1513,0.0437,0.0678,0.2949,skl_agglomerativeClust,diabetes_y.zip
10,cosine,complete,20.0,20,0.0093331336975097,0.0815,66.3109,1.9521,0.4838,0.0326,0.0706,0.0463,0.0504,0.1092,0.0327,0.0504,0.296,skl_agglomerativeClust,diabetes_y.zip
10,cosine,complete,inf,100,0.0088434219360351,0.05,66.6841,1.9965,0.4885,0.0438,0.0978,0.064,0.0678,0.1513,0.0437,0.0678,0.2949,skl_agglomerativeClust,diabetes_y.zip
10,cosine,complete,inf,20,0.0085744857788085,0.05,66.6841,1.9965,0.4885,0.0438,0.0978,0.064,0.0678,0.1513,0.0437,0.0678,0.2949,skl_agglomerativeClust,diabetes_y.zip
10,cosine,single,1000.0,100,0.0050640106201171,-0.3584,0.7319,1.7567,0.5466,0.0106,0.0096,0.0054,0.0248,0.0149,0.075,0.0248,0.7282,skl_agglomerativeClust,diabetes_y.zip
10,cosine,single,1000.0,20,0.0050649642944335,-0.3584,0.7319,1.7567,0.5466,0.0106,0.0096,0.0054,0.0248,0.0149,0.075,0.0248,0.7282,skl_agglomerativeClust,diabetes_y.zip
10,cosine,single,100.0,100,0.0050439834594726,-0.3626,0.7121,1.6651,0.5458,0.0084,0.01,0.0066,0.0262,0.0155,0.0835,0.0262,0.7284,skl_agglomerativeClust,diabetes_y.zip
10,cosine,single,100.0,20,0.005070686340332,-0.3584,0.7319,1.7567,0.5466,0.0106,0.0096,0.0054,0.0248,0.0149,0.075,0.0248,0.7282,skl_agglomerativeClust,diabetes_y.zip
10,cosine,single,20.0,20,0.0053529739379882,-0.3613,0.649,1.7089,0.5451,0.0062,0.0116,0.0107,0.0305,0.0179,0.1024,0.0305,0.7287,skl_agglomerativeClust,diabetes_y.zip
10,cosine,single,inf,100,0.0050907135009765,-0.3584,0.7319,1.7567,0.5466,0.0106,0.0096,0.0054,0.0248,0.0149,0.075,0.0248,0.7282,skl_agglomerativeClust,diabetes_y.zip
10,cosine,single,inf,20,0.0050864219665527,-0.3584,0.7319,1.7567,0.5466,0.0106,0.0096,0.0054,0.0248,0.0149,0.075,0.0248,0.7282,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,average,1000.0,100,0.0094070434570312,0.2322,24.6428,0.8581,0.5467,0.0357,0.015,0.0146,0.0275,0.0232,0.0339,0.0275,0.6861,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,average,1000.0,20,0.0094237327575683,0.2322,24.6428,0.8581,0.5467,0.0357,0.015,0.0146,0.0275,0.0232,0.0339,0.0275,0.6861,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,average,100.0,100,0.0093054771423339,0.2131,24.2534,0.9145,0.5508,0.0489,0.0189,0.021,0.0337,0.0292,0.0398,0.0337,0.6811,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,average,100.0,20,0.0094115734100341,0.2322,24.6428,0.8581,0.5467,0.0357,0.015,0.0146,0.0275,0.0232,0.0339,0.0275,0.6861,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,average,20.0,20,0.0096297264099121,0.2185,23.662,0.8712,0.5443,0.0317,0.0128,0.0102,0.0235,0.0197,0.029,0.0235,0.6822,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,average,inf,100,0.0094482898712158,0.2322,24.6428,0.8581,0.5467,0.0357,0.015,0.0146,0.0275,0.0232,0.0339,0.0275,0.6861,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,average,inf,20,0.0094239711761474,0.2322,24.6428,0.8581,0.5467,0.0357,0.015,0.0146,0.0275,0.0232,0.0339,0.0275,0.6861,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,complete,1000.0,100,0.0089411735534667,0.134,67.608,1.5939,0.5383,0.1152,0.0876,0.0713,0.0763,0.1354,0.0531,0.0763,0.4549,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,complete,1000.0,20,0.0088772773742675,0.134,67.608,1.5939,0.5383,0.1152,0.0876,0.0713,0.0763,0.1354,0.0531,0.0763,0.4549,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,complete,100.0,100,0.0088634490966796,0.1133,62.9298,1.6741,0.5655,0.1626,0.0903,0.0736,0.0786,0.1395,0.0547,0.0786,0.5038,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,complete,100.0,20,0.0088682174682617,0.134,67.608,1.5939,0.5383,0.1152,0.0876,0.0713,0.0763,0.1354,0.0531,0.0763,0.4549,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,complete,20.0,20,0.0092782974243164,0.1004,62.0065,1.5574,0.4952,0.0377,0.0465,0.0347,0.0401,0.0719,0.0278,0.0401,0.3802,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,complete,inf,100,0.0089170932769775,0.134,67.608,1.5939,0.5383,0.1152,0.0876,0.0713,0.0763,0.1354,0.0531,0.0763,0.4549,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,complete,inf,20,0.0088908672332763,0.134,67.608,1.5939,0.5383,0.1152,0.0876,0.0713,0.0763,0.1354,0.0531,0.0763,0.4549,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,single,1000.0,100,0.0058355331420898,0.2538,6.3432,0.5029,0.5474,0.0108,0.0101,0.0066,0.0267,0.0156,0.0952,0.0267,0.7311,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,single,1000.0,20,0.00579833984375,0.2538,6.3432,0.5029,0.5474,0.0108,0.0101,0.0066,0.0267,0.0156,0.0952,0.0267,0.7311,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,single,100.0,100,0.0057532787322998,0.2783,9.4208,0.4725,0.542,0.0014,0.0083,0.002,0.021,0.0128,0.0593,0.021,0.7233,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,single,100.0,20,0.0056769847869873,0.2538,6.3432,0.5029,0.5474,0.0108,0.0101,0.0066,0.0267,0.0156,0.0952,0.0267,0.7311,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,single,20.0,20,0.006119966506958,0.2538,6.3432,0.5029,0.5474,0.0108,0.0101,0.0066,0.0267,0.0156,0.0952,0.0267,0.7311,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,single,inf,100,0.0059294700622558,0.2538,6.3432,0.5029,0.5474,0.0108,0.0101,0.0066,0.0267,0.0156,0.0952,0.0267,0.7311,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,single,inf,20,0.0057833194732666,0.2538,6.3432,0.5029,0.5474,0.0108,0.0101,0.0066,0.0267,0.0156,0.0952,0.0267,0.7311,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,ward,1000.0,100,0.0095081329345703,0.1316,86.6804,1.4678,0.5091,0.0746,0.0779,0.0548,0.0591,0.1205,0.0392,0.0591,0.3638,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,ward,1000.0,20,0.0095467567443847,0.1316,86.6804,1.4678,0.5091,0.0746,0.0779,0.0548,0.0591,0.1205,0.0392,0.0591,0.3638,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,ward,100.0,100,0.0094549655914306,0.1017,82.2036,1.7495,0.4943,0.052,0.0871,0.058,0.062,0.1346,0.0403,0.062,0.317,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,ward,100.0,20,0.0095045566558837,0.1316,86.6804,1.4678,0.5091,0.0746,0.0779,0.0548,0.0591,0.1205,0.0392,0.0591,0.3638,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,ward,20.0,20,0.0099477767944335,0.1155,87.9046,1.6978,0.4833,0.0319,0.0682,0.0446,0.0487,0.1055,0.0316,0.0487,0.2939,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,ward,inf,100,0.0095512866973876,0.1316,86.6804,1.4678,0.5091,0.0746,0.0779,0.0548,0.0591,0.1205,0.0392,0.0591,0.3638,skl_agglomerativeClust,diabetes_y.zip
10,euclidean,ward,inf,20,0.0094807147979736,0.1316,86.6804,1.4678,0.5091,0.0746,0.0779,0.0548,0.0591,0.1205,0.0392,0.0591,0.3638,skl_agglomerativeClust,diabetes_y.zip
12,correlation,average,1000.0,100,0.009498119354248,0.0243,46.43,2.0223,0.4753,0.0155,0.0355,0.0201,0.0252,0.0548,0.0163,0.0252,0.2857,skl_agglomerativeClust,diabetes_y.zip
12,correlation,average,1000.0,20,0.0095152854919433,0.0243,46.43,2.0223,0.4753,0.0155,0.0355,0.0201,0.0252,0.0548,0.0163,0.0252,0.2857,skl_agglomerativeClust,diabetes_y.zip
12,correlation,average,100.0,100,0.0095398426055908,0.0321,47.3408,2.1154,0.4709,0.0093,0.0292,0.0153,0.0204,0.0451,0.0132,0.0204,0.2668,skl_agglomerativeClust,diabetes_y.zip
12,correlation,average,100.0,20,0.0116553306579589,0.0243,46.43,2.0223,0.4753,0.0155,0.0355,0.0201,0.0252,0.0548,0.0163,0.0252,0.2857,skl_agglomerativeClust,diabetes_y.zip
12,correlation,average,20.0,20,0.0101056098937988,0.0344,51.359,1.9909,0.4697,0.0053,0.041,0.0239,0.0289,0.0635,0.0187,0.0289,0.2737,skl_agglomerativeClust,diabetes_y.zip
12,correlation,average,inf,100,0.0095241069793701,0.0243,46.43,2.0223,0.4753,0.0155,0.0355,0.0201,0.0252,0.0548,0.0163,0.0252,0.2857,skl_agglomerativeClust,diabetes_y.zip
12,correlation,average,inf,20,0.0095250606536865,0.0243,46.43,2.0223,0.4753,0.0155,0.0355,0.0201,0.0252,0.0548,0.0163,0.0252,0.2857,skl_agglomerativeClust,diabetes_y.zip
12,correlation,complete,1000.0,100,0.0089428424835205,0.0404,40.9039,2.7039,0.472,0.0143,0.0383,0.0207,0.0254,0.0592,0.0162,0.0254,0.2538,skl_agglomerativeClust,diabetes_y.zip
12,correlation,complete,1000.0,20,0.0090045928955078,0.0404,40.9039,2.7039,0.472,0.0143,0.0383,0.0207,0.0254,0.0592,0.0162,0.0254,0.2538,skl_agglomerativeClust,diabetes_y.zip
12,correlation,complete,100.0,100,0.0088558197021484,0.0508,46.8014,2.4078,0.4686,0.009,0.0289,0.0143,0.019,0.0446,0.0121,0.019,0.2409,skl_agglomerativeClust,diabetes_y.zip
12,correlation,complete,100.0,20,0.0089697837829589,0.0404,40.9039,2.7039,0.472,0.0143,0.0383,0.0207,0.0254,0.0592,0.0162,0.0254,0.2538,skl_agglomerativeClust,diabetes_y.zip
12,correlation,complete,20.0,20,0.0096335411071777,0.0055,44.3766,2.4062,0.4672,0.0076,0.0382,0.0202,0.0248,0.059,0.0157,0.0248,0.2316,skl_agglomerativeClust,diabetes_y.zip
12,correlation,complete,inf,100,0.0089659690856933,0.0404,40.9039,2.7039,0.472,0.0143,0.0383,0.0207,0.0254,0.0592,0.0162,0.0254,0.2538,skl_agglomerativeClust,diabetes_y.zip
12,correlation,complete,inf,20,0.008652925491333,0.0404,40.9039,2.7039,0.472,0.0143,0.0383,0.0207,0.0254,0.0592,0.0162,0.0254,0.2538,skl_agglomerativeClust,diabetes_y.zip
12,correlation,single,1000.0,100,0.0051867961883544,-0.3729,0.9339,1.3962,0.5482,0.0141,0.0123,0.008,0.0315,0.019,0.093,0.0315,0.7293,skl_agglomerativeClust,diabetes_y.zip
12,correlation,single,1000.0,20,0.0051829814910888,-0.3729,0.9339,1.3962,0.5482,0.0141,0.0123,0.008,0.0315,0.019,0.093,0.0315,0.7293,skl_agglomerativeClust,diabetes_y.zip
12,correlation,single,100.0,100,0.0051460266113281,-0.3729,0.9339,1.3962,0.5482,0.0141,0.0123,0.008,0.0315,0.019,0.093,0.0315,0.7293,skl_agglomerativeClust,diabetes_y.zip
