threshold,branching_factor,n_clusters,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.5,50,10,1000.0,100,0.0389504432678222,0.1318,86.8202,1.6016,0.5055,0.0696,0.0955,0.0666,0.0707,0.1476,0.0465,0.0707,0.3506,skl_birch,diabetes_y.zip
0.5,50,10,1000.0,20,0.0389239788055419,0.1318,86.8202,1.6016,0.5055,0.0696,0.0955,0.0666,0.0707,0.1476,0.0465,0.0707,0.3506,skl_birch,diabetes_y.zip
0.5,50,10,100.0,100,0.0378093719482421,0.1284,82.9348,1.6649,0.5074,0.0719,0.0874,0.0615,0.0658,0.1352,0.0434,0.0658,0.3587,skl_birch,diabetes_y.zip
0.5,50,10,100.0,20,0.0390944480895996,0.1318,86.8202,1.6016,0.5055,0.0696,0.0955,0.0666,0.0707,0.1476,0.0465,0.0707,0.3506,skl_birch,diabetes_y.zip
0.5,50,10,20.0,20,0.0429048538208007,0.1073,86.2598,1.743,0.5013,0.0643,0.0932,0.0632,0.0672,0.1441,0.0438,0.0672,0.3339,skl_birch,diabetes_y.zip
0.5,50,10,inf,100,0.0404927730560302,0.1318,86.8202,1.6016,0.5055,0.0696,0.0955,0.0666,0.0707,0.1476,0.0465,0.0707,0.3506,skl_birch,diabetes_y.zip
0.5,50,10,inf,20,0.0389859676361084,0.1318,86.8202,1.6016,0.5055,0.0696,0.0955,0.0666,0.0707,0.1476,0.0465,0.0707,0.3506,skl_birch,diabetes_y.zip
0.5,50,12,1000.0,100,0.0391416549682617,0.1371,80.7127,1.6742,0.5062,0.0735,0.1025,0.0668,0.0716,0.1585,0.0463,0.0716,0.3422,skl_birch,diabetes_y.zip
0.5,50,12,1000.0,20,0.0389502048492431,0.1371,80.7127,1.6742,0.5062,0.0735,0.1025,0.0668,0.0716,0.1585,0.0463,0.0716,0.3422,skl_birch,diabetes_y.zip
0.5,50,12,100.0,100,0.0377755165100097,0.133,77.1153,1.6766,0.508,0.0753,0.0936,0.062,0.0669,0.1447,0.0435,0.0669,0.3516,skl_birch,diabetes_y.zip
0.5,50,12,100.0,20,0.0389544963836669,0.1371,80.7127,1.6742,0.5062,0.0735,0.1025,0.0668,0.0716,0.1585,0.0463,0.0716,0.3422,skl_birch,diabetes_y.zip
0.5,50,12,20.0,20,0.042898416519165,0.1119,79.0892,1.6641,0.5015,0.0654,0.097,0.063,0.0678,0.1499,0.0438,0.0678,0.3311,skl_birch,diabetes_y.zip
0.5,50,12,inf,100,0.0405154228210449,0.1371,80.7127,1.6742,0.5062,0.0735,0.1025,0.0668,0.0716,0.1585,0.0463,0.0716,0.3422,skl_birch,diabetes_y.zip
0.5,50,12,inf,20,0.039081335067749,0.1371,80.7127,1.6742,0.5062,0.0735,0.1025,0.0668,0.0716,0.1585,0.0463,0.0716,0.3422,skl_birch,diabetes_y.zip
0.5,50,2,1000.0,100,0.0387887954711914,0.1484,126.4298,2.2678,0.5603,0.1178,0.0482,0.0721,0.073,0.0745,0.0715,0.073,0.5866,skl_birch,diabetes_y.zip
0.5,50,2,1000.0,20,0.0388441085815429,0.1484,126.4298,2.2678,0.5603,0.1178,0.0482,0.0721,0.073,0.0745,0.0715,0.073,0.5866,skl_birch,diabetes_y.zip
0.5,50,2,100.0,100,0.0377614498138427,0.1654,125.4269,2.1963,0.5541,0.1018,0.0354,0.0536,0.0545,0.0548,0.0543,0.0545,0.5889,skl_birch,diabetes_y.zip
0.5,50,2,100.0,20,0.0387089252471923,0.1484,126.4298,2.2678,0.5603,0.1178,0.0482,0.0721,0.073,0.0745,0.0715,0.073,0.5866,skl_birch,diabetes_y.zip
0.5,50,2,20.0,20,0.0407872200012207,0.1604,131.9597,2.1819,0.5306,0.0581,0.0206,0.0302,0.0312,0.0318,0.0306,0.0312,0.559,skl_birch,diabetes_y.zip
0.5,50,2,inf,100,0.0388956069946289,0.1484,126.4298,2.2678,0.5603,0.1178,0.0482,0.0721,0.073,0.0745,0.0715,0.073,0.5866,skl_birch,diabetes_y.zip
0.5,50,2,inf,20,0.0376253128051757,0.1484,126.4298,2.2678,0.5603,0.1178,0.0482,0.0721,0.073,0.0745,0.0715,0.073,0.5866,skl_birch,diabetes_y.zip
0.5,50,4,1000.0,100,0.0388391017913818,0.1362,110.4672,1.9518,0.5314,0.0999,0.0715,0.0699,0.0718,0.1105,0.0531,0.0718,0.4522,skl_birch,diabetes_y.zip
