n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,100,0.0941107273101806,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,0.1118843555450439,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,100,0.0536220073699951,0.1501,95.4013,1.54,0.5016,0.0682,0.1243,0.0796,0.0841,0.1921,0.0539,0.0841,0.321,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,20,0.0883090496063232,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,20.0,20,0.0686967372894287,0.1441,94.226,1.5517,0.4954,0.0579,0.1104,0.0688,0.0733,0.1707,0.0467,0.0733,0.3033,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,inf,100,0.1018285751342773,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,0.0764007568359375,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,100,0.087209939956665,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,0.0917665958404541,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,100,0.0403296947479248,0.1501,95.4013,1.54,0.5016,0.0682,0.1243,0.0796,0.0841,0.1921,0.0539,0.0841,0.321,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,20,0.1167526245117187,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,20.0,20,0.0675182342529296,0.1441,94.226,1.5517,0.4954,0.0579,0.1104,0.0688,0.0733,0.1707,0.0467,0.0733,0.3033,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,inf,100,0.133739948272705,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,0.1179814338684082,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,100,0.1250510215759277,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,0.115363597869873,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,100,0.0539751052856445,0.1501,95.4013,1.54,0.5016,0.0682,0.1243,0.0796,0.0841,0.1921,0.0539,0.0841,0.321,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,20,0.0906751155853271,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,20.0,20,0.0901129245758056,0.1441,94.226,1.5517,0.4954,0.0579,0.1104,0.0688,0.0733,0.1707,0.0467,0.0733,0.3033,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,inf,100,0.1027863025665283,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,0.0805857181549072,0.1587,96.3155,1.5181,0.5,0.0654,0.1185,0.0755,0.0801,0.1832,0.0513,0.0801,0.3173,skl_kmeans,diabetes_y.zip-12_k
