n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,100,0.1021740436553955,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,0.1011228561401367,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,100,0.046555757522583,0.1726,133.5327,2.1769,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,0.0738167762756347,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,100,0.0960471630096435,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,20,0.0717175006866455,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,100,0.0858795642852783,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,0.0607385635375976,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,100,0.0917470455169677,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,0.1011381149291992,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,100,0.0421383380889892,0.1726,133.5327,2.1769,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,0.1554474830627441,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,20.0,100,0.066544771194458,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,20.0,20,0.0688440799713134,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,100,0.0710668563842773,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,0.0618979930877685,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,100,0.0736701488494873,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,0.1182007789611816,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,100,0.0342717170715332,0.1726,133.5327,2.1769,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,0.0865530967712402,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,20.0,100,0.0663256645202636,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,20.0,20,0.0612256526947021,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,100,0.075627326965332,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,0.0967447757720947,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,100,0.1195964813232421,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,0.0856654644012451,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,100,0.0752129554748535,0.1726,133.5327,2.1769,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,0.1322150230407714,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,20.0,100,0.0542190074920654,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,20.0,20,0.0395169258117675,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,100,0.0741698741912841,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,0.0794713497161865,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,100,0.0751810073852539,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,0.1181793212890625,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,100,0.0329272747039794,0.1726,133.5327,2.1769,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,0.0676088333129882,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
2,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,100,0.0528521537780761,0.1724,133.318,2.1788,0.5435,0.0825,0.0295,0.044,0.0449,0.0456,0.0443,0.0449,0.5742,kmeans+dt,diabetes_y.zip-2_True_k
