eps,min_samples,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
0.1,10,correlation,auto,4,1000.0,100,0.9428412914276124,-0.1835,638.0704,1.7251,skl_DBSCAN,fico.zip
0.1,10,correlation,auto,4,1000.0,20,0.9293839931488036,-0.1835,638.0704,1.7251,skl_DBSCAN,fico.zip
0.1,10,correlation,auto,4,100.0,100,0.8875856399536133,-0.1783,726.7744,1.7144,skl_DBSCAN,fico.zip
0.1,10,correlation,auto,4,100.0,20,0.9147486686706544,-0.1835,638.0704,1.7251,skl_DBSCAN,fico.zip
0.1,10,correlation,auto,4,20.0,20,0.890880823135376,-0.1758,847.4609,1.8965,skl_DBSCAN,fico.zip
0.1,10,correlation,auto,4,inf,100,0.8829865455627441,-0.1835,638.0704,1.7251,skl_DBSCAN,fico.zip
0.1,10,correlation,auto,4,inf,20,0.87703537940979,-0.1835,638.0704,1.7251,skl_DBSCAN,fico.zip
0.1,10,cosine,auto,4,1000.0,100,1.0238492488861084,-0.2014,516.775,1.6735,skl_DBSCAN,fico.zip
0.1,10,cosine,auto,4,1000.0,20,1.0505855083465576,-0.2014,516.775,1.6735,skl_DBSCAN,fico.zip
0.1,10,cosine,auto,4,100.0,100,1.0126280784606934,-0.1971,516.4308,1.7216,skl_DBSCAN,fico.zip
0.1,10,cosine,auto,4,100.0,20,1.060255765914917,-0.2014,516.775,1.6735,skl_DBSCAN,fico.zip
0.1,10,cosine,auto,4,20.0,20,0.9900822639465332,-0.1921,507.8421,1.8721,skl_DBSCAN,fico.zip
0.1,10,cosine,auto,4,inf,100,1.0107152462005615,-0.2014,516.775,1.6735,skl_DBSCAN,fico.zip
0.1,10,cosine,auto,4,inf,20,1.0083997249603271,-0.2014,516.775,1.6735,skl_DBSCAN,fico.zip
0.1,10,euclidean,auto,4,1000.0,100,0.0891599655151367,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,10,euclidean,auto,4,1000.0,20,0.0890393257141113,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,10,euclidean,auto,4,100.0,100,0.0891439914703369,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,10,euclidean,auto,4,100.0,20,0.1942596435546875,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,10,euclidean,auto,4,20.0,20,0.094933271408081,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,10,euclidean,auto,4,inf,100,0.105189561843872,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,10,euclidean,auto,4,inf,20,0.2053737640380859,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.1,2,correlation,auto,4,1000.0,100,0.9411683082580566,-0.3426,22.947,1.435,skl_DBSCAN,fico.zip
0.1,2,correlation,auto,4,1000.0,20,0.9072384834289552,-0.3426,22.947,1.435,skl_DBSCAN,fico.zip
