n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,10.534676313400269,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,10.522237062454224,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,10.783763885498049,0.1029,1784.1315,2.428,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,11.058607816696169,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,10.830472230911257,0.0968,1753.7833,2.5041,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,10.983077764511108,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,10.923160552978516,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,11.283519506454468,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,11.132781267166138,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,100,10.973982572555542,0.0921,1752.3624,2.4155,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,10.265136241912842,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,11.281650066375732,0.0784,1704.0523,2.5041,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,100,11.131232976913452,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,10.427385568618774,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,11.018017053604126,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,11.092952013015749,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,11.096426248550417,0.1029,1784.1315,2.428,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,10.837424516677856,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,11.372817039489746,0.0968,1753.7833,2.5041,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,10.965068578720093,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,10.432629585266112,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,10.996993064880373,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,10.62233853340149,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,100.0,100,10.984105587005615,0.0921,1752.3624,2.4155,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,10.39615559577942,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,11.155343770980837,0.0784,1704.0523,2.5041,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,100,10.61041808128357,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,20,10.617546796798706,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,11.08802843093872,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,11.007124185562134,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,11.126642227172852,0.1029,1784.1315,2.428,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,11.283992290496826,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,11.330885887145996,0.0968,1753.7833,2.5041,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,10.711013555526732,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,10.534180641174316,0.1026,1783.7976,2.4175,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,10.751901388168337,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,11.024444103240969,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,100.0,100,10.512465715408323,0.0921,1752.3624,2.4155,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,10.424158334732056,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,10.879431009292604,0.0784,1704.0523,2.5041,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,100,10.797362327575684,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
10,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,20,10.696945190429688,0.0916,1750.8216,2.4141,skl_bis_kmeans,fico.zip-10_k
