n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,100,Cao,11,False,42,4,1000.0,20,18.487911701202396,-0.0709,203.6095,9.0627,kmodes,ficoONEHOT.zip
10,100,Cao,11,False,42,4,100.0,20,18.2122642993927,-0.0709,203.6095,9.0627,kmodes,ficoONEHOT.zip
10,100,Cao,11,False,42,4,inf,20,18.2900664806366,-0.0709,203.6095,9.0627,kmodes,ficoONEHOT.zip
10,300,Cao,11,False,42,4,1000.0,20,18.245172023773197,-0.0709,203.6095,9.0627,kmodes,ficoONEHOT.zip
10,300,Cao,11,False,42,4,100.0,20,18.451270818710327,-0.0709,203.6095,9.0627,kmodes,ficoONEHOT.zip
10,300,Cao,11,False,42,4,inf,20,18.44421124458313,-0.0709,203.6095,9.0627,kmodes,ficoONEHOT.zip
10,500,Cao,11,False,42,4,1000.0,20,18.435935497283936,-0.0709,203.6095,9.0627,kmodes,ficoONEHOT.zip
10,500,Cao,11,False,42,4,100.0,20,18.18058490753174,-0.0709,203.6095,9.0627,kmodes,ficoONEHOT.zip
10,500,Cao,11,False,42,4,inf,20,18.1976318359375,-0.0709,203.6095,9.0627,kmodes,ficoONEHOT.zip
12,100,Cao,11,False,42,4,1000.0,20,33.25080156326294,0.0104,866.7736,8.3368,kmodes,ficoONEHOT.zip
12,100,Cao,11,False,42,4,100.0,20,33.737911224365234,0.0104,866.7736,8.3368,kmodes,ficoONEHOT.zip
12,100,Cao,11,False,42,4,inf,20,33.781054973602295,0.0104,866.7736,8.3368,kmodes,ficoONEHOT.zip
12,300,Cao,11,False,42,4,1000.0,20,33.75821828842163,0.0104,866.7736,8.3368,kmodes,ficoONEHOT.zip
12,300,Cao,11,False,42,4,100.0,20,33.262436389923096,0.0104,866.7736,8.3368,kmodes,ficoONEHOT.zip
12,300,Cao,11,False,42,4,inf,20,33.25529098510742,0.0104,866.7736,8.3368,kmodes,ficoONEHOT.zip
12,500,Cao,11,False,42,4,1000.0,20,33.29500222206116,0.0104,866.7736,8.3368,kmodes,ficoONEHOT.zip
12,500,Cao,11,False,42,4,100.0,20,33.67623329162598,0.0104,866.7736,8.3368,kmodes,ficoONEHOT.zip
12,500,Cao,11,False,42,4,inf,20,33.708200454711914,0.0104,866.7736,8.3368,kmodes,ficoONEHOT.zip
2,100,Cao,11,False,42,4,1000.0,20,2.412398099899292,-0.0298,247.4692,5.051,kmodes,ficoONEHOT.zip
2,100,Cao,11,False,42,4,100.0,20,2.355496883392334,-0.0298,247.4692,5.051,kmodes,ficoONEHOT.zip
2,100,Cao,11,False,42,4,inf,20,2.3421905040740967,-0.0298,247.4692,5.051,kmodes,ficoONEHOT.zip
2,300,Cao,11,False,42,4,1000.0,20,2.3411521911621094,-0.0298,247.4692,5.051,kmodes,ficoONEHOT.zip
2,300,Cao,11,False,42,4,100.0,20,2.3643665313720703,-0.0298,247.4692,5.051,kmodes,ficoONEHOT.zip
2,300,Cao,11,False,42,4,inf,20,2.3535149097442627,-0.0298,247.4692,5.051,kmodes,ficoONEHOT.zip
2,500,Cao,11,False,42,4,1000.0,20,2.3783986568450928,-0.0298,247.4692,5.051,kmodes,ficoONEHOT.zip
2,500,Cao,11,False,42,4,100.0,20,2.3520209789276123,-0.0298,247.4692,5.051,kmodes,ficoONEHOT.zip
2,500,Cao,11,False,42,4,inf,20,2.347035646438598,-0.0298,247.4692,5.051,kmodes,ficoONEHOT.zip
4,100,Cao,11,False,42,4,1000.0,20,5.966941595077515,-0.0668,270.562,6.2671,kmodes,ficoONEHOT.zip
4,100,Cao,11,False,42,4,100.0,20,6.021387338638306,-0.0668,270.562,6.2671,kmodes,ficoONEHOT.zip
4,100,Cao,11,False,42,4,inf,20,6.002922534942627,-0.0668,270.562,6.2671,kmodes,ficoONEHOT.zip
4,300,Cao,11,False,42,4,1000.0,20,6.0121166706085205,-0.0668,270.562,6.2671,kmodes,ficoONEHOT.zip
4,300,Cao,11,False,42,4,100.0,20,5.984525918960571,-0.0668,270.562,6.2671,kmodes,ficoONEHOT.zip
4,300,Cao,11,False,42,4,inf,20,5.980212211608887,-0.0668,270.562,6.2671,kmodes,ficoONEHOT.zip
4,500,Cao,11,False,42,4,1000.0,20,5.951070070266724,-0.0668,270.562,6.2671,kmodes,ficoONEHOT.zip
4,500,Cao,11,False,42,4,100.0,20,6.028986692428589,-0.0668,270.562,6.2671,kmodes,ficoONEHOT.zip
4,500,Cao,11,False,42,4,inf,20,6.022413015365601,-0.0668,270.562,6.2671,kmodes,ficoONEHOT.zip
6,100,Cao,11,False,42,4,1000.0,20,8.526828289031982,-0.0711,225.9134,7.3001,kmodes,ficoONEHOT.zip
6,100,Cao,11,False,42,4,100.0,20,8.46001672744751,-0.0711,225.9134,7.3001,kmodes,ficoONEHOT.zip
6,100,Cao,11,False,42,4,inf,20,8.443096399307251,-0.0711,225.9134,7.3001,kmodes,ficoONEHOT.zip
