min_samples,max_eps,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,inf,correlation,auto,4,1000.0,20,43.72788977622986,-0.1421,618.017,1.1859,skl_OPTICS,ficoONEHOT.zip
10,inf,correlation,auto,4,100.0,20,43.780723333358765,-0.1421,618.017,1.1859,skl_OPTICS,ficoONEHOT.zip
10,inf,correlation,auto,4,inf,20,43.83714866638184,-0.1421,618.017,1.1859,skl_OPTICS,ficoONEHOT.zip
10,inf,cosine,auto,4,1000.0,20,62.45598483085632,-0.1875,422.506,1.2951,skl_OPTICS,ficoONEHOT.zip
10,inf,cosine,auto,4,100.0,20,63.92544341087341,-0.1875,422.506,1.2951,skl_OPTICS,ficoONEHOT.zip
10,inf,cosine,auto,4,inf,20,62.55822944641113,-0.1875,422.506,1.2951,skl_OPTICS,ficoONEHOT.zip
10,inf,euclidean,auto,4,1000.0,20,302.9964187145233,-0.0881,2030.6722,1.1941,skl_OPTICS,ficoONEHOT.zip
10,inf,euclidean,auto,4,100.0,20,300.688668012619,-0.0881,2030.6722,1.1941,skl_OPTICS,ficoONEHOT.zip
10,inf,euclidean,auto,4,inf,20,299.3949193954468,-0.0881,2030.6722,1.1941,skl_OPTICS,ficoONEHOT.zip
20,inf,correlation,auto,4,1000.0,20,43.69387698173523,-0.0085,2081.4468,1.1438,skl_OPTICS,ficoONEHOT.zip
20,inf,correlation,auto,4,100.0,20,43.64970636367798,-0.0085,2081.4468,1.1438,skl_OPTICS,ficoONEHOT.zip
20,inf,correlation,auto,4,inf,20,43.73671936988831,-0.0085,2081.4468,1.1438,skl_OPTICS,ficoONEHOT.zip
20,inf,cosine,auto,4,1000.0,20,62.35984444618225,0.0906,2745.8205,1.0351,skl_OPTICS,ficoONEHOT.zip
20,inf,cosine,auto,4,100.0,20,62.53992938995361,0.0906,2745.8205,1.0351,skl_OPTICS,ficoONEHOT.zip
20,inf,cosine,auto,4,inf,20,62.34256863594055,0.0906,2745.8205,1.0351,skl_OPTICS,ficoONEHOT.zip
20,inf,euclidean,auto,4,1000.0,20,304.80064511299133,0.6668,4057.8406,0.9946,skl_OPTICS,ficoONEHOT.zip
20,inf,euclidean,auto,4,100.0,20,306.27250266075134,0.6668,4057.8406,0.9946,skl_OPTICS,ficoONEHOT.zip
20,inf,euclidean,auto,4,inf,20,301.9774491786957,0.6668,4057.8406,0.9946,skl_OPTICS,ficoONEHOT.zip
