n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.3146674633026123,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.1182856559753418,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.242815017700195,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.250732421875,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,1.034818410873413,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,1.1614127159118652,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,1.234774112701416,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,1.251042366027832,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,0.9782111644744872,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,1.0390002727508545,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,1.1770474910736084,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,1.0937423706054688,0.0925,1744.7332,2.3194,kmeans+dt,ficoONEHOT.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.2113773822784424,0.0922,1744.9096,2.3421,kmeans+dt,ficoONEHOT.zip-6_True_k
