n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,100,Cao,11,False,42,4,1000.0,20,0.2806534767150879,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,100,Cao,11,False,42,4,100.0,20,0.2842729091644287,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,100,Cao,11,False,42,4,inf,20,0.2831060886383056,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,300,Cao,11,False,42,4,1000.0,20,0.2822744846343994,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,300,Cao,11,False,42,4,100.0,20,0.2781927585601806,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,300,Cao,11,False,42,4,inf,20,0.2793667316436767,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,500,Cao,11,False,42,4,1000.0,20,0.2805733680725097,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,500,Cao,11,False,42,4,100.0,20,0.282222032546997,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
10,500,Cao,11,False,42,4,inf,20,0.2839090824127197,-0.0438,24.4416,3.7558,0.4416,-0.0095,0.0083,0.0028,0.0062,0.0135,0.004,0.0062,0.3016,kmodes,german_creditONEHOT_y.zip
12,100,Cao,11,False,42,4,1000.0,20,0.328834056854248,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y.zip
