eps,min_samples,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.1,10,correlation,auto,4,1000.0,20,0.01318359375,0.1259,71.3137,3.5398,0.5161,0.0158,0.0021,0.0016,0.003,0.0035,0.0027,0.003,0.5726,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,10,correlation,auto,4,100.0,20,0.0178418159484863,0.1259,71.3137,3.5398,0.5161,0.0158,0.0021,0.0016,0.003,0.0035,0.0027,0.003,0.5726,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,10,correlation,auto,4,inf,20,0.0137937068939208,0.1259,71.3137,3.5398,0.5161,0.0158,0.0021,0.0016,0.003,0.0035,0.0027,0.003,0.5726,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,10,cosine,auto,4,1000.0,20,0.0188584327697753,-0.0171,49.8149,1.8281,0.4652,-0.0024,0.0113,0.006,0.0102,0.0185,0.007,0.0102,0.4078,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,10,cosine,auto,4,100.0,20,0.015139102935791,-0.0171,49.8149,1.8281,0.4652,-0.0024,0.0113,0.006,0.0102,0.0185,0.007,0.0102,0.4078,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,10,cosine,auto,4,inf,20,0.013303518295288,-0.0171,49.8149,1.8281,0.4652,-0.0024,0.0113,0.006,0.0102,0.0185,0.007,0.0102,0.4078,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,10,euclidean,auto,4,1000.0,20,0.0073761940002441,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,10,euclidean,auto,4,100.0,20,0.0108821392059326,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,10,euclidean,auto,4,inf,20,0.0089824199676513,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,2,correlation,auto,4,1000.0,20,0.0139505863189697,-0.1311,5.007,2.4508,0.578,0.0181,0.0049,0.0048,0.0125,0.008,0.0286,0.0125,0.7438,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,2,correlation,auto,4,100.0,20,0.0140681266784667,-0.1311,5.007,2.4508,0.578,0.0181,0.0049,0.0048,0.0125,0.008,0.0286,0.0125,0.7438,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,2,correlation,auto,4,inf,20,0.0143532752990722,-0.1311,5.007,2.4508,0.578,0.0181,0.0049,0.0048,0.0125,0.008,0.0286,0.0125,0.7438,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,2,cosine,auto,4,1000.0,20,0.0161938667297363,-0.2704,18.8111,1.9171,0.5302,0.0113,0.0079,0.0001,0.011,0.0129,0.0096,0.011,0.621,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,2,cosine,auto,4,100.0,20,0.0129663944244384,-0.2704,18.8111,1.9171,0.5302,0.0113,0.0079,0.0001,0.011,0.0129,0.0096,0.011,0.621,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,2,cosine,auto,4,inf,20,0.0132434368133544,-0.2704,18.8111,1.9171,0.5302,0.0113,0.0079,0.0001,0.011,0.0129,0.0096,0.011,0.621,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,2,euclidean,auto,4,1000.0,20,0.0085766315460205,-0.4652,1.9258,1.145,0.564,0.0041,0.0197,0.0078,0.0393,0.0323,0.05,0.0393,0.7199,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,2,euclidean,auto,4,100.0,20,0.0088753700256347,-0.4652,1.9258,1.145,0.564,0.0041,0.0197,0.0078,0.0393,0.0323,0.05,0.0393,0.7199,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,2,euclidean,auto,4,inf,20,0.0104453563690185,-0.4652,1.9258,1.145,0.564,0.0041,0.0197,0.0078,0.0393,0.0323,0.05,0.0393,0.7199,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,5,correlation,auto,4,1000.0,20,0.0166466236114501,0.0764,9.0668,3.508,0.5733,0.0205,0.0017,0.0015,0.0041,0.0028,0.008,0.0041,0.7302,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,5,correlation,auto,4,100.0,20,0.0138764381408691,0.0764,9.0668,3.508,0.5733,0.0205,0.0017,0.0015,0.0041,0.0028,0.008,0.0041,0.7302,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,5,correlation,auto,4,inf,20,0.0139253139495849,0.0764,9.0668,3.508,0.5733,0.0205,0.0017,0.0015,0.0041,0.0028,0.008,0.0041,0.7302,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,5,cosine,auto,4,1000.0,20,0.0247950553894042,0.1089,43.103,2.1587,0.5288,0.0155,0.0036,0.0014,0.0052,0.006,0.0046,0.0052,0.6124,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,5,cosine,auto,4,100.0,20,0.0131843090057373,0.1089,43.103,2.1587,0.5288,0.0155,0.0036,0.0014,0.0052,0.006,0.0046,0.0052,0.6124,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,5,cosine,auto,4,inf,20,0.01371431350708,0.1089,43.103,2.1587,0.5288,0.0155,0.0036,0.0014,0.0052,0.006,0.0046,0.0052,0.6124,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,5,euclidean,auto,4,1000.0,20,0.0086004734039306,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,5,euclidean,auto,4,100.0,20,0.0087764263153076,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.1,5,euclidean,auto,4,inf,20,0.0098450183868408,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,10,correlation,auto,4,1000.0,20,0.0152177810668945,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,10,correlation,auto,4,100.0,20,0.013791799545288,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,10,correlation,auto,4,inf,20,0.0147185325622558,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,10,cosine,auto,4,1000.0,20,0.020104169845581,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,10,cosine,auto,4,100.0,20,0.0170509815216064,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,10,cosine,auto,4,inf,20,0.0197820663452148,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,10,euclidean,auto,4,1000.0,20,0.0067899227142333,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,10,euclidean,auto,4,100.0,20,0.0062425136566162,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,10,euclidean,auto,4,inf,20,0.0070056915283203,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,2,correlation,auto,4,1000.0,20,0.0135643482208251,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,2,correlation,auto,4,100.0,20,0.0155456066131591,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,2,correlation,auto,4,inf,20,0.0154013633728027,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,2,cosine,auto,4,1000.0,20,0.0142076015472412,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,2,cosine,auto,4,100.0,20,0.0138361454010009,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,2,cosine,auto,4,inf,20,0.0171303749084472,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,2,euclidean,auto,4,1000.0,20,0.0116474628448486,-0.3412,2.1632,1.2341,0.5141,-0.0051,0.062,0.009,0.059,0.1015,0.0416,0.059,0.5896,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,2,euclidean,auto,4,100.0,20,0.0096721649169921,-0.3412,2.1632,1.2341,0.5141,-0.0051,0.062,0.009,0.059,0.1015,0.0416,0.059,0.5896,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,2,euclidean,auto,4,inf,20,0.0145299434661865,-0.3412,2.1632,1.2341,0.5141,-0.0051,0.062,0.009,0.059,0.1015,0.0416,0.059,0.5896,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,5,correlation,auto,4,1000.0,20,0.0147085189819335,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,5,correlation,auto,4,100.0,20,0.0138137340545654,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,5,correlation,auto,4,inf,20,0.0147199630737304,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,5,cosine,auto,4,1000.0,20,0.0139615535736083,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
0.25,5,cosine,auto,4,100.0,20,0.0137395858764648,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,skl_DBSCAN,german_creditONEHOT_y.zip
