n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,correlation,average,1000.0,20,0.0153398513793945,0.1083,93.6,1.6132,0.442,0.0021,0.0251,0.015,0.0183,0.041,0.0118,0.0183,0.2749,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,correlation,average,100.0,20,0.0153467655181884,0.1083,93.6,1.6132,0.442,0.0021,0.0251,0.015,0.0183,0.041,0.0118,0.0183,0.2749,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,correlation,average,inf,20,0.0153205394744873,0.1083,93.6,1.6132,0.442,0.0021,0.0251,0.015,0.0183,0.041,0.0118,0.0183,0.2749,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,correlation,complete,1000.0,20,0.0148041248321533,0.0869,91.6816,1.9268,0.4459,0.0105,0.0224,0.0128,0.016,0.0367,0.0102,0.016,0.2781,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,correlation,complete,100.0,20,0.0148091316223144,0.0869,91.6816,1.9268,0.4459,0.0105,0.0224,0.0128,0.016,0.0367,0.0102,0.016,0.2781,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,correlation,complete,inf,20,0.0148441791534423,0.0869,91.6816,1.9268,0.4459,0.0105,0.0224,0.0128,0.016,0.0367,0.0102,0.016,0.2781,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,correlation,single,1000.0,20,0.0079636573791503,-0.3149,2.8515,0.9989,0.5804,0.0131,0.0088,0.0093,0.0245,0.0144,0.0821,0.0245,0.7536,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,correlation,single,100.0,20,0.0079615116119384,-0.3149,2.8515,0.9989,0.5804,0.0131,0.0088,0.0093,0.0245,0.0144,0.0821,0.0245,0.7536,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,correlation,single,inf,20,0.0080025196075439,-0.3149,2.8515,0.9989,0.5804,0.0131,0.0088,0.0093,0.0245,0.0144,0.0821,0.0245,0.7536,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,cosine,average,1000.0,20,0.0154035091400146,0.1581,128.6083,1.3851,0.4421,0.0037,0.0189,0.0104,0.0136,0.0309,0.0087,0.0136,0.271,skl_agglomerativeClust,german_creditONEHOT_y.zip
10,cosine,average,100.0,20,0.0153594017028808,0.1581,128.6083,1.3851,0.4421,0.0037,0.0189,0.0104,0.0136,0.0309,0.0087,0.0136,0.271,skl_agglomerativeClust,german_creditONEHOT_y.zip
