threshold,branching_factor,n_clusters,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.5,50,10,1000.0,20,0.0388159751892089,0.1605,123.4474,1.6193,0.4542,0.0135,0.0233,0.0144,0.0178,0.0382,0.0116,0.0178,0.3216,skl_birch,german_creditONEHOT_y.zip
0.5,50,10,100.0,20,0.0386998653411865,0.1605,123.4474,1.6193,0.4542,0.0135,0.0233,0.0144,0.0178,0.0382,0.0116,0.0178,0.3216,skl_birch,german_creditONEHOT_y.zip
0.5,50,10,inf,20,0.0387740135192871,0.1605,123.4474,1.6193,0.4542,0.0135,0.0233,0.0144,0.0178,0.0382,0.0116,0.0178,0.3216,skl_birch,german_creditONEHOT_y.zip
0.5,50,12,1000.0,20,0.0388088226318359,0.1612,120.9536,1.5868,0.445,0.0083,0.0238,0.0128,0.0166,0.0389,0.0106,0.0166,0.2777,skl_birch,german_creditONEHOT_y.zip
0.5,50,12,100.0,20,0.0388412475585937,0.1612,120.9536,1.5868,0.445,0.0083,0.0238,0.0128,0.0166,0.0389,0.0106,0.0166,0.2777,skl_birch,german_creditONEHOT_y.zip
0.5,50,12,inf,20,0.0404353141784668,0.1612,120.9536,1.5868,0.445,0.0083,0.0238,0.0128,0.0166,0.0389,0.0106,0.0166,0.2777,skl_birch,german_creditONEHOT_y.zip
0.5,50,2,1000.0,20,0.0388209819793701,0.2449,158.6498,1.656,0.5393,-0.0007,0.0,-0.001,0.0,0.0,0.0,0.0,0.6586,skl_birch,german_creditONEHOT_y.zip
0.5,50,2,100.0,20,0.0384926795959472,0.2449,158.6498,1.656,0.5393,-0.0007,0.0,-0.001,0.0,0.0,0.0,0.0,0.6586,skl_birch,german_creditONEHOT_y.zip
0.5,50,2,inf,20,0.0382924079895019,0.2449,158.6498,1.656,0.5393,-0.0007,0.0,-0.001,0.0,0.0,0.0,0.0,0.6586,skl_birch,german_creditONEHOT_y.zip
0.5,50,4,1000.0,20,0.0386888980865478,0.2459,147.9206,1.4565,0.5288,0.0483,0.011,0.0127,0.0147,0.018,0.0124,0.0147,0.5762,skl_birch,german_creditONEHOT_y.zip
0.5,50,4,100.0,20,0.0385143756866455,0.2459,147.9206,1.4565,0.5288,0.0483,0.011,0.0127,0.0147,0.018,0.0124,0.0147,0.5762,skl_birch,german_creditONEHOT_y.zip
0.5,50,4,inf,20,0.0387032032012939,0.2459,147.9206,1.4565,0.5288,0.0483,0.011,0.0127,0.0147,0.018,0.0124,0.0147,0.5762,skl_birch,german_creditONEHOT_y.zip
0.5,50,6,1000.0,20,0.0407593250274658,0.1722,159.7089,1.5892,0.4594,0.0085,0.0163,0.0124,0.0146,0.0267,0.01,0.0146,0.3603,skl_birch,german_creditONEHOT_y.zip
0.5,50,6,100.0,20,0.0388007164001464,0.1722,159.7089,1.5892,0.4594,0.0085,0.0163,0.0124,0.0146,0.0267,0.01,0.0146,0.3603,skl_birch,german_creditONEHOT_y.zip
0.5,50,6,inf,20,0.0385389328002929,0.1722,159.7089,1.5892,0.4594,0.0085,0.0163,0.0124,0.0146,0.0267,0.01,0.0146,0.3603,skl_birch,german_creditONEHOT_y.zip
0.5,50,8,1000.0,20,0.0386750698089599,0.1725,134.7597,1.7662,0.4588,0.0118,0.022,0.0154,0.0183,0.0361,0.0123,0.0183,0.3503,skl_birch,german_creditONEHOT_y.zip
0.5,50,8,100.0,20,0.0386934280395507,0.1725,134.7597,1.7662,0.4588,0.0118,0.022,0.0154,0.0183,0.0361,0.0123,0.0183,0.3503,skl_birch,german_creditONEHOT_y.zip
0.5,50,8,inf,20,0.0387330055236816,0.1725,134.7597,1.7662,0.4588,0.0118,0.022,0.0154,0.0183,0.0361,0.0123,0.0183,0.3503,skl_birch,german_creditONEHOT_y.zip
0.5,50,10,1000.0,20,0.0388159751892089,0.1605,123.4474,1.6193,0.4542,0.0135,0.0233,0.0144,0.0178,0.0382,0.0116,0.0178,0.3216,skl_birch,german_creditONEHOT_y.zip
0.5,50,10,100.0,20,0.0386998653411865,0.1605,123.4474,1.6193,0.4542,0.0135,0.0233,0.0144,0.0178,0.0382,0.0116,0.0178,0.3216,skl_birch,german_creditONEHOT_y.zip
0.5,50,10,inf,20,0.0387740135192871,0.1605,123.4474,1.6193,0.4542,0.0135,0.0233,0.0144,0.0178,0.0382,0.0116,0.0178,0.3216,skl_birch,german_creditONEHOT_y.zip
0.5,50,12,1000.0,20,0.0388088226318359,0.1612,120.9536,1.5868,0.445,0.0083,0.0238,0.0128,0.0166,0.0389,0.0106,0.0166,0.2777,skl_birch,german_creditONEHOT_y.zip
0.5,50,12,100.0,20,0.0388412475585937,0.1612,120.9536,1.5868,0.445,0.0083,0.0238,0.0128,0.0166,0.0389,0.0106,0.0166,0.2777,skl_birch,german_creditONEHOT_y.zip
0.5,50,12,inf,20,0.0404353141784668,0.1612,120.9536,1.5868,0.445,0.0083,0.0238,0.0128,0.0166,0.0389,0.0106,0.0166,0.2777,skl_birch,german_creditONEHOT_y.zip
0.5,50,2,1000.0,20,0.0388209819793701,0.2449,158.6498,1.656,0.5393,-0.0007,0.0,-0.001,0.0,0.0,0.0,0.0,0.6586,skl_birch,german_creditONEHOT_y.zip
0.5,50,2,100.0,20,0.0384926795959472,0.2449,158.6498,1.656,0.5393,-0.0007,0.0,-0.001,0.0,0.0,0.0,0.0,0.6586,skl_birch,german_creditONEHOT_y.zip
0.5,50,2,inf,20,0.0382924079895019,0.2449,158.6498,1.656,0.5393,-0.0007,0.0,-0.001,0.0,0.0,0.0,0.0,0.6586,skl_birch,german_creditONEHOT_y.zip
0.5,50,4,1000.0,20,0.0386888980865478,0.2459,147.9206,1.4565,0.5288,0.0483,0.011,0.0127,0.0147,0.018,0.0124,0.0147,0.5762,skl_birch,german_creditONEHOT_y.zip
0.5,50,4,100.0,20,0.0385143756866455,0.2459,147.9206,1.4565,0.5288,0.0483,0.011,0.0127,0.0147,0.018,0.0124,0.0147,0.5762,skl_birch,german_creditONEHOT_y.zip
0.5,50,4,inf,20,0.0387032032012939,0.2459,147.9206,1.4565,0.5288,0.0483,0.011,0.0127,0.0147,0.018,0.0124,0.0147,0.5762,skl_birch,german_creditONEHOT_y.zip
0.5,50,6,1000.0,20,0.0407593250274658,0.1722,159.7089,1.5892,0.4594,0.0085,0.0163,0.0124,0.0146,0.0267,0.01,0.0146,0.3603,skl_birch,german_creditONEHOT_y.zip
0.5,50,6,100.0,20,0.0388007164001464,0.1722,159.7089,1.5892,0.4594,0.0085,0.0163,0.0124,0.0146,0.0267,0.01,0.0146,0.3603,skl_birch,german_creditONEHOT_y.zip
0.5,50,6,inf,20,0.0385389328002929,0.1722,159.7089,1.5892,0.4594,0.0085,0.0163,0.0124,0.0146,0.0267,0.01,0.0146,0.3603,skl_birch,german_creditONEHOT_y.zip
