n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,0.078672170639038,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,0.1140806674957275,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,0.0736799240112304,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,0.0891642570495605,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,100.0,20,0.0710563659667968,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,inf,20,0.0302646160125732,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1000.0,20,0.055654764175415,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,100.0,20,0.0622859001159668,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,inf,20,0.0736308097839355,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1000.0,20,0.0704398155212402,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,100.0,20,0.0742673873901367,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
2,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,inf,20,0.0885052680969238,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y.zip-2_True_k
