n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.0660059452056884,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.1290276050567627,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.0815372467041015,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.0853581428527832,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.0973761081695556,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.1234753131866455,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.102440595626831,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.0823075771331787,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.1005365848541259,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.0557863712310791,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.0998158454895019,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.1029064655303955,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.0704391002655029,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.0916411876678466,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.1271374225616455,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.1017515659332275,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.0838098526000976,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.0995237827301025,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.0660059452056884,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.1290276050567627,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.0815372467041015,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.0853581428527832,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.0973761081695556,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.1234753131866455,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.102440595626831,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.0823075771331787,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.1005365848541259,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.0557863712310791,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.0998158454895019,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.1029064655303955,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.0704391002655029,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.0916411876678466,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.1271374225616455,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.1017515659332275,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.0838098526000976,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.0995237827301025,0.1842,190.1574,1.6029,0.4764,0.0117,0.0176,0.0172,0.0188,0.0289,0.0139,0.0188,0.433,skl_bis_kmeans,german_creditONEHOT_y.zip-4_k
