max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,30,50,20,20,0.0,42,gini,mape,0.1559963226318359,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,30,50,20,20,0.0,42,gini,r2,0.1382181644439697,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,30,50,20,20,0.0,42,me,mape,0.1571083068847656,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,30,50,20,20,0.0,42,me,r2,0.1447384357452392,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,30,50,20,20,0.1,42,gini,mape,0.3805301189422607,-0.0421,10.6383,6.4627,0.532,0.0402,0.0058,0.0061,0.0083,0.0095,0.0074,0.0083,0.5958,ImpurityParTree2,german_credit_y.zip
2,10,30,50,20,20,0.1,42,gini,r2,0.3966631889343261,-0.0421,10.6383,6.4627,0.532,0.0402,0.0058,0.0061,0.0083,0.0095,0.0074,0.0083,0.5958,ImpurityParTree2,german_credit_y.zip
2,10,30,50,20,20,0.1,42,me,mape,0.3894543647766113,-0.0332,7.2071,7.7197,0.5383,0.0383,0.0048,0.0049,0.0073,0.0079,0.0067,0.0073,0.6171,ImpurityParTree2,german_credit_y.zip
2,10,30,50,20,20,0.1,42,me,r2,0.3767962455749511,-0.0332,7.2071,7.7197,0.5383,0.0383,0.0048,0.0049,0.0073,0.0079,0.0067,0.0073,0.6171,ImpurityParTree2,german_credit_y.zip
2,10,30,5,20,20,0.0,42,gini,mape,0.1384432315826416,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,30,5,20,20,0.0,42,gini,r2,0.1421809196472168,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,30,5,20,20,0.0,42,me,mape,0.1474151611328125,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,30,5,20,20,0.0,42,me,r2,0.1450366973876953,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,30,5,20,20,0.1,42,gini,mape,0.3641078472137451,-0.0421,10.6383,6.4627,0.532,0.0402,0.0058,0.0061,0.0083,0.0095,0.0074,0.0083,0.5958,ImpurityParTree2,german_credit_y.zip
2,10,30,5,20,20,0.1,42,gini,r2,0.3835582733154297,-0.0421,10.6383,6.4627,0.532,0.0402,0.0058,0.0061,0.0083,0.0095,0.0074,0.0083,0.5958,ImpurityParTree2,german_credit_y.zip
2,10,30,5,20,20,0.1,42,me,mape,0.3887102603912353,-0.0332,7.2071,7.7197,0.5383,0.0383,0.0048,0.0049,0.0073,0.0079,0.0067,0.0073,0.6171,ImpurityParTree2,german_credit_y.zip
2,10,30,5,20,20,0.1,42,me,r2,0.3787140846252441,-0.0332,7.2071,7.7197,0.5383,0.0383,0.0048,0.0049,0.0073,0.0079,0.0067,0.0073,0.6171,ImpurityParTree2,german_credit_y.zip
2,10,3,50,20,20,0.0,42,gini,mape,0.139491319656372,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,3,50,20,20,0.0,42,gini,r2,0.1442158222198486,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,3,50,20,20,0.0,42,me,mape,0.1600606441497802,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,3,50,20,20,0.0,42,me,r2,0.1504662036895752,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,3,50,20,20,0.1,42,gini,mape,0.3839497566223144,-0.0421,10.6383,6.4627,0.532,0.0402,0.0058,0.0061,0.0083,0.0095,0.0074,0.0083,0.5958,ImpurityParTree2,german_credit_y.zip
2,10,3,50,20,20,0.1,42,gini,r2,0.3709816932678222,-0.0421,10.6383,6.4627,0.532,0.0402,0.0058,0.0061,0.0083,0.0095,0.0074,0.0083,0.5958,ImpurityParTree2,german_credit_y.zip
2,10,3,50,20,20,0.1,42,me,mape,0.4011328220367431,-0.0332,7.2071,7.7197,0.5383,0.0383,0.0048,0.0049,0.0073,0.0079,0.0067,0.0073,0.6171,ImpurityParTree2,german_credit_y.zip
2,10,3,50,20,20,0.1,42,me,r2,0.3828463554382324,-0.0332,7.2071,7.7197,0.5383,0.0383,0.0048,0.0049,0.0073,0.0079,0.0067,0.0073,0.6171,ImpurityParTree2,german_credit_y.zip
2,10,3,5,20,20,0.0,42,gini,mape,0.1400439739227295,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,3,5,20,20,0.0,42,gini,r2,0.1389532089233398,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,3,5,20,20,0.0,42,me,mape,0.1525282859802246,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,3,5,20,20,0.0,42,me,r2,0.1598813533782959,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,10,3,5,20,20,0.1,42,gini,mape,0.3941435813903808,-0.0421,10.6383,6.4627,0.532,0.0402,0.0058,0.0061,0.0083,0.0095,0.0074,0.0083,0.5958,ImpurityParTree2,german_credit_y.zip
2,10,3,5,20,20,0.1,42,gini,r2,0.369434118270874,-0.0421,10.6383,6.4627,0.532,0.0402,0.0058,0.0061,0.0083,0.0095,0.0074,0.0083,0.5958,ImpurityParTree2,german_credit_y.zip
2,10,3,5,20,20,0.1,42,me,mape,0.3811564445495605,-0.0332,7.2071,7.7197,0.5383,0.0383,0.0048,0.0049,0.0073,0.0079,0.0067,0.0073,0.6171,ImpurityParTree2,german_credit_y.zip
2,10,3,5,20,20,0.1,42,me,r2,0.392388105392456,-0.0332,7.2071,7.7197,0.5383,0.0383,0.0048,0.0049,0.0073,0.0079,0.0067,0.0073,0.6171,ImpurityParTree2,german_credit_y.zip
2,12,30,50,20,20,0.0,42,gini,mape,0.1522531509399414,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,12,30,50,20,20,0.0,42,gini,r2,0.144449234008789,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
2,12,30,50,20,20,0.0,42,me,mape,0.1492171287536621,0.0,0.0,0.0,0.5796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7613,ImpurityParTree2,german_credit_y.zip
