n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.8543658256530762,0.0567,51.0175,3.2634,0.4443,0.0018,0.022,0.0122,0.0157,0.0361,0.0101,0.0157,0.2901,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.7878303527832031,0.0589,43.2636,2.8658,0.4458,0.0034,0.0229,0.012,0.0165,0.0375,0.0106,0.0165,0.2959,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.8834137916564941,0.0567,51.0175,3.2634,0.4443,0.0018,0.022,0.0122,0.0157,0.0361,0.0101,0.0157,0.2901,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.8818583488464355,0.0589,43.2636,2.8658,0.4458,0.0034,0.0229,0.012,0.0165,0.0375,0.0106,0.0165,0.2959,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1.007730484008789,0.0567,51.0175,3.2634,0.4443,0.0018,0.022,0.0122,0.0157,0.0361,0.0101,0.0157,0.2901,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.8972175121307373,0.0589,43.2636,2.8658,0.4458,0.0034,0.0229,0.012,0.0165,0.0375,0.0106,0.0165,0.2959,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.7255098819732666,0.0567,51.0175,3.2634,0.4443,0.0018,0.022,0.0122,0.0157,0.0361,0.0101,0.0157,0.2901,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.636911153793335,0.0589,43.2636,2.8658,0.4458,0.0034,0.0229,0.012,0.0165,0.0375,0.0106,0.0165,0.2959,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.7941625118255615,0.0567,51.0175,3.2634,0.4443,0.0018,0.022,0.0122,0.0157,0.0361,0.0101,0.0157,0.2901,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.7716119289398193,0.0589,43.2636,2.8658,0.4458,0.0034,0.0229,0.012,0.0165,0.0375,0.0106,0.0165,0.2959,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.9236090183258056,0.0567,51.0175,3.2634,0.4443,0.0018,0.022,0.0122,0.0157,0.0361,0.0101,0.0157,0.2901,kmeans+dt,german_credit_y.zip-12_True_k
12,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.7795438766479492,0.0589,43.2636,2.8658,0.4458,0.0034,0.0229,0.012,0.0165,0.0375,0.0106,0.0165,0.2959,kmeans+dt,german_credit_y.zip-12_True_k
