n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,100,1.3368732929229736,0.0781,95.1522,3.2926,0.4812,0.0116,0.005,0.0039,0.0056,0.0082,0.0043,0.0056,0.4532,kmeans+dt,german_credit_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,1.1333296298980713,0.0781,95.1522,3.2926,0.4812,0.0116,0.005,0.0039,0.0056,0.0082,0.0043,0.0056,0.4532,kmeans+dt,german_credit_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,100,0.9938626289367676,0.0766,95.0256,3.3465,0.4808,0.0111,0.0042,0.003,0.0047,0.0069,0.0036,0.0047,0.4524,kmeans+dt,german_credit_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,1.3015296459197998,0.0781,95.1522,3.2926,0.4812,0.0116,0.005,0.0039,0.0056,0.0082,0.0043,0.0056,0.4532,kmeans+dt,german_credit_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,100,0.984733819961548,0.0809,95.6969,3.4349,0.4908,0.0223,0.0075,0.0068,0.0085,0.0123,0.0065,0.0085,0.4754,kmeans+dt,german_credit_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,20,1.02964186668396,0.0809,95.6969,3.4349,0.4908,0.0223,0.0075,0.0068,0.0085,0.0123,0.0065,0.0085,0.4754,kmeans+dt,german_credit_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,100,1.065246820449829,0.0781,95.1522,3.2926,0.4812,0.0116,0.005,0.0039,0.0056,0.0082,0.0043,0.0056,0.4532,kmeans+dt,german_credit_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,1.0403265953063965,0.0781,95.1522,3.2926,0.4812,0.0116,0.005,0.0039,0.0056,0.0082,0.0043,0.0056,0.4532,kmeans+dt,german_credit_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,100,1.3514444828033447,0.0972,93.2764,2.8384,0.4815,0.0087,0.0023,0.0009,0.0027,0.0038,0.0021,0.0027,0.4588,kmeans+dt,german_credit_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,1.2521815299987793,0.0972,93.2764,2.8384,0.4815,0.0087,0.0023,0.0009,0.0027,0.0038,0.0021,0.0027,0.4588,kmeans+dt,german_credit_y.zip-4_True_k
