max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,10,30,50,1000.0,100.0,0.0,42,entropy,mape,6.851178169250488,-0.0033,47.516,2.3427,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.0,42,entropy,r2,7.292745590209961,0.0277,46.8059,2.6576,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.0,42,gini,mape,6.460382461547852,0.0349,59.6669,2.0136,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.0,42,gini,r2,7.494987964630127,0.0406,53.0995,2.3211,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.0,42,me,mape,5.981287717819214,0.0611,82.4357,1.8406,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.0,42,me,r2,6.224960803985596,-0.1276,22.953,2.5543,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.1,42,entropy,mape,6.840789556503296,-0.0033,47.516,2.3427,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.1,42,entropy,r2,7.211064577102661,0.0277,46.8059,2.6576,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.1,42,gini,mape,6.4514477252960205,0.0349,59.6669,2.0136,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.1,42,gini,r2,7.5186827182769775,0.0406,53.0995,2.3211,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.1,42,me,mape,5.93069314956665,0.0611,82.4357,1.8406,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.1,42,me,r2,7.73061203956604,0.0347,51.9791,2.7144,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.2,42,entropy,mape,6.886429071426392,-0.0033,47.516,2.3427,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.2,42,entropy,r2,7.195306062698364,0.0277,46.8059,2.6576,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.2,42,gini,mape,6.463960647583008,0.0349,59.6669,2.0136,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.2,42,gini,r2,7.498691320419311,0.0406,53.0995,2.3211,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.2,42,me,mape,5.912771224975586,0.0611,82.4357,1.8406,ImpurityParTree2,home.zip
10,10,30,50,1000.0,100.0,0.2,42,me,r2,7.651160717010498,0.0347,51.9791,2.7144,ImpurityParTree2,home.zip
