eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
0.1,10,correlation,auto,4,0.006087303161621,0.1868,75.4066,2.5794,skl_DBSCAN,home.zip
0.1,10,cosine,auto,4,0.0101857185363769,0.0567,56.0321,2.2163,skl_DBSCAN,home.zip
0.1,10,euclidean,auto,4,0.0049579143524169,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.1,2,correlation,auto,4,0.0062370300292968,-0.2472,1.6743,2.0561,skl_DBSCAN,home.zip
0.1,2,cosine,auto,4,0.018620491027832,-0.2825,2.7197,1.9273,skl_DBSCAN,home.zip
0.1,2,euclidean,auto,4,0.0093345642089843,-0.3087,1.6145,1.2,skl_DBSCAN,home.zip
0.1,5,correlation,auto,4,0.0061662197113037,0.0214,2.5951,6.5149,skl_DBSCAN,home.zip
0.1,5,cosine,auto,4,0.008843183517456,-0.0455,31.8026,1.9262,skl_DBSCAN,home.zip
0.1,5,euclidean,auto,4,0.0048205852508544,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.25,10,correlation,auto,4,0.0063183307647705,0.1272,1.1514,0.8314,skl_DBSCAN,home.zip
0.25,10,cosine,auto,4,0.0070273876190185,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.25,10,euclidean,auto,4,0.0054645538330078,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.25,2,correlation,auto,4,0.0119163990020751,0.1272,1.1514,0.8314,skl_DBSCAN,home.zip
0.25,2,cosine,auto,4,0.0087170600891113,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.25,2,euclidean,auto,4,0.0079054832458496,-0.0662,3.2394,1.1829,skl_DBSCAN,home.zip
0.25,5,correlation,auto,4,0.0063669681549072,0.1272,1.1514,0.8314,skl_DBSCAN,home.zip
0.25,5,cosine,auto,4,0.0094773769378662,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.25,5,euclidean,auto,4,0.0100047588348388,-0.2063,4.2875,1.1726,skl_DBSCAN,home.zip
0.5,10,correlation,auto,4,0.0171573162078857,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.5,10,cosine,auto,4,0.0134222507476806,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.5,10,euclidean,auto,4,0.0115878582000732,-0.2022,8.7455,1.3593,skl_DBSCAN,home.zip
0.5,2,correlation,auto,4,0.0098459720611572,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.5,2,cosine,auto,4,0.0071461200714111,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.5,2,euclidean,auto,4,0.0097014904022216,0.0969,7.8631,1.1876,skl_DBSCAN,home.zip
0.5,5,correlation,auto,4,0.0067391395568847,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.5,5,cosine,auto,4,0.0070531368255615,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.5,5,euclidean,auto,4,0.0063514709472656,-0.1474,11.0025,1.407,skl_DBSCAN,home.zip
0.75,10,correlation,auto,4,0.0141527652740478,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.75,10,cosine,auto,4,0.0075607299804687,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.75,10,euclidean,auto,4,0.0070335865020751,-0.0707,21.1948,1.5936,skl_DBSCAN,home.zip
0.75,2,correlation,auto,4,0.0074028968811035,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.75,2,cosine,auto,4,0.0080683231353759,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.75,2,euclidean,auto,4,0.0120913982391357,0.0618,17.4852,1.3375,skl_DBSCAN,home.zip
0.75,5,correlation,auto,4,0.0066592693328857,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.75,5,cosine,auto,4,0.0082731246948242,0.0,0.0,0.0,skl_DBSCAN,home.zip
0.75,5,euclidean,auto,4,0.0070137977600097,-0.0303,21.7887,1.6432,skl_DBSCAN,home.zip
1.0,10,correlation,auto,4,0.0070884227752685,0.0,0.0,0.0,skl_DBSCAN,home.zip
1.0,10,cosine,auto,4,0.0076134204864501,0.0,0.0,0.0,skl_DBSCAN,home.zip
1.0,10,euclidean,auto,4,0.0091233253479003,0.1988,109.6683,1.7331,skl_DBSCAN,home.zip
1.0,2,correlation,auto,4,0.0067994594573974,0.0,0.0,0.0,skl_DBSCAN,home.zip
1.0,2,cosine,auto,4,0.0090641975402832,0.0,0.0,0.0,skl_DBSCAN,home.zip
1.0,2,euclidean,auto,4,0.0108222961425781,0.0256,28.2737,1.4175,skl_DBSCAN,home.zip
1.0,5,correlation,auto,4,0.0095522403717041,0.0,0.0,0.0,skl_DBSCAN,home.zip
1.0,5,cosine,auto,4,0.0103430747985839,0.0,0.0,0.0,skl_DBSCAN,home.zip
1.0,5,euclidean,auto,4,0.0078351497650146,0.0589,52.808,1.3828,skl_DBSCAN,home.zip
