max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,30,50,20,20,0.0,42,entropy,mape,0.1669158935546875,-0.1114,12.5871,1.992,0.5051,0.007,0.004,0.0033,0.0069,0.0058,0.0087,0.0069,0.6272,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.0,42,entropy,r2,0.1619038581848144,-0.1114,12.5871,1.992,0.5051,0.007,0.004,0.0033,0.0069,0.0058,0.0087,0.0069,0.6272,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.0,42,gini,mape,0.4773762226104736,-0.1486,25.7112,3.7855,0.5037,0.0107,0.0508,0.033,0.0402,0.0737,0.0276,0.0402,0.335,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.0,42,gini,r2,0.5303966999053955,-0.1486,25.7112,3.7855,0.5037,0.0107,0.0508,0.033,0.0402,0.0737,0.0276,0.0402,0.335,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.0,42,me,mape,0.1756634712219238,-0.1114,12.5871,1.992,0.5051,0.007,0.004,0.0033,0.0069,0.0058,0.0087,0.0069,0.6272,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.0,42,me,r2,0.154853343963623,-0.1114,12.5871,1.992,0.5051,0.007,0.004,0.0033,0.0069,0.0058,0.0087,0.0069,0.6272,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.1,42,entropy,mape,0.6110846996307373,-0.1038,15.3777,5.0484,0.5072,0.018,0.0327,0.0176,0.0244,0.0475,0.0164,0.0244,0.3211,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.1,42,entropy,r2,0.672208309173584,-0.1038,15.3777,5.0484,0.5072,0.018,0.0327,0.0176,0.0244,0.0475,0.0164,0.0244,0.3211,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.1,42,gini,mape,0.5195298194885254,-0.1486,25.7112,3.7855,0.5037,0.0107,0.0508,0.033,0.0402,0.0737,0.0276,0.0402,0.335,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.1,42,gini,r2,0.561600923538208,-0.1486,25.7112,3.7855,0.5037,0.0107,0.0508,0.033,0.0402,0.0737,0.0276,0.0402,0.335,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.1,42,me,mape,0.5481185913085938,-0.1688,16.7399,3.6874,0.5088,0.0207,0.0461,0.03,0.0376,0.0668,0.0262,0.0376,0.3574,ImpurityParTree2,home_y.zip
10,10,30,50,20,20,0.1,42,me,r2,0.575664758682251,-0.1688,16.7399,3.6874,0.5088,0.0207,0.0461,0.03,0.0376,0.0668,0.0262,0.0376,0.3574,ImpurityParTree2,home_y.zip
