n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,correlation,average,1000.0,100,0.0038962364196777,-0.1046,31.7434,2.0851,0.5948,0.1926,0.3231,0.2515,0.2577,0.4689,0.1777,0.2577,0.4635,skl_agglomerativeClust,home_y.zip
10,correlation,average,1000.0,20,0.0037882328033447,-0.1046,31.7434,2.0851,0.5948,0.1926,0.3231,0.2515,0.2577,0.4689,0.1777,0.2577,0.4635,skl_agglomerativeClust,home_y.zip
10,correlation,average,20.0,20,0.0039613246917724,-0.0769,32.926,1.7808,0.6045,0.2118,0.3073,0.2439,0.2502,0.4459,0.1739,0.2502,0.4864,skl_agglomerativeClust,home_y.zip
10,correlation,average,inf,100,0.0037331581115722,-0.1046,31.7434,2.0851,0.5948,0.1926,0.3231,0.2515,0.2577,0.4689,0.1777,0.2577,0.4635,skl_agglomerativeClust,home_y.zip
10,correlation,average,inf,20,0.003763198852539,-0.1046,31.7434,2.0851,0.5948,0.1926,0.3231,0.2515,0.2577,0.4689,0.1777,0.2577,0.4635,skl_agglomerativeClust,home_y.zip
10,correlation,complete,1000.0,100,0.0037019252777099,0.0649,54.7842,1.8925,0.5714,0.1466,0.3287,0.227,0.2322,0.477,0.1535,0.2322,0.3981,skl_agglomerativeClust,home_y.zip
10,correlation,complete,1000.0,20,0.0037312507629394,0.0649,54.7842,1.8925,0.5714,0.1466,0.3287,0.227,0.2322,0.477,0.1535,0.2322,0.3981,skl_agglomerativeClust,home_y.zip
10,correlation,complete,20.0,20,0.0038959980010986,0.0003,49.5228,1.857,0.5755,0.1545,0.3214,0.2288,0.234,0.4664,0.1562,0.234,0.4181,skl_agglomerativeClust,home_y.zip
10,correlation,complete,inf,100,0.0046277046203613,0.0649,54.7842,1.8925,0.5714,0.1466,0.3287,0.227,0.2322,0.477,0.1535,0.2322,0.3981,skl_agglomerativeClust,home_y.zip
10,correlation,complete,inf,20,0.0039262771606445,0.0649,54.7842,1.8925,0.5714,0.1466,0.3287,0.227,0.2322,0.477,0.1535,0.2322,0.3981,skl_agglomerativeClust,home_y.zip
