threshold,branching_factor,n_clusters,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.5,50,10,1000.0,100,0.0150396823883056,0.2423,140.6923,1.0399,0.5193,0.0418,0.1878,0.1476,0.1545,0.2725,0.1078,0.1545,0.3707,skl_birch,home_y.zip
0.5,50,10,1000.0,20,0.0153121948242187,0.2423,140.6923,1.0399,0.5193,0.0418,0.1878,0.1476,0.1545,0.2725,0.1078,0.1545,0.3707,skl_birch,home_y.zip
0.5,50,10,20.0,20,0.0163273811340332,0.2236,129.3801,1.0169,0.5491,0.1014,0.2027,0.1592,0.1661,0.2941,0.1157,0.1661,0.4044,skl_birch,home_y.zip
0.5,50,10,inf,100,0.0148987770080566,0.2423,140.6923,1.0399,0.5193,0.0418,0.1878,0.1476,0.1545,0.2725,0.1078,0.1545,0.3707,skl_birch,home_y.zip
0.5,50,10,inf,20,0.0157680511474609,0.2423,140.6923,1.0399,0.5193,0.0418,0.1878,0.1476,0.1545,0.2725,0.1078,0.1545,0.3707,skl_birch,home_y.zip
0.5,50,12,1000.0,100,0.0151841640472412,0.2462,124.6827,1.1206,0.5176,0.0384,0.1902,0.1448,0.1532,0.276,0.106,0.1532,0.3669,skl_birch,home_y.zip
0.5,50,12,1000.0,20,0.0151004791259765,0.2462,124.6827,1.1206,0.5176,0.0384,0.1902,0.1448,0.1532,0.276,0.106,0.1532,0.3669,skl_birch,home_y.zip
0.5,50,12,20.0,20,0.0159511566162109,0.2215,115.5685,1.1924,0.5492,0.1016,0.2258,0.1712,0.1793,0.3277,0.1234,0.1793,0.4023,skl_birch,home_y.zip
0.5,50,12,inf,100,0.0148923397064208,0.2462,124.6827,1.1206,0.5176,0.0384,0.1902,0.1448,0.1532,0.276,0.106,0.1532,0.3669,skl_birch,home_y.zip
0.5,50,12,inf,20,0.0150551795959472,0.2462,124.6827,1.1206,0.5176,0.0384,0.1902,0.1448,0.1532,0.276,0.106,0.1532,0.3669,skl_birch,home_y.zip
0.5,50,2,1000.0,100,0.0147774219512939,0.6236,159.1583,0.7735,0.508,0.0109,0.0103,0.0222,0.0246,0.015,0.0688,0.0246,0.689,skl_birch,home_y.zip
0.5,50,2,1000.0,20,0.0148735046386718,0.6236,159.1583,0.7735,0.508,0.0109,0.0103,0.0222,0.0246,0.015,0.0688,0.0246,0.689,skl_birch,home_y.zip
0.5,50,2,20.0,20,0.0160918235778808,0.4209,181.5274,1.383,0.5006,-0.0014,0.0,-0.0018,0.0,0.0,0.0,0.0,0.6019,skl_birch,home_y.zip
0.5,50,2,inf,100,0.0147874355316162,0.6236,159.1583,0.7735,0.508,0.0109,0.0103,0.0222,0.0246,0.015,0.0688,0.0246,0.689,skl_birch,home_y.zip
0.5,50,2,inf,20,0.0142381191253662,0.6236,159.1583,0.7735,0.508,0.0109,0.0103,0.0222,0.0246,0.015,0.0688,0.0246,0.689,skl_birch,home_y.zip
0.5,50,4,1000.0,100,0.0274899005889892,0.2564,132.525,1.2078,0.5077,0.0143,0.0802,0.1041,0.1078,0.1164,0.1005,0.1078,0.5533,skl_birch,home_y.zip
0.5,50,4,1000.0,20,0.021918773651123,0.2564,132.525,1.2078,0.5077,0.0143,0.0802,0.1041,0.1078,0.1164,0.1005,0.1078,0.5533,skl_birch,home_y.zip
0.5,50,4,20.0,20,0.0159733295440673,0.2789,153.4249,1.1277,0.5133,0.0259,0.1124,0.1406,0.144,0.1632,0.1288,0.144,0.5416,skl_birch,home_y.zip
0.5,50,4,inf,100,0.0146844387054443,0.2564,132.525,1.2078,0.5077,0.0143,0.0802,0.1041,0.1078,0.1164,0.1005,0.1078,0.5533,skl_birch,home_y.zip
0.5,50,4,inf,20,0.0149743556976318,0.2564,132.525,1.2078,0.5077,0.0143,0.0802,0.1041,0.1078,0.1164,0.1005,0.1078,0.5533,skl_birch,home_y.zip
0.5,50,6,1000.0,100,0.0155634880065917,0.2621,130.9124,1.0434,0.5099,0.0196,0.1104,0.123,0.1285,0.1603,0.1073,0.1285,0.5157,skl_birch,home_y.zip
0.5,50,6,1000.0,20,0.0157253742218017,0.2621,130.9124,1.0434,0.5099,0.0196,0.1104,0.123,0.1285,0.1603,0.1073,0.1285,0.5157,skl_birch,home_y.zip
0.5,50,6,20.0,20,0.0160126686096191,0.2749,124.6318,1.0149,0.5122,0.0237,0.1169,0.1379,0.1436,0.1696,0.1245,0.1436,0.5391,skl_birch,home_y.zip
0.5,50,6,inf,100,0.0182752609252929,0.2621,130.9124,1.0434,0.5099,0.0196,0.1104,0.123,0.1285,0.1603,0.1073,0.1285,0.5157,skl_birch,home_y.zip
0.5,50,6,inf,20,0.0153915882110595,0.2621,130.9124,1.0434,0.5099,0.0196,0.1104,0.123,0.1285,0.1603,0.1073,0.1285,0.5157,skl_birch,home_y.zip
