n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,100,0.1057667732238769,0.1429,81.4959,1.589,0.5394,0.0829,0.2246,0.1592,0.1636,0.3259,0.1092,0.1636,0.3367,kmeans+dt,home_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,0.0939781665802002,0.1429,81.4959,1.589,0.5394,0.0829,0.2246,0.1592,0.1636,0.3259,0.1092,0.1636,0.3367,kmeans+dt,home_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,100,0.1192286014556884,0.0963,58.8964,1.9175,0.5491,0.1023,0.263,0.1783,0.183,0.3816,0.1204,0.183,0.3458,kmeans+dt,home_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,0.1587986946105957,0.1429,81.4959,1.589,0.5394,0.0829,0.2246,0.1592,0.1636,0.3259,0.1092,0.1636,0.3367,kmeans+dt,home_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,100,0.0885403156280517,0.1306,85.6656,1.8225,0.5196,0.0434,0.1189,0.0821,0.087,0.1725,0.0581,0.087,0.3006,kmeans+dt,home_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,20,0.0782392024993896,0.1306,85.6656,1.8225,0.5196,0.0434,0.1189,0.0821,0.087,0.1725,0.0581,0.087,0.3006,kmeans+dt,home_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,100,0.0888745784759521,0.1429,81.4959,1.589,0.5394,0.0829,0.2246,0.1592,0.1636,0.3259,0.1092,0.1636,0.3367,kmeans+dt,home_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,0.0898585319519043,0.1429,81.4959,1.589,0.5394,0.0829,0.2246,0.1592,0.1636,0.3259,0.1092,0.1636,0.3367,kmeans+dt,home_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,100,0.0903983116149902,0.1532,80.0992,1.7021,0.5282,0.0608,0.2527,0.156,0.1643,0.3667,0.1058,0.1643,0.2971,kmeans+dt,home_y.zip-12_True_k
12,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,0.0908079147338867,0.1532,80.0992,1.7021,0.5282,0.0608,0.2527,0.156,0.1643,0.3667,0.1058,0.1643,0.2971,kmeans+dt,home_y.zip-12_True_k
