n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,100,0.0862107276916503,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,0.0810141563415527,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,20.0,20,0.0896332263946533,0.2715,204.4869,1.1231,0.5485,0.0991,0.1202,0.1234,0.1262,0.1744,0.0989,0.1262,0.4592,skl_kmeans,home_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,inf,100,0.090799331665039,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,0.0798006057739257,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,100,0.0811378955841064,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,0.0869927406311035,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,20.0,20,0.0820610523223877,0.2715,204.4869,1.1231,0.5485,0.0991,0.1202,0.1234,0.1262,0.1744,0.0989,0.1262,0.4592,skl_kmeans,home_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,inf,100,0.0796937942504882,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,0.0822832584381103,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,100,0.0907206535339355,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,0.0819110870361328,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,20.0,20,0.0888988971710205,0.2715,204.4869,1.1231,0.5485,0.0991,0.1202,0.1234,0.1262,0.1744,0.0989,0.1262,0.4592,skl_kmeans,home_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,inf,100,0.0985486507415771,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,0.0912678241729736,0.2722,204.607,1.1262,0.5467,0.0955,0.1176,0.1208,0.1236,0.1706,0.0969,0.1236,0.4574,skl_kmeans,home_y.zip-4_k
