n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,0.1168911457061767,0.235,164.3908,1.284,0.5522,0.1073,0.2027,0.173,0.1767,0.2942,0.1263,0.1767,0.4161,skl_bis_kmeans,home_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.1143801212310791,0.235,164.3908,1.284,0.5522,0.1073,0.2027,0.173,0.1767,0.2942,0.1263,0.1767,0.4161,skl_bis_kmeans,home_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,0.214111328125,0.234,164.141,1.2881,0.5523,0.1075,0.2049,0.1747,0.1784,0.2973,0.1274,0.1784,0.4161,skl_bis_kmeans,home_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,0.1298892498016357,0.235,164.3908,1.284,0.5522,0.1073,0.2027,0.173,0.1767,0.2942,0.1263,0.1767,0.4161,skl_bis_kmeans,home_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.1143524646759033,0.235,164.3908,1.284,0.5522,0.1073,0.2027,0.173,0.1767,0.2942,0.1263,0.1767,0.4161,skl_bis_kmeans,home_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,0.1482255458831787,0.1862,122.6968,1.3026,0.5462,0.0959,0.1612,0.1293,0.133,0.2339,0.0929,0.133,0.3829,skl_bis_kmeans,home_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.109649658203125,0.1862,122.6968,1.3026,0.5462,0.0959,0.1612,0.1293,0.133,0.2339,0.0929,0.133,0.3829,skl_bis_kmeans,home_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,0.0872049331665039,0.1867,122.8093,1.3098,0.5461,0.0956,0.1634,0.1308,0.1344,0.2371,0.0938,0.1344,0.3815,skl_bis_kmeans,home_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,100,0.11781907081604,0.1862,122.6968,1.3026,0.5462,0.0959,0.1612,0.1293,0.133,0.2339,0.0929,0.133,0.3829,skl_bis_kmeans,home_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.1214046478271484,0.1862,122.6968,1.3026,0.5462,0.0959,0.1612,0.1293,0.133,0.2339,0.0929,0.133,0.3829,skl_bis_kmeans,home_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,0.1138770580291748,0.235,164.3908,1.284,0.5522,0.1073,0.2027,0.173,0.1767,0.2942,0.1263,0.1767,0.4161,skl_bis_kmeans,home_y.zip-6_k
