n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,IMM,1000.0,100,0.0983946323394775,0.1194,26.1715,2.2333,0.5187,0.0889,0.2183,0.1479,0.1559,0.3343,0.1017,0.1559,0.3553,ExKMC,ionosphere_y.zip
10,10,IMM,1000.0,20,0.0651845932006836,0.1194,26.1715,2.2333,0.5187,0.0889,0.2183,0.1479,0.1559,0.3343,0.1017,0.1559,0.3553,ExKMC,ionosphere_y.zip
10,10,IMM,100.0,100,0.0697607994079589,0.202,29.0822,2.4779,0.5641,0.1681,0.2486,0.1857,0.1932,0.3807,0.1294,0.1932,0.457,ExKMC,ionosphere_y.zip
10,10,IMM,100.0,20,0.1509685516357422,0.1194,26.1715,2.2333,0.5187,0.0889,0.2183,0.1479,0.1559,0.3343,0.1017,0.1559,0.3553,ExKMC,ionosphere_y.zip
10,10,IMM,inf,100,0.1458508968353271,0.1194,26.1715,2.2333,0.5187,0.0889,0.2183,0.1479,0.1559,0.3343,0.1017,0.1559,0.3553,ExKMC,ionosphere_y.zip
10,10,IMM,inf,20,0.0128800868988037,0.1194,26.1715,2.2333,0.5187,0.0889,0.2183,0.1479,0.1559,0.3343,0.1017,0.1559,0.3553,ExKMC,ionosphere_y.zip
10,10,NONE,1000.0,100,0.0213644504547119,0.1068,29.0138,2.2243,0.5268,0.0966,0.196,0.1458,0.1537,0.3002,0.1032,0.1537,0.3989,ExKMC,ionosphere_y.zip
10,10,NONE,1000.0,20,0.0972323417663574,0.1068,29.0138,2.2243,0.5268,0.0966,0.196,0.1458,0.1537,0.3002,0.1032,0.1537,0.3989,ExKMC,ionosphere_y.zip
10,10,NONE,100.0,100,0.1084930896759033,0.1969,34.1036,2.1285,0.5578,0.1536,0.2104,0.1642,0.1711,0.3224,0.1165,0.1711,0.4545,ExKMC,ionosphere_y.zip
10,10,NONE,100.0,20,0.0359842777252197,0.1068,29.0138,2.2243,0.5268,0.0966,0.196,0.1458,0.1537,0.3002,0.1032,0.1537,0.3989,ExKMC,ionosphere_y.zip
10,10,NONE,inf,100,0.0428378582000732,0.1068,29.0138,2.2243,0.5268,0.0966,0.196,0.1458,0.1537,0.3002,0.1032,0.1537,0.3989,ExKMC,ionosphere_y.zip
10,10,NONE,inf,20,0.0760238170623779,0.1068,29.0138,2.2243,0.5268,0.0966,0.196,0.1458,0.1537,0.3002,0.1032,0.1537,0.3989,ExKMC,ionosphere_y.zip
10,12,IMM,1000.0,100,0.0307962894439697,0.1175,29.2022,2.1102,0.5117,0.0738,0.2086,0.1436,0.1518,0.3195,0.0996,0.1518,0.3502,ExKMC,ionosphere_y.zip
10,12,IMM,1000.0,20,0.0919270515441894,0.1175,29.2022,2.1102,0.5117,0.0738,0.2086,0.1436,0.1518,0.3195,0.0996,0.1518,0.3502,ExKMC,ionosphere_y.zip
10,12,IMM,100.0,100,0.1577837467193603,0.2125,31.3601,2.0843,0.572,0.1822,0.2779,0.2125,0.22,0.4257,0.1483,0.22,0.4715,ExKMC,ionosphere_y.zip
10,12,IMM,100.0,20,0.1215670108795166,0.1175,29.2022,2.1102,0.5117,0.0738,0.2086,0.1436,0.1518,0.3195,0.0996,0.1518,0.3502,ExKMC,ionosphere_y.zip
