n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,0.5565290451049805,0.1561,30.4546,2.0259,0.5305,0.1084,0.2279,0.161,0.1694,0.3491,0.1119,0.1694,0.3878,ShallowTree,ionosphere_y.zip
10,0.01,1000.0,20,0.5082516670227051,0.1561,30.4546,2.0259,0.5305,0.1084,0.2279,0.161,0.1694,0.3491,0.1119,0.1694,0.3878,ShallowTree,ionosphere_y.zip
10,0.01,100.0,100,0.5502400398254395,0.2052,29.3344,2.0969,0.5618,0.1631,0.2363,0.1744,0.1831,0.3619,0.1226,0.1831,0.4545,ShallowTree,ionosphere_y.zip
10,0.01,100.0,20,0.5286741256713867,0.1561,30.4546,2.0259,0.5305,0.1084,0.2279,0.161,0.1694,0.3491,0.1119,0.1694,0.3878,ShallowTree,ionosphere_y.zip
10,0.01,inf,100,0.6337683200836182,0.1561,30.4546,2.0259,0.5305,0.1084,0.2279,0.161,0.1694,0.3491,0.1119,0.1694,0.3878,ShallowTree,ionosphere_y.zip
10,0.01,inf,20,0.4588284492492676,0.1561,30.4546,2.0259,0.5305,0.1084,0.2279,0.161,0.1694,0.3491,0.1119,0.1694,0.3878,ShallowTree,ionosphere_y.zip
10,0.03,1000.0,100,0.613269567489624,0.148,29.7154,1.8907,0.5225,0.0938,0.2182,0.1537,0.1623,0.3342,0.1071,0.1623,0.3712,ShallowTree,ionosphere_y.zip
10,0.03,1000.0,20,0.6147818565368652,0.148,29.7154,1.8907,0.5225,0.0938,0.2182,0.1537,0.1623,0.3342,0.1071,0.1623,0.3712,ShallowTree,ionosphere_y.zip
10,0.03,100.0,100,0.5934538841247559,0.2161,29.2978,1.9042,0.561,0.1584,0.2193,0.166,0.1752,0.3359,0.1185,0.1752,0.4635,ShallowTree,ionosphere_y.zip
10,0.03,100.0,20,0.4828457832336426,0.148,29.7154,1.8907,0.5225,0.0938,0.2182,0.1537,0.1623,0.3342,0.1071,0.1623,0.3712,ShallowTree,ionosphere_y.zip
10,0.03,inf,100,0.5463640689849854,0.148,29.7154,1.8907,0.5225,0.0938,0.2182,0.1537,0.1623,0.3342,0.1071,0.1623,0.3712,ShallowTree,ionosphere_y.zip
10,0.03,inf,20,0.5729537010192871,0.148,29.7154,1.8907,0.5225,0.0938,0.2182,0.1537,0.1623,0.3342,0.1071,0.1623,0.3712,ShallowTree,ionosphere_y.zip
10,0.05,1000.0,100,0.5317740440368652,0.1412,29.5401,2.0655,0.5223,0.094,0.2061,0.1431,0.1516,0.3157,0.0997,0.1516,0.3688,ShallowTree,ionosphere_y.zip
