amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,0.011728286743164,0.2831,19.8684,1.0635,0.6561,0.3246,0.2848,0.3067,0.3191,0.4363,0.2515,0.3191,0.6351,pyc_xmeans,ionosphere_y.zip
10,14,0.011855125427246,0.2512,23.3324,1.3108,0.5728,0.1751,0.2723,0.2202,0.2349,0.417,0.1635,0.2349,0.4992,pyc_xmeans,ionosphere_y.zip
10,18,0.0151927471160888,0.2509,25.447,1.6512,0.5795,0.1901,0.3027,0.2321,0.2452,0.4637,0.1666,0.2452,0.5016,pyc_xmeans,ionosphere_y.zip
10,2,0.0062458515167236,0.2882,29.5534,1.3936,0.5994,0.2217,0.2502,0.2249,0.2357,0.3833,0.1702,0.2357,0.5479,pyc_xmeans,ionosphere_y.zip
10,22,0.0167517662048339,0.1705,22.7721,1.2761,0.5486,0.1454,0.3609,0.2295,0.246,0.5528,0.1582,0.246,0.4114,pyc_xmeans,ionosphere_y.zip
10,6,0.0062336921691894,0.2831,28.0628,1.7984,0.5963,0.2179,0.2705,0.2372,0.2475,0.4144,0.1765,0.2475,0.5373,pyc_xmeans,ionosphere_y.zip
12,10,0.0069661140441894,0.2814,22.3952,0.9913,0.6099,0.2413,0.2611,0.2432,0.2576,0.3999,0.19,0.2576,0.5627,pyc_xmeans,ionosphere_y.zip
12,14,0.0114939212799072,0.2389,29.0954,1.629,0.54,0.1199,0.2669,0.1908,0.2037,0.4088,0.1356,0.2037,0.4266,pyc_xmeans,ionosphere_y.zip
12,18,0.012946605682373,0.229,20.5603,1.2682,0.5772,0.1841,0.2894,0.2181,0.2365,0.4433,0.1613,0.2365,0.5029,pyc_xmeans,ionosphere_y.zip
12,2,0.006303071975708,0.2641,19.8647,1.6279,0.6086,0.2345,0.2422,0.2286,0.2433,0.371,0.181,0.2433,0.5733,pyc_xmeans,ionosphere_y.zip
12,22,0.0131187438964843,0.2251,25.1904,1.4257,0.546,0.1316,0.2648,0.1904,0.2048,0.4057,0.137,0.2048,0.4351,pyc_xmeans,ionosphere_y.zip
12,6,0.0057663917541503,0.2848,18.5759,1.083,0.6555,0.3246,0.3072,0.3149,0.3291,0.4705,0.2531,0.3291,0.6316,pyc_xmeans,ionosphere_y.zip
2,10,0.0163745880126953,0.2218,35.6497,1.381,0.5811,0.1933,0.2593,0.2135,0.2218,0.3972,0.1538,0.2218,0.5038,pyc_xmeans,ionosphere_y.zip
2,14,0.0078382492065429,0.2776,68.8703,1.8016,0.583,0.1774,0.108,0.1303,0.1334,0.1655,0.1118,0.1334,0.5656,pyc_xmeans,ionosphere_y.zip
2,18,0.0053339004516601,0.2701,95.9107,1.6801,0.5865,0.1727,0.0871,0.128,0.1299,0.1335,0.1264,0.1299,0.6031,pyc_xmeans,ionosphere_y.zip
2,2,0.0055017471313476,0.2704,95.9125,1.6819,0.5841,0.1679,0.0838,0.1231,0.125,0.1284,0.1217,0.125,0.601,pyc_xmeans,ionosphere_y.zip
2,22,0.0071120262145996,0.2704,95.9125,1.6819,0.5841,0.1679,0.0838,0.1231,0.125,0.1284,0.1217,0.125,0.601,pyc_xmeans,ionosphere_y.zip
2,6,0.0109777450561523,0.2704,95.9125,1.6819,0.5841,0.1679,0.0838,0.1231,0.125,0.1284,0.1217,0.125,0.601,pyc_xmeans,ionosphere_y.zip
4,10,0.0462608337402343,0.2768,50.6227,2.2091,0.5997,0.2131,0.1727,0.1942,0.1983,0.2645,0.1586,0.1983,0.5749,pyc_xmeans,ionosphere_y.zip
4,14,0.0095620155334472,0.1252,31.9868,1.4333,0.528,0.0773,0.0774,0.0815,0.0884,0.1185,0.0705,0.0884,0.4795,pyc_xmeans,ionosphere_y.zip
4,18,0.0067451000213623,0.2697,35.5798,1.4677,0.5852,0.1713,0.0936,0.1271,0.1335,0.1433,0.1249,0.1335,0.5981,pyc_xmeans,ionosphere_y.zip
4,2,0.004946231842041,0.2862,50.2792,2.0803,0.6491,0.3103,0.2681,0.3061,0.3097,0.4107,0.2485,0.3097,0.6286,pyc_xmeans,ionosphere_y.zip
4,22,0.0143570899963378,0.2107,27.5838,1.1169,0.5856,0.2021,0.2784,0.2237,0.2354,0.4264,0.1625,0.2354,0.5094,pyc_xmeans,ionosphere_y.zip
4,6,0.0090792179107666,0.2607,47.0812,1.5113,0.6047,0.2325,0.2664,0.2516,0.2569,0.4081,0.1874,0.2569,0.5527,pyc_xmeans,ionosphere_y.zip
6,10,0.0100488662719726,0.2626,30.2328,1.2738,0.5933,0.2113,0.2658,0.2345,0.2447,0.4072,0.1749,0.2447,0.5358,pyc_xmeans,ionosphere_y.zip
6,14,0.0120646953582763,0.2337,25.3266,1.0827,0.6004,0.2264,0.264,0.2244,0.237,0.4044,0.1676,0.237,0.5406,pyc_xmeans,ionosphere_y.zip
6,18,0.0137126445770263,0.2152,29.2214,1.2116,0.5827,0.1976,0.27,0.2165,0.2269,0.4136,0.1563,0.2269,0.5023,pyc_xmeans,ionosphere_y.zip
6,2,0.0048284530639648,0.1751,36.7391,1.6872,0.5851,0.1958,0.1963,0.1897,0.1961,0.3007,0.1455,0.1961,0.5242,pyc_xmeans,ionosphere_y.zip
6,22,0.0233089923858642,0.2026,30.3026,1.5696,0.5392,0.1172,0.2121,0.1598,0.1703,0.3249,0.1154,0.1703,0.4295,pyc_xmeans,ionosphere_y.zip
6,6,0.0138168334960937,0.2572,32.0966,2.0841,0.6218,0.26,0.2587,0.2713,0.2776,0.3963,0.2137,0.2776,0.5891,pyc_xmeans,ionosphere_y.zip
8,10,0.0112507343292236,0.2617,33.6414,1.9322,0.5683,0.1689,0.2829,0.224,0.2328,0.4333,0.1592,0.2328,0.4847,pyc_xmeans,ionosphere_y.zip
8,14,0.0116090774536132,0.22,26.7941,1.3351,0.5684,0.1727,0.2953,0.2218,0.2349,0.4524,0.1586,0.2349,0.4743,pyc_xmeans,ionosphere_y.zip
8,18,0.0116653442382812,0.2184,31.3106,1.4981,0.5883,0.2099,0.299,0.2332,0.2429,0.458,0.1652,0.2429,0.5057,pyc_xmeans,ionosphere_y.zip
8,2,0.0058293342590332,0.2978,33.5367,1.7078,0.6179,0.2544,0.2805,0.272,0.2804,0.4296,0.2081,0.2804,0.5791,pyc_xmeans,ionosphere_y.zip
8,22,0.0094201564788818,0.225,34.6787,1.2922,0.5722,0.1759,0.228,0.1904,0.1992,0.3493,0.1393,0.1992,0.4925,pyc_xmeans,ionosphere_y.zip
8,6,0.0054991245269775,0.293,33.2646,1.4997,0.6161,0.2517,0.2731,0.2655,0.274,0.4184,0.2037,0.274,0.5751,pyc_xmeans,ionosphere_y.zip
