threshold,branching_factor,n_clusters,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.5,50,10,1000.0,100,0.0166528224945068,0.189,34.6225,1.9375,0.551,0.1398,0.3274,0.2482,0.256,0.5016,0.1718,0.256,0.4468,skl_birch,ionosphere_y.zip
0.5,50,10,1000.0,20,0.0167148113250732,0.189,34.6225,1.9375,0.551,0.1398,0.3274,0.2482,0.256,0.5016,0.1718,0.256,0.4468,skl_birch,ionosphere_y.zip
0.5,50,10,100.0,100,0.0163874626159667,0.2189,34.5728,2.0313,0.5629,0.165,0.3289,0.2449,0.2526,0.5038,0.1685,0.2526,0.4569,skl_birch,ionosphere_y.zip
0.5,50,10,100.0,20,0.0167179107666015,0.189,34.6225,1.9375,0.551,0.1398,0.3274,0.2482,0.256,0.5016,0.1718,0.256,0.4468,skl_birch,ionosphere_y.zip
0.5,50,10,20.0,20,0.019021987915039,0.2179,34.6434,1.8239,0.5782,0.1884,0.3313,0.2626,0.2707,0.5075,0.1846,0.2707,0.4976,skl_birch,ionosphere_y.zip
0.5,50,10,inf,100,0.0166518688201904,0.189,34.6225,1.9375,0.551,0.1398,0.3274,0.2482,0.256,0.5016,0.1718,0.256,0.4468,skl_birch,ionosphere_y.zip
0.5,50,10,inf,20,0.0166292190551757,0.189,34.6225,1.9375,0.551,0.1398,0.3274,0.2482,0.256,0.5016,0.1718,0.256,0.4468,skl_birch,ionosphere_y.zip
0.5,50,12,1000.0,100,0.01670503616333,0.1578,31.8351,1.9712,0.5182,0.0886,0.3334,0.2215,0.2303,0.5108,0.1487,0.2303,0.352,skl_birch,ionosphere_y.zip
0.5,50,12,1000.0,20,0.0166385173797607,0.1578,31.8351,1.9712,0.5182,0.0886,0.3334,0.2215,0.2303,0.5108,0.1487,0.2303,0.352,skl_birch,ionosphere_y.zip
0.5,50,12,100.0,100,0.0163164138793945,0.2116,31.3779,2.0739,0.5626,0.1659,0.3719,0.2631,0.2719,0.5696,0.1785,0.2719,0.4524,skl_birch,ionosphere_y.zip
0.5,50,12,100.0,20,0.0169339179992675,0.1578,31.8351,1.9712,0.5182,0.0886,0.3334,0.2215,0.2303,0.5108,0.1487,0.2303,0.352,skl_birch,ionosphere_y.zip
0.5,50,12,20.0,20,0.0191109180450439,0.1445,31.7958,2.0576,0.5311,0.1105,0.3384,0.2311,0.24,0.5184,0.1562,0.24,0.385,skl_birch,ionosphere_y.zip
0.5,50,12,inf,100,0.0167183876037597,0.1578,31.8351,1.9712,0.5182,0.0886,0.3334,0.2215,0.2303,0.5108,0.1487,0.2303,0.352,skl_birch,ionosphere_y.zip
0.5,50,12,inf,20,0.0166914463043212,0.1578,31.8351,1.9712,0.5182,0.0886,0.3334,0.2215,0.2303,0.5108,0.1487,0.2303,0.352,skl_birch,ionosphere_y.zip
0.5,50,2,1000.0,100,0.0167553424835205,0.2709,95.5281,1.6848,0.5914,0.1824,0.0925,0.1359,0.1378,0.1416,0.1341,0.1378,0.6078,skl_birch,ionosphere_y.zip
0.5,50,2,1000.0,20,0.0170643329620361,0.2709,95.5281,1.6848,0.5914,0.1824,0.0925,0.1359,0.1378,0.1416,0.1341,0.1378,0.6078,skl_birch,ionosphere_y.zip
0.5,50,2,100.0,100,0.016301155090332,0.2709,95.5281,1.6848,0.5914,0.1824,0.0925,0.1359,0.1378,0.1416,0.1341,0.1378,0.6078,skl_birch,ionosphere_y.zip
0.5,50,2,100.0,20,0.0166716575622558,0.2709,95.5281,1.6848,0.5914,0.1824,0.0925,0.1359,0.1378,0.1416,0.1341,0.1378,0.6078,skl_birch,ionosphere_y.zip
0.5,50,2,20.0,20,0.0184698104858398,0.268,94.0939,1.6921,0.5989,0.1976,0.1032,0.1518,0.1537,0.1581,0.1495,0.1537,0.6146,skl_birch,ionosphere_y.zip
0.5,50,2,inf,100,0.0168027877807617,0.2709,95.5281,1.6848,0.5914,0.1824,0.0925,0.1359,0.1378,0.1416,0.1341,0.1378,0.6078,skl_birch,ionosphere_y.zip
0.5,50,2,inf,20,0.0167152881622314,0.2709,95.5281,1.6848,0.5914,0.1824,0.0925,0.1359,0.1378,0.1416,0.1341,0.1378,0.6078,skl_birch,ionosphere_y.zip
0.5,50,4,1000.0,100,0.0166430473327636,0.2978,58.971,1.6726,0.6563,0.3239,0.3043,0.3439,0.3472,0.4662,0.2766,0.3472,0.6387,skl_birch,ionosphere_y.zip
0.5,50,4,1000.0,20,0.0166490077972412,0.2978,58.971,1.6726,0.6563,0.3239,0.3043,0.3439,0.3472,0.4662,0.2766,0.3472,0.6387,skl_birch,ionosphere_y.zip
0.5,50,4,100.0,100,0.0163235664367675,0.2978,58.971,1.6726,0.6563,0.3239,0.3043,0.3439,0.3472,0.4662,0.2766,0.3472,0.6387,skl_birch,ionosphere_y.zip
0.5,50,4,100.0,20,0.0166394710540771,0.2978,58.971,1.6726,0.6563,0.3239,0.3043,0.3439,0.3472,0.4662,0.2766,0.3472,0.6387,skl_birch,ionosphere_y.zip
0.5,50,4,20.0,20,0.0191953182220459,0.2952,59.4366,1.7291,0.6667,0.3453,0.3207,0.3567,0.3599,0.4912,0.2839,0.3599,0.6469,skl_birch,ionosphere_y.zip
0.5,50,4,inf,100,0.0166668891906738,0.2978,58.971,1.6726,0.6563,0.3239,0.3043,0.3439,0.3472,0.4662,0.2766,0.3472,0.6387,skl_birch,ionosphere_y.zip
0.5,50,4,inf,20,0.0167486667633056,0.2978,58.971,1.6726,0.6563,0.3239,0.3043,0.3439,0.3472,0.4662,0.2766,0.3472,0.6387,skl_birch,ionosphere_y.zip
0.5,50,6,1000.0,100,0.0166475772857666,0.2222,46.1925,2.026,0.6029,0.2291,0.3144,0.2938,0.2987,0.4817,0.2165,0.2987,0.5501,skl_birch,ionosphere_y.zip
0.5,50,6,1000.0,20,0.01664400100708,0.2222,46.1925,2.026,0.6029,0.2291,0.3144,0.2938,0.2987,0.4817,0.2165,0.2987,0.5501,skl_birch,ionosphere_y.zip
0.5,50,6,100.0,100,0.016381025314331,0.2308,46.4023,1.8526,0.6138,0.249,0.3086,0.2949,0.2999,0.4727,0.2197,0.2999,0.567,skl_birch,ionosphere_y.zip
0.5,50,6,100.0,20,0.0166835784912109,0.2222,46.1925,2.026,0.6029,0.2291,0.3144,0.2938,0.2987,0.4817,0.2165,0.2987,0.5501,skl_birch,ionosphere_y.zip
0.5,50,6,20.0,20,0.0191478729248046,0.2282,46.1208,1.8609,0.6236,0.2686,0.3239,0.3085,0.3134,0.4962,0.2291,0.3134,0.5778,skl_birch,ionosphere_y.zip
0.5,50,6,inf,100,0.0166234970092773,0.2222,46.1925,2.026,0.6029,0.2291,0.3144,0.2938,0.2987,0.4817,0.2165,0.2987,0.5501,skl_birch,ionosphere_y.zip
0.5,50,6,inf,20,0.0166759490966796,0.2222,46.1925,2.026,0.6029,0.2291,0.3144,0.2938,0.2987,0.4817,0.2165,0.2987,0.5501,skl_birch,ionosphere_y.zip
