n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,100,0.5984094142913818,0.0455,27.2413,3.0505,0.5255,0.0921,0.1286,0.1102,0.1148,0.197,0.081,0.1148,0.4056,kmeans+dt,ionosphere_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1000.0,20,0.5599422454833984,0.0455,27.2413,3.0505,0.5255,0.0921,0.1286,0.1102,0.1148,0.197,0.081,0.1148,0.4056,kmeans+dt,ionosphere_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,100,0.498328685760498,0.0332,28.2551,3.5091,0.5193,0.0853,0.1359,0.1065,0.1118,0.2082,0.0764,0.1118,0.376,kmeans+dt,ionosphere_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,100.0,20,0.5849270820617676,0.0455,27.2413,3.0505,0.5255,0.0921,0.1286,0.1102,0.1148,0.197,0.081,0.1148,0.4056,kmeans+dt,ionosphere_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,100,0.5566844940185547,0.0577,28.3118,2.9024,0.5103,0.0679,0.116,0.0902,0.0956,0.1777,0.0653,0.0956,0.3614,kmeans+dt,ionosphere_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,20.0,20,0.6329669952392578,0.0577,28.3118,2.9024,0.5103,0.0679,0.116,0.0902,0.0956,0.1777,0.0653,0.0956,0.3614,kmeans+dt,ionosphere_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,100,0.4869699478149414,0.0455,27.2413,3.0505,0.5255,0.0921,0.1286,0.1102,0.1148,0.197,0.081,0.1148,0.4056,kmeans+dt,ionosphere_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,inf,20,0.4534347057342529,0.0455,27.2413,3.0505,0.5255,0.0921,0.1286,0.1102,0.1148,0.197,0.081,0.1148,0.4056,kmeans+dt,ionosphere_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,100,0.5497608184814453,-0.014,22.0581,3.1564,0.523,0.0899,0.1335,0.1037,0.1102,0.2045,0.0755,0.1102,0.3909,kmeans+dt,ionosphere_y.zip-10_True_k
10,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1000.0,20,0.3185756206512451,-0.014,22.0581,3.1564,0.523,0.0899,0.1335,0.1037,0.1102,0.2045,0.0755,0.1102,0.3909,kmeans+dt,ionosphere_y.zip-10_True_k
