n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,0.605504035949707,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.6389446258544922,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,0.5787036418914795,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.6423766613006592,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,0.5571491718292236,0.1891,29.7206,2.2019,0.5638,0.1661,0.2839,0.215,0.2234,0.4348,0.1503,0.2234,0.4606,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,0.6270167827606201,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.5877125263214111,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,0.642087459564209,0.1346,30.0261,1.9529,0.5614,0.1669,0.3157,0.2303,0.2383,0.4836,0.1581,0.2383,0.4414,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.6042325496673584,0.1346,30.0261,1.9529,0.5614,0.1669,0.3157,0.2303,0.2383,0.4836,0.1581,0.2383,0.4414,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,100,0.6692845821380615,0.137,30.2808,2.0076,0.5544,0.1548,0.3189,0.2291,0.2369,0.4886,0.1564,0.2369,0.4261,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.5832650661468506,0.1346,30.0261,1.9529,0.5614,0.1669,0.3157,0.2303,0.2383,0.4836,0.1581,0.2383,0.4414,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,0.6304426193237305,0.0443,25.8977,2.0857,0.5443,0.1368,0.3325,0.2359,0.2436,0.5093,0.1601,0.2436,0.4046,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,100,0.6618413925170898,0.1346,30.0261,1.9529,0.5614,0.1669,0.3157,0.2303,0.2383,0.4836,0.1581,0.2383,0.4414,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.6001904010772705,0.1346,30.0261,1.9529,0.5614,0.1669,0.3157,0.2303,0.2383,0.4836,0.1581,0.2383,0.4414,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,0.6888406276702881,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.6489078998565674,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,0.646733283996582,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.5724000930786133,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,0.6921176910400391,0.1891,29.7206,2.2019,0.5638,0.1661,0.2839,0.215,0.2234,0.4348,0.1503,0.2234,0.4606,skl_bis_kmeans,ionosphere_y.zip-10_k
10,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,0.6282985210418701,0.1907,29.9835,2.141,0.56,0.1591,0.2819,0.2118,0.22,0.4318,0.1476,0.22,0.454,skl_bis_kmeans,ionosphere_y.zip-10_k
