max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,30,50,20,20,0.0,42,cos,jaccard,0.1042666435241699,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,10,30,50,20,20,0.1,42,cos,jaccard,0.0761058330535888,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,10,30,5,20,20,0.0,42,cos,jaccard,0.1066031455993652,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,10,30,5,20,20,0.1,42,cos,jaccard,0.1140382289886474,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,10,3,50,20,20,0.0,42,cos,jaccard,0.0800056457519531,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,10,3,50,20,20,0.1,42,cos,jaccard,0.0859982967376709,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,10,3,5,20,20,0.0,42,cos,jaccard,0.0947542190551757,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,10,3,5,20,20,0.1,42,cos,jaccard,0.0990688800811767,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,12,30,50,20,20,0.0,42,cos,jaccard,0.0899989604949951,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,12,30,50,20,20,0.1,42,cos,jaccard,0.0740194320678711,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,12,30,5,20,20,0.0,42,cos,jaccard,0.0989434719085693,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,12,30,5,20,20,0.1,42,cos,jaccard,0.0975430011749267,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,12,3,50,20,20,0.0,42,cos,jaccard,0.0802927017211914,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,12,3,50,20,20,0.1,42,cos,jaccard,0.0920302867889404,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,12,3,5,20,20,0.0,42,cos,jaccard,0.1051533222198486,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,12,3,5,20,20,0.1,42,cos,jaccard,0.1190023422241211,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,2,30,50,20,20,0.0,42,cos,jaccard,0.0577046871185302,-0.1023,3.0365,2.9564,0.4384,0.0614,0.1491,0.1959,0.2035,0.1357,0.4064,0.2035,0.545,CenterParTree2,iris_y.zip
2,2,30,50,20,20,0.1,42,cos,jaccard,0.0562083721160888,-0.1023,3.0365,2.9564,0.4384,0.0614,0.1491,0.1959,0.2035,0.1357,0.4064,0.2035,0.545,CenterParTree2,iris_y.zip
2,2,30,5,20,20,0.0,42,cos,jaccard,0.0567817687988281,-0.1023,3.0365,2.9564,0.4384,0.0614,0.1491,0.1959,0.2035,0.1357,0.4064,0.2035,0.545,CenterParTree2,iris_y.zip
2,2,30,5,20,20,0.1,42,cos,jaccard,0.0540018081665039,-0.1023,3.0365,2.9564,0.4384,0.0614,0.1491,0.1959,0.2035,0.1357,0.4064,0.2035,0.545,CenterParTree2,iris_y.zip
2,2,3,50,20,20,0.0,42,cos,jaccard,0.0554194450378418,-0.1023,3.0365,2.9564,0.4384,0.0614,0.1491,0.1959,0.2035,0.1357,0.4064,0.2035,0.545,CenterParTree2,iris_y.zip
2,2,3,50,20,20,0.1,42,cos,jaccard,0.0542025566101074,-0.1023,3.0365,2.9564,0.4384,0.0614,0.1491,0.1959,0.2035,0.1357,0.4064,0.2035,0.545,CenterParTree2,iris_y.zip
2,2,3,5,20,20,0.0,42,cos,jaccard,0.0528705120086669,-0.1023,3.0365,2.9564,0.4384,0.0614,0.1491,0.1959,0.2035,0.1357,0.4064,0.2035,0.545,CenterParTree2,iris_y.zip
2,2,3,5,20,20,0.1,42,cos,jaccard,0.0484323501586914,-0.1023,3.0365,2.9564,0.4384,0.0614,0.1491,0.1959,0.2035,0.1357,0.4064,0.2035,0.545,CenterParTree2,iris_y.zip
2,4,30,50,20,20,0.0,42,cos,jaccard,0.0877015590667724,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,4,30,50,20,20,0.1,42,cos,jaccard,0.0860888957977294,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,4,30,5,20,20,0.0,42,cos,jaccard,0.131772756576538,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,4,30,5,20,20,0.1,42,cos,jaccard,0.1089322566986084,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,4,3,50,20,20,0.0,42,cos,jaccard,0.0842013359069824,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,4,3,50,20,20,0.1,42,cos,jaccard,0.0782127380371093,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,4,3,5,20,20,0.0,42,cos,jaccard,0.0958189964294433,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,4,3,5,20,20,0.1,42,cos,jaccard,0.1180408000946044,-0.0796,29.4885,2.5382,0.6231,0.2398,0.4303,0.4086,0.4211,0.3917,0.4554,0.4211,0.549,CenterParTree2,iris_y.zip
2,6,30,50,20,20,0.0,42,cos,jaccard,0.0786769390106201,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
2,6,30,50,20,20,0.1,42,cos,jaccard,0.075430154800415,0.0132,44.2798,2.2259,0.6303,0.2581,0.4303,0.431,0.439,0.3917,0.4993,0.439,0.5629,CenterParTree2,iris_y.zip
