max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,30,50,20,20,0.0,42,gini,mape,0.0607595443725585,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,10,30,50,20,20,0.0,42,gini,r2,0.0732357501983642,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,10,30,50,20,20,0.0,42,me,mape,0.0694551467895507,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,10,30,50,20,20,0.0,42,me,r2,0.0651586055755615,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,10,30,50,20,20,0.1,42,gini,mape,0.0790438652038574,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,10,30,50,20,20,0.1,42,gini,r2,0.070512056350708,-0.0214,34.7665,2.3247,0.5967,0.2043,0.3857,0.3912,0.3999,0.3511,0.4645,0.3999,0.5388,ImpurityParTree2,iris_y.zip
2,10,30,50,20,20,0.1,42,me,mape,0.0752022266387939,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,10,30,50,20,20,0.1,42,me,r2,0.0676314830780029,-0.1583,4.4864,5.8827,0.4609,0.027,0.0871,0.0855,0.1003,0.0793,0.1364,0.1003,0.4812,ImpurityParTree2,iris_y.zip
2,10,30,5,20,20,0.0,42,gini,mape,0.0780792236328125,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
2,10,30,5,20,20,0.0,42,gini,r2,0.1214163303375244,-0.1722,23.1793,2.6304,0.586,0.1772,0.3857,0.3685,0.3823,0.3511,0.4196,0.3823,0.5182,ImpurityParTree2,iris_y.zip
