n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,0.045745849609375,0.3351,171.6621,0.9114,0.7472,0.3108,0.8824,0.515,0.5342,0.8032,0.4002,0.5342,0.4895,ShallowTree,iris_y.zip
10,0.01,1000.0,20,0.0753815174102783,0.3351,171.6621,0.9114,0.7472,0.3108,0.8824,0.515,0.5342,0.8032,0.4002,0.5342,0.4895,ShallowTree,iris_y.zip
10,0.01,100.0,100,0.0446860790252685,0.3351,171.6621,0.9114,0.7472,0.3108,0.8824,0.515,0.5342,0.8032,0.4002,0.5342,0.4895,ShallowTree,iris_y.zip
10,0.01,100.0,20,0.0444476604461669,0.3351,171.6621,0.9114,0.7472,0.3108,0.8824,0.515,0.5342,0.8032,0.4002,0.5342,0.4895,ShallowTree,iris_y.zip
10,0.01,inf,100,0.0786242485046386,0.3351,171.6621,0.9114,0.7472,0.3108,0.8824,0.515,0.5342,0.8032,0.4002,0.5342,0.4895,ShallowTree,iris_y.zip
10,0.01,inf,20,0.0785574913024902,0.3351,171.6621,0.9114,0.7472,0.3108,0.8824,0.515,0.5342,0.8032,0.4002,0.5342,0.4895,ShallowTree,iris_y.zip
10,0.03,1000.0,100,0.0883176326751709,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
10,0.03,1000.0,20,0.0879437923431396,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
10,0.03,100.0,100,0.0840728282928466,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
10,0.03,100.0,20,0.0921385288238525,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
10,0.03,inf,100,0.0302581787109375,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
10,0.03,inf,20,0.0802173614501953,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
10,0.05,1000.0,100,0.0876660346984863,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
10,0.05,1000.0,20,0.065237283706665,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
10,0.05,100.0,100,0.03580904006958,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
10,0.05,100.0,20,0.0341167449951171,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
10,0.05,inf,100,0.0450148582458496,0.3314,168.155,0.8825,0.761,0.3494,0.9426,0.5543,0.5721,0.858,0.4291,0.5721,0.526,ShallowTree,iris_y.zip
