min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,inf,correlation,auto,4,0.3477053642272949,0.1955,94.2583,2.0145,0.7479,0.4704,0.5084,0.4948,0.5017,0.4627,0.5478,0.5017,0.6738,skl_OPTICS,iris_y.zip
10,inf,cosine,auto,4,0.5254569053649902,0.1444,74.1461,1.2022,0.7126,0.3267,0.6339,0.4932,0.5044,0.577,0.448,0.5044,0.5341,skl_OPTICS,iris_y.zip
10,inf,euclidean,auto,4,0.2759687900543213,0.4029,91.5758,1.8813,0.7026,0.3966,0.6365,0.599,0.6071,0.5794,0.6375,0.6071,0.6431,skl_OPTICS,iris_y.zip
20,inf,correlation,auto,4,0.3447287082672119,0.535,179.3498,0.7202,0.7458,0.5051,0.5048,0.5743,0.5776,0.4595,0.7773,0.5776,0.7292,skl_OPTICS,iris_y.zip
20,inf,cosine,auto,4,0.5492498874664307,0.4291,221.3387,0.8533,0.8515,0.6689,0.7747,0.7114,0.7151,0.7051,0.7253,0.7151,0.7813,skl_OPTICS,iris_y.zip
20,inf,euclidean,auto,4,0.2735645771026611,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,skl_OPTICS,iris_y.zip
2,inf,correlation,auto,4,0.3408210277557373,-0.2609,6.7191,3.496,0.669,0.0284,0.7516,0.1863,0.3191,0.6841,0.2081,0.3191,0.152,skl_OPTICS,iris_y.zip
2,inf,cosine,auto,4,0.5239334106445312,-0.0318,9.8445,1.5235,0.666,0.0392,0.747,0.2186,0.3346,0.68,0.2219,0.3346,0.1849,skl_OPTICS,iris_y.zip
2,inf,euclidean,auto,4,0.5190482139587402,0.0199,6.3165,1.6645,0.6347,0.0276,0.693,0.2359,0.3475,0.6308,0.2398,0.3475,0.2364,skl_OPTICS,iris_y.zip
3,inf,correlation,auto,4,0.3479492664337158,-0.3057,6.8756,2.7566,0.6445,0.0398,0.5513,0.1981,0.2854,0.5019,0.1994,0.2854,0.2364,skl_OPTICS,iris_y.zip
3,inf,cosine,auto,4,0.531036376953125,-0.1097,12.0034,1.4085,0.6373,0.0459,0.5928,0.2533,0.3245,0.5396,0.2321,0.3245,0.2613,skl_OPTICS,iris_y.zip
3,inf,euclidean,auto,4,0.2875759601593017,-0.22,4.6504,1.4373,0.5666,0.0228,0.4712,0.2355,0.3136,0.4289,0.2471,0.3136,0.3471,skl_OPTICS,iris_y.zip
5,inf,correlation,auto,4,0.3464577198028564,-0.3972,6.6851,2.4108,0.5221,0.0201,0.256,0.1694,0.2136,0.2331,0.1971,0.2136,0.4033,skl_OPTICS,iris_y.zip
5,inf,cosine,auto,4,0.5195748805999756,-0.1664,16.7964,1.2489,0.5916,0.0798,0.435,0.3048,0.3329,0.3959,0.2872,0.3329,0.3856,skl_OPTICS,iris_y.zip
5,inf,euclidean,auto,4,0.2682199478149414,-0.3009,8.3282,2.4253,0.5121,0.0514,0.3082,0.2657,0.2924,0.2805,0.3052,0.2924,0.4534,skl_OPTICS,iris_y.zip
