n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
8,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,100,0.0714526176452636,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,0.0781085491180419,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,100,0.0353531837463378,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,20,0.0677981376647949,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,20.0,20,0.0494139194488525,0.3605,169.9416,0.9057,0.7755,0.4109,0.8302,0.5326,0.5482,0.7556,0.4302,0.5482,0.5735,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,inf,100,0.0577285289764404,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,0.0527124404907226,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,100,0.1045384407043457,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,0.0583775043487548,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,100,0.0764014720916748,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,20,0.0398626327514648,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,20.0,20,0.0636050701141357,0.3605,169.9416,0.9057,0.7755,0.4109,0.8302,0.5326,0.5482,0.7556,0.4302,0.5482,0.5735,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,inf,100,0.0869116783142089,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,0.0622928142547607,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,100,0.0292973518371582,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,0.0265331268310546,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,100,0.1193172931671142,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,20,0.0715353488922119,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,20.0,20,0.0426945686340332,0.3605,169.9416,0.9057,0.7755,0.4109,0.8302,0.5326,0.5482,0.7556,0.4302,0.5482,0.5735,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,inf,100,0.0927622318267822,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,0.0696334838867187,0.3329,174.2551,1.0119,0.7705,0.3881,0.8918,0.5596,0.5737,0.8118,0.4436,0.5737,0.5561,skl_kmeans,iris_y.zip-8_k
