n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,IMM,1000.0,100,0.0075199604034423,0.4379,2035.5869,0.8815,0.9367,0.7391,1.7002,0.8449,0.8468,0.949,0.7645,0.8468,0.7876,ExKMC,longsquare_y.zip
10,10,IMM,1000.0,20,0.007692813873291,0.4379,2035.5869,0.8815,0.9367,0.7391,1.7002,0.8449,0.8468,0.949,0.7645,0.8468,0.7876,ExKMC,longsquare_y.zip
10,10,IMM,100.0,100,0.0073664188385009,0.4255,2095.3505,0.8899,0.9243,0.6852,1.6248,0.803,0.8055,0.9069,0.7245,0.8055,0.7414,ExKMC,longsquare_y.zip
10,10,IMM,100.0,20,0.0634636878967285,0.4379,2035.5869,0.8815,0.9367,0.7391,1.7002,0.8449,0.8468,0.949,0.7645,0.8468,0.7876,ExKMC,longsquare_y.zip
10,10,IMM,inf,100,0.0075433254241943,0.4379,2035.5869,0.8815,0.9367,0.7391,1.7002,0.8449,0.8468,0.949,0.7645,0.8468,0.7876,ExKMC,longsquare_y.zip
10,10,IMM,inf,20,0.0672953128814697,0.4379,2035.5869,0.8815,0.9367,0.7391,1.7002,0.8449,0.8468,0.949,0.7645,0.8468,0.7876,ExKMC,longsquare_y.zip
10,10,NONE,1000.0,100,0.0126974582672119,0.5028,2120.2652,0.6774,0.951,0.8091,1.6363,0.8477,0.8495,0.9133,0.7941,0.8495,0.8417,ExKMC,longsquare_y.zip
10,10,NONE,1000.0,20,0.0127890110015869,0.5028,2120.2652,0.6774,0.951,0.8091,1.6363,0.8477,0.8495,0.9133,0.7941,0.8495,0.8417,ExKMC,longsquare_y.zip
10,10,NONE,100.0,100,0.0124914646148681,0.5092,2183.5285,0.6542,0.9395,0.7654,1.5538,0.8133,0.8153,0.8672,0.7692,0.8153,0.8041,ExKMC,longsquare_y.zip
10,10,NONE,100.0,20,0.0126287937164306,0.5028,2120.2652,0.6774,0.951,0.8091,1.6363,0.8477,0.8495,0.9133,0.7941,0.8495,0.8417,ExKMC,longsquare_y.zip
