n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,2.6959011554718018,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.01,1000.0,20,4.2989420890808105,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.01,100.0,100,3.2748584747314453,0.4957,2286.8916,0.7888,0.9476,0.7865,1.727,0.8621,0.8639,0.9639,0.7826,0.8639,0.8272,ShallowTree,longsquare_y.zip
10,0.01,100.0,20,3.563999891281128,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.01,inf,100,3.6367666721344,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.01,inf,20,2.5765950679779053,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.03,1000.0,100,2.2908642292022705,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.03,1000.0,20,0.5326228141784668,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.03,100.0,100,3.291229248046875,0.4957,2286.8916,0.7888,0.9476,0.7865,1.727,0.8621,0.8639,0.9639,0.7826,0.8639,0.8272,ShallowTree,longsquare_y.zip
10,0.03,100.0,20,2.4201505184173584,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.03,inf,100,3.1223506927490234,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.03,inf,20,2.4989049434661865,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.05,1000.0,100,1.192765712738037,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.05,1000.0,20,3.7910289764404297,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.05,100.0,100,3.254462242126465,0.4957,2286.8916,0.7888,0.9476,0.7865,1.727,0.8621,0.8639,0.9639,0.7826,0.8639,0.8272,ShallowTree,longsquare_y.zip
10,0.05,100.0,20,1.3171863555908203,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.05,inf,100,2.3481969833374023,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.05,inf,20,2.393655300140381,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.0,1000.0,100,0.562457799911499,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.0,1000.0,20,1.904890537261963,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.0,100.0,100,1.680417776107788,0.4964,2289.9622,0.7864,0.9477,0.7868,1.727,0.8622,0.864,0.9639,0.7828,0.864,0.8275,ShallowTree,longsquare_y.zip
10,0.0,100.0,20,2.931265592575073,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.0,inf,100,3.0066304206848145,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,0.0,inf,20,1.6506876945495603,0.5033,2238.068,0.7699,0.9529,0.8088,1.7722,0.8871,0.8886,0.9892,0.8066,0.8886,0.8461,ShallowTree,longsquare_y.zip
10,1.0,1000.0,100,2.526275157928467,0.5045,2232.8297,0.7518,0.9497,0.7967,1.75,0.8776,0.8792,0.9768,0.7994,0.8792,0.835,ShallowTree,longsquare_y.zip
10,1.0,1000.0,20,1.0295374393463137,0.5045,2232.8297,0.7518,0.9497,0.7967,1.75,0.8776,0.8792,0.9768,0.7994,0.8792,0.835,ShallowTree,longsquare_y.zip
