eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.1,10,correlation,auto,4,0.018571138381958,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.1,10,cosine,auto,4,0.0252406597137451,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.1,10,euclidean,auto,4,0.0070154666900634,0.1609,228.1193,1.8329,0.8711,0.4944,1.3676,0.6791,0.6848,0.7633,0.621,0.6848,0.5725,skl_DBSCAN,longsquare_y.zip
0.1,2,correlation,auto,4,0.0174868106842041,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.1,2,cosine,auto,4,0.0127534866333007,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.1,2,euclidean,auto,4,0.0099499225616455,0.1235,308.144,2.1906,0.9608,0.8444,1.7293,0.8468,0.8526,0.9652,0.7635,0.8526,0.8739,skl_DBSCAN,longsquare_y.zip
0.1,5,correlation,auto,4,0.0172019004821777,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.1,5,cosine,auto,4,0.0156774520874023,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.1,5,euclidean,auto,4,0.0078446865081787,0.3195,451.0008,3.5926,0.9468,0.7922,1.5867,0.828,0.8301,0.8856,0.7811,0.8301,0.8274,skl_DBSCAN,longsquare_y.zip
0.25,10,correlation,auto,4,0.0189292430877685,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.25,10,cosine,auto,4,0.0131525993347167,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.25,10,euclidean,auto,4,0.0093276500701904,0.449,725.1097,2.3337,0.6628,0.3181,0.8543,0.626,0.6284,0.4769,0.9209,0.6284,0.561,skl_DBSCAN,longsquare_y.zip
0.25,2,correlation,auto,4,0.0178005695343017,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.25,2,cosine,auto,4,0.0131723880767822,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.25,2,euclidean,auto,4,0.0094199180603027,0.4547,761.7813,1.0224,0.6656,0.3301,0.866,0.6463,0.6485,0.4834,0.9848,0.6485,0.574,skl_DBSCAN,longsquare_y.zip
0.25,5,correlation,auto,4,0.0168304443359375,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.25,5,cosine,auto,4,0.013331651687622,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.25,5,euclidean,auto,4,0.0057435035705566,0.4581,735.7957,3.0431,0.6656,0.3281,0.8638,0.641,0.6434,0.4822,0.9668,0.6434,0.5715,skl_DBSCAN,longsquare_y.zip
0.5,10,correlation,auto,4,0.0221378803253173,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.5,10,cosine,auto,4,0.0158357620239257,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.5,10,euclidean,auto,4,0.0081081390380859,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.5,2,correlation,auto,4,0.0191917419433593,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.5,2,cosine,auto,4,0.0216355323791503,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.5,2,euclidean,auto,4,0.0058746337890625,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.5,5,correlation,auto,4,0.0161771774291992,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.5,5,cosine,auto,4,0.013150930404663,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.5,5,euclidean,auto,4,0.0068194866180419,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.75,10,correlation,auto,4,0.0187523365020751,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.75,10,cosine,auto,4,0.0191271305084228,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.75,10,euclidean,auto,4,0.0102059841156005,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.75,2,correlation,auto,4,0.017707347869873,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.75,2,cosine,auto,4,0.0133328437805175,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.75,2,euclidean,auto,4,0.0076274871826171,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.75,5,correlation,auto,4,0.0175814628601074,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
0.75,5,cosine,auto,4,0.0131227970123291,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
0.75,5,euclidean,auto,4,0.0075292587280273,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
1.0,10,correlation,auto,4,0.0176374912261962,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
1.0,10,cosine,auto,4,0.0227141380310058,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
1.0,10,euclidean,auto,4,0.0120224952697753,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
1.0,2,correlation,auto,4,0.0174405574798584,0.1591,100.7535,2.6877,0.57,0.1393,0.2757,0.2201,0.2219,0.1539,0.3977,0.2219,0.4087,skl_DBSCAN,longsquare_y.zip
1.0,2,cosine,auto,4,0.0137369632720947,0.0,0.0,0.0,0.1658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4072,skl_DBSCAN,longsquare_y.zip
