n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0763852596282959,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,,,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0155177116394042,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,1000.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0621535778045654,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,100.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0136101245880126,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,inf,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0808637142181396,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,,,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0817170143127441,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,1000.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0748267173767089,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,100.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0697147846221923,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,inf,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.0865662097930908,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,,,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.0739600658416748,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,1000.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.069124698638916,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,100.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.0701351165771484,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,inf,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0155177116394042,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,1000.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0621535778045654,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,100.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0136101245880126,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,inf,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0817170143127441,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,1000.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0748267173767089,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,100.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0697147846221923,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,inf,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.0739600658416748,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,1000.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.069124698638916,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,100.0,20.0,skl_kmeans,longsquare_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.0701351165771484,0.5037,1731.2206,0.6461,0.8807,0.6558,1.2493,0.7959,0.797,0.6973,0.93,0.797,0.7484,inf,20.0,skl_kmeans,longsquare_y.zip-4_k
