n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0802361965179443,0.3342,1027.5935,0.9257,0.8933,0.6457,1.3301,0.7638,0.7657,0.7424,0.7904,0.7657,0.7138,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0799036026000976,0.2931,990.8302,1.0043,0.8935,0.6546,1.3302,0.781,0.7829,0.7425,0.828,0.7829,0.7247,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0805826187133789,0.3342,1027.5935,0.9257,0.8933,0.6457,1.3301,0.7638,0.7657,0.7424,0.7904,0.7657,0.7138,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0892519950866699,0.2931,990.8302,1.0043,0.8935,0.6546,1.3302,0.781,0.7829,0.7425,0.828,0.7829,0.7247,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.086979866027832,0.3342,1027.5935,0.9257,0.8933,0.6457,1.3301,0.7638,0.7657,0.7424,0.7904,0.7657,0.7138,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0809166431427002,0.2931,990.8302,1.0043,0.8935,0.6546,1.3302,0.781,0.7829,0.7425,0.828,0.7829,0.7247,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0791120529174804,0.3342,1027.5935,0.9257,0.8933,0.6457,1.3301,0.7638,0.7657,0.7424,0.7904,0.7657,0.7138,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0808689594268798,0.2931,990.8302,1.0043,0.8935,0.6546,1.3302,0.781,0.7829,0.7425,0.828,0.7829,0.7247,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0829753875732421,0.3342,1027.5935,0.9257,0.8933,0.6457,1.3301,0.7638,0.7657,0.7424,0.7904,0.7657,0.7138,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0823569297790527,0.2931,990.8302,1.0043,0.8935,0.6546,1.3302,0.781,0.7829,0.7425,0.828,0.7829,0.7247,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0891106128692627,0.3342,1027.5935,0.9257,0.8933,0.6457,1.3301,0.7638,0.7657,0.7424,0.7904,0.7657,0.7138,kmeans+dt,longsquare_y.zip-6_True_k
6,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0805366039276123,0.2931,990.8302,1.0043,0.8935,0.6546,1.3302,0.781,0.7829,0.7425,0.828,0.7829,0.7247,kmeans+dt,longsquare_y.zip-6_True_k
