n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1198453903198242,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,,,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1025435924530029,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,1000.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1120517253875732,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,100.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1038239002227783,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,inf,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1114335060119628,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,,,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1122334003448486,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,1000.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1062092781066894,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,100.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.108635663986206,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,inf,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.0972011089324951,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,,,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1071555614471435,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,1000.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1071612834930419,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,100.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.112586498260498,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,inf,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1124677658081054,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,,,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1149497032165527,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,1000.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1133325099945068,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,100.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1092729568481445,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,inf,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.118643045425415,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,,,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1038742065429687,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,1000.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1055643558502197,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,100.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1070249080657959,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,inf,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1119220256805419,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,,,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1086220741271972,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,1000.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1122088432312011,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,100.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.0991549491882324,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,inf,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1025435924530029,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,1000.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1120517253875732,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,100.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1038239002227783,0.5481,2419.9951,0.7045,0.9689,0.8792,1.7588,0.9212,0.922,0.9817,0.8691,0.922,0.9013,inf,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1122334003448486,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,1000.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1062092781066894,0.4786,2121.3246,0.8146,0.9421,0.7738,1.6509,0.8616,0.863,0.9214,0.8116,0.863,0.8117,100.0,20.0,skl_bis_kmeans,longsquare_y.zip-8_k
