n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,2.777129650115967,0.594,8513.9455,0.5713,0.9563,0.729,2.2304,0.8986,0.8991,0.824,0.9893,0.8991,0.7745,ShallowTree,s-set1_y.zip
10,0.01,1000.0,20,2.1803793907165527,0.594,8513.9455,0.5713,0.9563,0.729,2.2304,0.8986,0.8991,0.824,0.9893,0.8991,0.7745,ShallowTree,s-set1_y.zip
10,0.01,100.0,100,2.540973663330078,0.5952,8447.8868,0.5643,0.9556,0.724,2.2177,0.8929,0.8934,0.8193,0.9823,0.8934,0.7693,ShallowTree,s-set1_y.zip
10,0.01,100.0,20,3.503588914871216,0.594,8513.9455,0.5713,0.9563,0.729,2.2304,0.8986,0.8991,0.824,0.9893,0.8991,0.7745,ShallowTree,s-set1_y.zip
10,0.01,inf,100,2.439824342727661,0.594,8513.9455,0.5713,0.9563,0.729,2.2304,0.8986,0.8991,0.824,0.9893,0.8991,0.7745,ShallowTree,s-set1_y.zip
10,0.01,inf,20,2.850628137588501,0.594,8513.9455,0.5713,0.9563,0.729,2.2304,0.8986,0.8991,0.824,0.9893,0.8991,0.7745,ShallowTree,s-set1_y.zip
10,0.03,1000.0,100,2.677162408828736,0.5835,8345.6274,0.5819,0.9537,0.7127,2.1914,0.8827,0.8833,0.8096,0.9718,0.8833,0.7591,ShallowTree,s-set1_y.zip
10,0.03,1000.0,20,2.507575273513794,0.5835,8345.6274,0.5819,0.9537,0.7127,2.1914,0.8827,0.8833,0.8096,0.9718,0.8833,0.7591,ShallowTree,s-set1_y.zip
10,0.03,100.0,100,2.512057065963745,0.5911,8379.9545,0.5672,0.9542,0.7152,2.1965,0.8845,0.885,0.8115,0.9733,0.885,0.761,ShallowTree,s-set1_y.zip
10,0.03,100.0,20,2.782557249069214,0.5835,8345.6274,0.5819,0.9537,0.7127,2.1914,0.8827,0.8833,0.8096,0.9718,0.8833,0.7591,ShallowTree,s-set1_y.zip
10,0.03,inf,100,2.9928019046783447,0.5835,8345.6274,0.5819,0.9537,0.7127,2.1914,0.8827,0.8833,0.8096,0.9718,0.8833,0.7591,ShallowTree,s-set1_y.zip
10,0.03,inf,20,3.646119117736816,0.5835,8345.6274,0.5819,0.9537,0.7127,2.1914,0.8827,0.8833,0.8096,0.9718,0.8833,0.7591,ShallowTree,s-set1_y.zip
10,0.05,1000.0,100,2.9525184631347656,0.5835,8345.6274,0.5819,0.9537,0.7127,2.1914,0.8827,0.8833,0.8096,0.9718,0.8833,0.7591,ShallowTree,s-set1_y.zip
10,0.05,1000.0,20,2.2239866256713867,0.5835,8345.6274,0.5819,0.9537,0.7127,2.1914,0.8827,0.8833,0.8096,0.9718,0.8833,0.7591,ShallowTree,s-set1_y.zip
10,0.05,100.0,100,1.7359950542449951,0.5916,8379.1888,0.567,0.9543,0.716,2.1972,0.8848,0.8854,0.8117,0.9738,0.8854,0.762,ShallowTree,s-set1_y.zip
10,0.05,100.0,20,2.8670408725738525,0.5835,8345.6274,0.5819,0.9537,0.7127,2.1914,0.8827,0.8833,0.8096,0.9718,0.8833,0.7591,ShallowTree,s-set1_y.zip
10,0.05,inf,100,2.483795404434204,0.5835,8345.6274,0.5819,0.9537,0.7127,2.1914,0.8827,0.8833,0.8096,0.9718,0.8833,0.7591,ShallowTree,s-set1_y.zip
10,0.05,inf,20,2.650264263153076,0.5835,8345.6274,0.5819,0.9537,0.7127,2.1914,0.8827,0.8833,0.8096,0.9718,0.8833,0.7591,ShallowTree,s-set1_y.zip
