max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,30,50,1000.0,100.0,0.0,6.318510293960571,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,50,1000.0,100.0,0.1,6.340992212295532,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,50,1000.0,100.0,0.2,6.322243690490723,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,50,1000.0,20.0,0.0,6.276507139205933,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,50,1000.0,20.0,0.1,6.322044610977173,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,50,1000.0,20.0,0.2,6.327189207077026,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,50,100.0,20.0,0.0,0.6989176273345947,0.4237,5564.2033,0.8359,0.9401,0.6361,2.0252,0.8213,0.8223,0.7482,0.9126,0.8223,0.6898,VarianceParTree,s-set1_y.zip
10,10,30,50,100.0,20.0,0.1,0.7007956504821777,0.4237,5564.2033,0.8359,0.9401,0.6361,2.0252,0.8213,0.8223,0.7482,0.9126,0.8223,0.6898,VarianceParTree,s-set1_y.zip
10,10,30,50,100.0,20.0,0.2,0.6965386867523193,0.4237,5564.2033,0.8359,0.9401,0.6361,2.0252,0.8213,0.8223,0.7482,0.9126,0.8223,0.6898,VarianceParTree,s-set1_y.zip
10,10,30,50,inf,100.0,0.0,31.1658353805542,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,50,inf,100.0,0.1,31.21089005470276,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,50,inf,100.0,0.2,31.09483504295349,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,50,inf,20.0,0.0,31.203131198883057,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,50,inf,20.0,0.1,31.270030736923218,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,50,inf,20.0,0.2,31.208723306655884,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,50,inf,inf,0.0,57.96122455596924,-0.4129,2.4951,0.9085,0.0718,-0.0,0.0081,0.0011,0.0059,0.003,0.3002,0.0059,0.2573,VarianceParTree,s-set1_y.zip
10,10,30,50,inf,inf,0.1,58.39352798461914,-0.4129,2.4951,0.9085,0.0718,-0.0,0.0081,0.0011,0.0059,0.003,0.3002,0.0059,0.2573,VarianceParTree,s-set1_y.zip
10,10,30,50,inf,inf,0.2,58.017573595047,-0.4129,2.4951,0.9085,0.0718,-0.0,0.0081,0.0011,0.0059,0.003,0.3002,0.0059,0.2573,VarianceParTree,s-set1_y.zip
10,10,30,5,1000.0,100.0,0.0,6.288922071456909,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,5,1000.0,100.0,0.1,6.268662214279175,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,5,1000.0,100.0,0.2,6.200309753417969,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,5,1000.0,20.0,0.0,6.314434766769409,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,5,1000.0,20.0,0.1,6.267412662506104,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,5,1000.0,20.0,0.2,6.223936080932617,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,30,5,100.0,20.0,0.0,0.7074284553527832,0.4237,5564.2033,0.8359,0.9401,0.6361,2.0252,0.8213,0.8223,0.7482,0.9126,0.8223,0.6898,VarianceParTree,s-set1_y.zip
10,10,30,5,100.0,20.0,0.1,0.7414283752441406,0.4237,5564.2033,0.8359,0.9401,0.6361,2.0252,0.8213,0.8223,0.7482,0.9126,0.8223,0.6898,VarianceParTree,s-set1_y.zip
10,10,30,5,100.0,20.0,0.2,0.7119274139404297,0.4237,5564.2033,0.8359,0.9401,0.6361,2.0252,0.8213,0.8223,0.7482,0.9126,0.8223,0.6898,VarianceParTree,s-set1_y.zip
10,10,30,5,inf,100.0,0.0,31.10597538948059,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,5,inf,100.0,0.1,31.014386415481567,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,5,inf,100.0,0.2,31.036700963974,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,5,inf,20.0,0.0,31.267672538757324,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,5,inf,20.0,0.1,31.15366625785828,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,5,inf,20.0,0.2,31.131946086883545,0.4383,5678.1236,0.8167,0.9417,0.6464,2.0403,0.8283,0.8292,0.7538,0.9214,0.8292,0.7,VarianceParTree,s-set1_y.zip
10,10,30,5,inf,inf,0.0,57.9538369178772,-0.4129,2.4951,0.9085,0.0718,-0.0,0.0081,0.0011,0.0059,0.003,0.3002,0.0059,0.2573,VarianceParTree,s-set1_y.zip
10,10,30,5,inf,inf,0.1,58.11953020095825,-0.4129,2.4951,0.9085,0.0718,-0.0,0.0081,0.0011,0.0059,0.003,0.3002,0.0059,0.2573,VarianceParTree,s-set1_y.zip
10,10,30,5,inf,inf,0.2,57.92359375953674,-0.4129,2.4951,0.9085,0.0718,-0.0,0.0081,0.0011,0.0059,0.003,0.3002,0.0059,0.2573,VarianceParTree,s-set1_y.zip
10,10,3,50,1000.0,100.0,0.0,6.259050130844116,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,3,50,1000.0,100.0,0.1,6.342092514038086,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,3,50,1000.0,100.0,0.2,6.279526710510254,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,3,50,1000.0,20.0,0.0,6.315831184387207,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,3,50,1000.0,20.0,0.1,6.276360273361206,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,3,50,1000.0,20.0,0.2,6.282307386398315,0.4379,5668.2069,0.8183,0.9418,0.6467,2.0416,0.8289,0.8298,0.7542,0.9221,0.8298,0.7003,VarianceParTree,s-set1_y.zip
10,10,3,50,100.0,20.0,0.0,0.704740047454834,0.4237,5564.2033,0.8359,0.9401,0.6361,2.0252,0.8213,0.8223,0.7482,0.9126,0.8223,0.6898,VarianceParTree,s-set1_y.zip
