amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,10,0.0366535186767578,0.5857,8383.0399,0.5726,0.954,0.7146,2.1924,0.883,0.8836,0.8099,0.9719,0.8836,0.7606,,,pyc_xmeans,s-set1_y.zip
10,10,0.0359828472137451,0.5965,8504.2,0.5625,0.9554,0.7225,2.2105,0.8898,0.8903,0.8166,0.9787,0.8903,0.7676,1000.0,20.0,pyc_xmeans,s-set1_y.zip
10,10,0.0361781120300293,0.5655,7901.6409,0.606,0.9545,0.7177,2.1999,0.8859,0.8865,0.8127,0.975,0.8865,0.7635,100.0,20.0,pyc_xmeans,s-set1_y.zip
10,10,0.0348424911499023,0.5755,8141.2032,0.5732,0.9547,0.7193,2.2049,0.8884,0.889,0.8146,0.9784,0.889,0.7655,inf,20.0,pyc_xmeans,s-set1_y.zip
10,14,0.043546438217163,0.6786,15556.9393,0.4208,0.9911,0.9321,2.5943,0.9736,0.9738,0.9584,0.9896,0.9738,0.9383,,,pyc_xmeans,s-set1_y.zip
10,14,0.03993821144104,0.6685,14148.5687,0.429,0.9902,0.9254,2.5916,0.9738,0.974,0.9574,0.9911,0.974,0.9325,1000.0,20.0,pyc_xmeans,s-set1_y.zip
10,14,0.0391757488250732,0.6752,15607.3644,0.4188,0.99,0.9245,2.5918,0.974,0.9742,0.9575,0.9914,0.9742,0.9317,100.0,20.0,pyc_xmeans,s-set1_y.zip
10,14,0.1050004959106445,0.6891,15848.8283,0.3902,0.9915,0.9354,2.6079,0.9791,0.9793,0.9634,0.9957,0.9793,0.9414,inf,20.0,pyc_xmeans,s-set1_y.zip
10,18,0.102726936340332,0.6705,19776.0174,0.4951,0.9961,0.9675,2.6886,0.9773,0.9775,0.9933,0.9622,0.9775,0.97,,,pyc_xmeans,s-set1_y.zip
10,18,0.1019370555877685,0.6857,21635.4456,0.4578,0.9976,0.9808,2.6879,0.986,0.9861,0.993,0.9793,0.9861,0.9821,1000.0,20.0,pyc_xmeans,s-set1_y.zip
10,18,0.040480613708496,0.6858,21563.0472,0.4504,0.998,0.9836,2.689,0.9874,0.9875,0.9934,0.9817,0.9875,0.9848,100.0,20.0,pyc_xmeans,s-set1_y.zip
10,18,0.0370793342590332,0.7117,22674.4423,0.365,0.9994,0.9954,2.6936,0.9951,0.9951,0.9951,0.9951,0.9951,0.9957,inf,20.0,pyc_xmeans,s-set1_y.zip
10,2,0.084437608718872,0.5616,7067.5827,0.5924,0.9446,0.6705,2.144,0.8692,0.8698,0.7921,0.9645,0.8698,0.7263,,,pyc_xmeans,s-set1_y.zip
10,22,0.0376379489898681,0.7116,22674.2364,0.365,0.9993,0.9945,2.6909,0.994,0.9941,0.9941,0.9941,0.9941,0.9949,,,pyc_xmeans,s-set1_y.zip
10,22,0.0977010726928711,0.6866,21553.4119,0.4461,0.9981,0.9849,2.6889,0.9879,0.988,0.9934,0.9826,0.988,0.9859,1000.0,20.0,pyc_xmeans,s-set1_y.zip
10,22,0.0371067523956298,0.7116,22674.2785,0.3651,0.9994,0.995,2.6922,0.9946,0.9946,0.9946,0.9946,0.9946,0.9953,100.0,20.0,pyc_xmeans,s-set1_y.zip
10,22,0.0382115840911865,0.6858,21562.8186,0.4503,0.998,0.9836,2.6887,0.9873,0.9874,0.9933,0.9816,0.9874,0.9848,inf,20.0,pyc_xmeans,s-set1_y.zip
10,2,0.0310595035552978,0.5695,7769.721,0.6106,0.9531,0.7109,2.196,0.8857,0.8862,0.8113,0.9765,0.8862,0.7584,1000.0,20.0,pyc_xmeans,s-set1_y.zip
10,2,0.0969331264495849,0.5676,7771.1026,0.6107,0.9528,0.706,2.178,0.8765,0.8771,0.8046,0.9639,0.8771,0.7518,100.0,20.0,pyc_xmeans,s-set1_y.zip
10,2,0.0314352512359619,0.5939,8484.219,0.5766,0.9544,0.7181,2.2057,0.8889,0.8894,0.8149,0.979,0.8894,0.7645,inf,20.0,pyc_xmeans,s-set1_y.zip
10,6,0.031358003616333,0.595,8614.8112,0.5716,0.9555,0.7233,2.2129,0.891,0.8915,0.8175,0.9803,0.8915,0.7686,,,pyc_xmeans,s-set1_y.zip
10,6,0.0309321880340576,0.5953,8615.1105,0.5713,0.9555,0.7237,2.2137,0.8913,0.8919,0.8178,0.9807,0.8919,0.7691,1000.0,20.0,pyc_xmeans,s-set1_y.zip
